oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.903,0.94,0.348,0.004,0.508,0.672,0.516,0.461
No,0,KNN,0.899,0.721,0.486,0.032,0.581,0.727,0.647,0.364
No,0,LR,0.87,0.75,0.149,0.008,0.249,0.57,0.259,0.602
No,0,DT,0.836,0.442,0.525,0.112,0.48,0.707,0.66,0.345
No,0,RF,0.903,0.748,0.492,0.028,0.593,0.732,0.653,0.36
No,0,LightGBM,0.912,0.809,0.514,0.02,0.628,0.747,0.674,0.344
No,0,Adaboost,0.91,0.847,0.459,0.014,0.595,0.722,0.626,0.383
No,0,GBDT,0.892,0.662,0.508,0.044,0.575,0.732,0.664,0.349
Random,0.01,SVM,0.871,0.549,0.586,0.081,0.567,0.752,0.715,0.299
Random,0.01,KNN,0.833,0.441,0.602,0.128,0.509,0.737,0.712,0.296
Random,0.01,LR,0.766,0.324,0.575,0.202,0.414,0.686,0.668,0.333
Random,0.01,DT,0.84,0.451,0.508,0.104,0.478,0.702,0.649,0.355
Random,0.01,RF,0.903,0.725,0.525,0.034,0.609,0.746,0.68,0.337
Random,0.01,LightGBM,0.883,0.593,0.597,0.069,0.595,0.764,0.727,0.289
Random,0.01,Adaboost,0.834,0.448,0.646,0.134,0.529,0.756,0.74,0.267
Random,0.01,GBDT,0.861,0.514,0.624,0.1,0.564,0.762,0.737,0.275
SMOTE,0.03,SVM,0.861,0.517,0.597,0.094,0.554,0.751,0.719,0.293
SMOTE,0.03,KNN,0.816,0.409,0.624,0.152,0.495,0.736,0.719,0.287
SMOTE,0.03,LR,0.778,0.347,0.608,0.193,0.442,0.707,0.693,0.309
SMOTE,0.03,DT,0.813,0.392,0.541,0.142,0.455,0.7,0.664,0.339
SMOTE,0.03,RF,0.88,0.592,0.552,0.064,0.571,0.744,0.695,0.32
SMOTE,0.03,LightGBM,0.884,0.605,0.575,0.063,0.589,0.756,0.712,0.304
SMOTE,0.03,Adaboost,0.848,0.479,0.63,0.115,0.544,0.757,0.736,0.274
SMOTE,0.03,GBDT,0.866,0.534,0.569,0.084,0.551,0.743,0.702,0.31
ADASYN,0.04,SVM,0.709,0.296,0.735,0.295,0.422,0.72,0.72,0.281
ADASYN,0.04,KNN,0.796,0.383,0.68,0.184,0.49,0.748,0.741,0.261
ADASYN,0.04,LR,0.682,0.239,0.552,0.296,0.334,0.628,0.619,0.379
ADASYN,0.04,DT,0.809,0.378,0.503,0.14,0.431,0.682,0.635,0.365
ADASYN,0.04,RF,0.865,0.531,0.564,0.084,0.547,0.74,0.698,0.314
ADASYN,0.04,LightGBM,0.87,0.543,0.624,0.088,0.581,0.768,0.741,0.273
ADASYN,0.04,Adaboost,0.786,0.364,0.646,0.19,0.466,0.728,0.719,0.284
ADASYN,0.04,GBDT,0.857,0.505,0.602,0.1,0.549,0.751,0.722,0.29
BorderlineSMOTE,0.05,SVM,0.788,0.363,0.624,0.184,0.459,0.72,0.707,0.296
BorderlineSMOTE,0.05,KNN,0.801,0.388,0.657,0.175,0.488,0.741,0.732,0.272
BorderlineSMOTE,0.05,LR,0.715,0.229,0.414,0.235,0.295,0.59,0.538,0.446
BorderlineSMOTE,0.05,DT,0.818,0.399,0.525,0.133,0.453,0.696,0.654,0.349
BorderlineSMOTE,0.05,RF,0.869,0.543,0.558,0.079,0.55,0.739,0.695,0.318
BorderlineSMOTE,0.05,LightGBM,0.869,0.539,0.608,0.088,0.571,0.76,0.73,0.284
