oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.896,0.964,0.293,0.002,0.449,0.645,0.453,0.5
No,0,KNN,0.898,0.748,0.442,0.025,0.556,0.708,0.608,0.395
No,0,LR,0.875,0.786,0.182,0.008,0.296,0.587,0.308,0.578
No,0,DT,0.851,0.484,0.497,0.089,0.49,0.704,0.643,0.361
No,0,RF,0.904,0.835,0.42,0.014,0.559,0.703,0.589,0.41
No,0,LightGBM,0.91,0.87,0.442,0.011,0.586,0.715,0.611,0.395
No,0,Adaboost,0.9,0.804,0.409,0.017,0.542,0.696,0.578,0.418
No,0,GBDT,0.877,0.596,0.464,0.053,0.522,0.706,0.623,0.381
Random,0.01,SVM,0.884,0.606,0.552,0.061,0.578,0.746,0.696,0.319
Random,0.01,KNN,0.842,0.464,0.608,0.118,0.526,0.745,0.72,0.29
Random,0.01,LR,0.781,0.335,0.525,0.176,0.409,0.674,0.641,0.358
Random,0.01,DT,0.86,0.514,0.508,0.081,0.511,0.714,0.655,0.352
Random,0.01,RF,0.9,0.755,0.459,0.025,0.57,0.717,0.624,0.383
Random,0.01,LightGBM,0.883,0.606,0.536,0.059,0.569,0.739,0.683,0.331
Random,0.01,Adaboost,0.845,0.472,0.602,0.114,0.529,0.744,0.717,0.293
Random,0.01,GBDT,0.846,0.469,0.503,0.096,0.485,0.703,0.646,0.358
SMOTE,0.03,SVM,0.862,0.52,0.569,0.088,0.544,0.74,0.701,0.311
SMOTE,0.03,KNN,0.825,0.429,0.63,0.142,0.51,0.744,0.727,0.28
SMOTE,0.03,LR,0.779,0.332,0.525,0.178,0.407,0.674,0.641,0.359
SMOTE,0.03,DT,0.829,0.422,0.508,0.117,0.461,0.695,0.645,0.357
SMOTE,0.03,RF,0.884,0.617,0.525,0.055,0.567,0.735,0.675,0.338
SMOTE,0.03,LightGBM,0.88,0.591,0.536,0.062,0.562,0.737,0.682,0.331
SMOTE,0.03,Adaboost,0.851,0.485,0.53,0.095,0.507,0.718,0.669,0.339
SMOTE,0.03,GBDT,0.857,0.503,0.508,0.085,0.505,0.712,0.654,0.353
ADASYN,0.04,SVM,0.697,0.287,0.74,0.31,0.414,0.715,0.714,0.286
ADASYN,0.04,KNN,0.806,0.397,0.657,0.169,0.495,0.744,0.734,0.27
ADASYN,0.04,LR,0.702,0.259,0.575,0.277,0.357,0.649,0.64,0.359
ADASYN,0.04,DT,0.804,0.366,0.492,0.143,0.42,0.674,0.625,0.373
ADASYN,0.04,RF,0.862,0.522,0.525,0.081,0.523,0.722,0.668,0.341
ADASYN,0.04,LightGBM,0.866,0.536,0.536,0.078,0.536,0.729,0.678,0.333
ADASYN,0.04,Adaboost,0.807,0.397,0.652,0.167,0.494,0.743,0.732,0.273
ADASYN,0.04,GBDT,0.847,0.474,0.547,0.102,0.508,0.722,0.68,0.328
BorderlineSMOTE,0.03,SVM,0.736,0.296,0.602,0.241,0.397,0.681,0.672,0.329
BorderlineSMOTE,0.03,KNN,0.816,0.414,0.663,0.158,0.51,0.752,0.742,0.263
BorderlineSMOTE,0.03,LR,0.735,0.268,0.486,0.223,0.346,0.631,0.598,0.396
BorderlineSMOTE,0.03,DT,0.812,0.387,0.519,0.139,0.443,0.69,0.648,0.354
BorderlineSMOTE,0.03,RF,0.873,0.563,0.519,0.068,0.54,0.726,0.667,0.343
BorderlineSMOTE,0.03,LightGBM,0.873,0.564,0.536,0.07,0.55,0.733,0.68,0.332
BorderlineSMOTE,0.03,Adaboost,0.786,0.359,0.613,0.184,0.453,0.714,0.7,0.303
BorderlineSMOTE,0.03,GBDT,0.855,0.497,0.503,0.086,0.5,0.709,0.649,0.357
