oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.902,0.926,0.348,0.005,0.506,0.672,0.516,0.461
No,0,KNN,0.897,0.7,0.503,0.036,0.585,0.733,0.661,0.353
No,0,LR,0.867,0.706,0.133,0.009,0.223,0.562,0.234,0.613
No,0,DT,0.858,0.508,0.53,0.087,0.519,0.722,0.671,0.338
No,0,RF,0.907,0.786,0.486,0.022,0.601,0.732,0.649,0.364
No,0,LightGBM,0.915,0.825,0.519,0.019,0.637,0.75,0.679,0.34
No,0,Adaboost,0.905,0.767,0.492,0.025,0.599,0.733,0.654,0.36
No,0,GBDT,0.905,0.738,0.53,0.032,0.617,0.749,0.685,0.333
Random,0.01,SVM,0.873,0.553,0.602,0.082,0.577,0.76,0.727,0.287
Random,0.01,KNN,0.829,0.437,0.635,0.138,0.518,0.749,0.732,0.276
Random,0.01,LR,0.782,0.344,0.569,0.182,0.429,0.693,0.671,0.331
Random,0.01,DT,0.861,0.516,0.547,0.087,0.531,0.73,0.684,0.326
Random,0.01,RF,0.897,0.688,0.525,0.04,0.596,0.742,0.679,0.337
Random,0.01,LightGBM,0.884,0.599,0.586,0.066,0.592,0.76,0.72,0.297
Random,0.01,Adaboost,0.84,0.46,0.635,0.126,0.534,0.755,0.736,0.273
Random,0.01,GBDT,0.853,0.49,0.558,0.098,0.522,0.73,0.69,0.32
SMOTE,0.02,SVM,0.844,0.467,0.591,0.114,0.522,0.739,0.709,0.3
SMOTE,0.02,KNN,0.823,0.424,0.635,0.145,0.509,0.745,0.729,0.278
SMOTE,0.02,LR,0.771,0.339,0.619,0.203,0.438,0.708,0.697,0.305
SMOTE,0.02,DT,0.824,0.417,0.552,0.13,0.475,0.711,0.676,0.33
SMOTE,0.02,RF,0.884,0.602,0.569,0.063,0.585,0.753,0.708,0.308
SMOTE,0.02,LightGBM,0.883,0.596,0.586,0.067,0.591,0.759,0.72,0.297
SMOTE,0.02,Adaboost,0.841,0.461,0.58,0.115,0.513,0.733,0.701,0.308
SMOTE,0.02,GBDT,0.869,0.543,0.552,0.078,0.548,0.737,0.691,0.321
ADASYN,0.21,SVM,0.705,0.29,0.724,0.298,0.415,0.713,0.713,0.287
ADASYN,0.21,KNN,0.789,0.373,0.685,0.194,0.483,0.746,0.741,0.261
ADASYN,0.21,LR,0.675,0.238,0.569,0.307,0.336,0.631,0.625,0.374
ADASYN,0.21,DT,0.822,0.417,0.597,0.141,0.491,0.728,0.704,0.302
ADASYN,0.21,RF,0.866,0.533,0.586,0.087,0.558,0.75,0.714,0.299
ADASYN,0.21,LightGBM,0.866,0.531,0.613,0.091,0.569,0.761,0.732,0.281
ADASYN,0.21,Adaboost,0.81,0.401,0.641,0.161,0.494,0.74,0.727,0.278
ADASYN,0.21,GBDT,0.853,0.49,0.564,0.099,0.524,0.732,0.693,0.316
BorderlineSMOTE,0.06,SVM,0.708,0.283,0.669,0.285,0.398,0.692,0.691,0.309
BorderlineSMOTE,0.06,KNN,0.798,0.384,0.657,0.178,0.485,0.74,0.731,0.273
BorderlineSMOTE,0.06,LR,0.686,0.223,0.475,0.278,0.304,0.598,0.573,0.42
BorderlineSMOTE,0.06,DT,0.828,0.427,0.569,0.128,0.488,0.72,0.689,0.318
BorderlineSMOTE,0.06,RF,0.88,0.583,0.58,0.07,0.582,0.755,0.715,0.301
BorderlineSMOTE,0.06,LightGBM,0.869,0.541,0.613,0.088,0.575,0.763,0.734,0.28
BorderlineSMOTE,0.06,Adaboost,0.806,0.392,0.619,0.162,0.48,0.728,0.712,0.293
BorderlineSMOTE,0.06,GBDT,0.865,0.528,0.575,0.087,0.55,0.744,0.705,0.307
SVMSMOTE,0.42,SVM,0.86,0.512,0.575,0.092,0.542,0.741,0.704,0.308
SVMSMOTE,0.42,KNN,0.824,0.429,0.669,0.15,0.523,0.759,0.748,0.257
SVMSMOTE,0.42,LR,0.802,0.381,0.591,0.162,0.463,0.715,0.693,0.311
SVMSMOTE,0.42,DT,0.83,0.434,0.58,0.128,0.496,0.726,0.697,0.31
SVMSMOTE,0.42,RF,0.888,0.627,0.558,0.056,0.591,0.751,0.701,0.315
SVMSMOTE,0.42,LightGBM,0.89,0.624,0.597,0.061,0.61,0.768,0.73,0.288
SVMSMOTE,0.42,Adaboost,0.857,0.502,0.586,0.098,0.541,0.744,0.71,0.301
SVMSMOTE,0.42,GBDT,0.872,0.553,0.58,0.079,0.566,0.75,0.712,0.302
SMOTUNED,159.41,SVM,0.861,0.517,0.591,0.093,0.552,0.749,0.716,0.296
SMOTUNED,83.44,KNN,0.798,0.383,0.657,0.179,0.484,0.739,0.73,0.273
SMOTUNED,1273.93,LR,0.784,0.349,0.575,0.181,0.434,0.697,0.675,0.327
SMOTUNED,72.58,DT,0.75,0.319,0.646,0.233,0.427,0.707,0.702,0.299
SMOTUNED,207.0,RF,0.838,0.458,0.669,0.133,0.544,0.768,0.755,0.253
SMOTUNED,109.43,LightGBM,0.811,0.404,0.652,0.162,0.499,0.745,0.733,0.271
SMOTUNED,253.12,Adaboost,0.804,0.392,0.652,0.17,0.49,0.741,0.73,0.274
SMOTUNED,421.3,GBDT,0.782,0.36,0.652,0.196,0.464,0.728,0.72,0.282
