oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.901,0.913,0.348,0.006,0.504,0.671,0.516,0.461
No,0,KNN,0.901,0.739,0.486,0.029,0.587,0.729,0.648,0.364
No,0,LR,0.873,0.729,0.193,0.012,0.306,0.591,0.323,0.57
No,0,DT,0.846,0.47,0.514,0.098,0.491,0.708,0.655,0.351
No,0,RF,0.9,0.739,0.47,0.028,0.574,0.721,0.633,0.376
No,0,LightGBM,0.908,0.81,0.47,0.019,0.594,0.725,0.635,0.375
No,0,Adaboost,0.907,0.808,0.464,0.019,0.589,0.723,0.63,0.379
No,0,GBDT,0.901,0.736,0.492,0.03,0.589,0.731,0.653,0.36
Random,0.01,SVM,0.874,0.56,0.597,0.079,0.578,0.759,0.724,0.291
Random,0.01,KNN,0.841,0.463,0.619,0.121,0.53,0.749,0.726,0.283
Random,0.01,LR,0.763,0.322,0.58,0.206,0.414,0.687,0.67,0.331
Random,0.01,DT,0.843,0.461,0.519,0.102,0.488,0.708,0.658,0.348
Random,0.01,RF,0.898,0.709,0.497,0.034,0.584,0.731,0.656,0.356
Random,0.01,LightGBM,0.88,0.585,0.569,0.068,0.577,0.751,0.707,0.308
Random,0.01,Adaboost,0.838,0.456,0.635,0.128,0.531,0.754,0.735,0.273
Random,0.01,GBDT,0.856,0.5,0.569,0.096,0.532,0.737,0.698,0.312
SMOTE,0.03,SVM,0.866,0.531,0.608,0.09,0.567,0.759,0.729,0.285
SMOTE,0.03,KNN,0.829,0.439,0.652,0.141,0.524,0.756,0.741,0.265
SMOTE,0.03,LR,0.761,0.329,0.63,0.217,0.432,0.706,0.698,0.303
SMOTE,0.03,DT,0.816,0.407,0.602,0.148,0.486,0.727,0.706,0.3
SMOTE,0.03,RF,0.88,0.586,0.564,0.067,0.575,0.748,0.703,0.312
SMOTE,0.03,LightGBM,0.887,0.61,0.597,0.064,0.603,0.766,0.729,0.289
SMOTE,0.03,Adaboost,0.846,0.474,0.608,0.114,0.533,0.747,0.721,0.289
SMOTE,0.03,GBDT,0.853,0.493,0.591,0.102,0.538,0.744,0.713,0.298
ADASYN,0.05,SVM,0.699,0.289,0.746,0.309,0.417,0.718,0.717,0.283
ADASYN,0.05,KNN,0.791,0.375,0.674,0.189,0.482,0.743,0.736,0.266
ADASYN,0.05,LR,0.682,0.26,0.652,0.313,0.372,0.67,0.669,0.331
ADASYN,0.05,DT,0.826,0.426,0.586,0.133,0.493,0.726,0.699,0.308
ADASYN,0.05,RF,0.873,0.553,0.602,0.082,0.577,0.76,0.727,0.287
ADASYN,0.05,LightGBM,0.864,0.524,0.608,0.093,0.563,0.757,0.728,0.285
ADASYN,0.05,Adaboost,0.809,0.402,0.669,0.168,0.502,0.75,0.742,0.263
ADASYN,0.05,GBDT,0.861,0.515,0.586,0.093,0.548,0.746,0.712,0.3
BorderlineSMOTE,0.06,SVM,0.775,0.349,0.646,0.203,0.453,0.722,0.714,0.288
BorderlineSMOTE,0.06,KNN,0.817,0.413,0.641,0.154,0.502,0.744,0.729,0.276
BorderlineSMOTE,0.06,LR,0.717,0.265,0.541,0.253,0.356,0.644,0.628,0.37
BorderlineSMOTE,0.06,DT,0.823,0.42,0.597,0.139,0.493,0.729,0.705,0.302
BorderlineSMOTE,0.06,RF,0.876,0.565,0.597,0.077,0.581,0.76,0.725,0.29
BorderlineSMOTE,0.06,LightGBM,0.875,0.559,0.624,0.083,0.59,0.771,0.743,0.272
BorderlineSMOTE,0.06,Adaboost,0.806,0.394,0.635,0.165,0.486,0.735,0.722,0.283
BorderlineSMOTE,0.06,GBDT,0.845,0.471,0.586,0.111,0.522,0.737,0.706,0.303
SVMSMOTE,0.61,SVM,0.884,0.599,0.586,0.066,0.592,0.76,0.72,0.297
SVMSMOTE,0.61,KNN,0.847,0.477,0.619,0.115,0.538,0.752,0.728,0.281
SVMSMOTE,0.61,LR,0.812,0.394,0.564,0.146,0.464,0.709,0.679,0.325
SVMSMOTE,0.61,DT,0.837,0.451,0.591,0.121,0.512,0.735,0.707,0.301
SVMSMOTE,0.61,RF,0.895,0.662,0.552,0.047,0.602,0.753,0.699,0.318
SVMSMOTE,0.61,LightGBM,0.898,0.673,0.569,0.047,0.617,0.761,0.713,0.306
SVMSMOTE,0.61,Adaboost,0.875,0.566,0.569,0.074,0.567,0.748,0.705,0.309
SVMSMOTE,0.61,GBDT,0.869,0.542,0.569,0.081,0.555,0.744,0.703,0.31
SMOTUNED,233.32,SVM,0.87,0.545,0.597,0.084,0.57,0.756,0.723,0.291
SMOTUNED,120.96,KNN,0.794,0.374,0.641,0.181,0.473,0.73,0.719,0.284
SMOTUNED,1855.87,LR,0.733,0.292,0.597,0.244,0.392,0.676,0.667,0.333
SMOTUNED,97.18,DT,0.732,0.313,0.718,0.265,0.436,0.726,0.726,0.274
SMOTUNED,385.47,RF,0.852,0.489,0.608,0.107,0.542,0.75,0.723,0.288
SMOTUNED,215.31,LightGBM,0.806,0.395,0.641,0.166,0.488,0.738,0.725,0.28
SMOTUNED,408.19,Adaboost,0.819,0.421,0.68,0.157,0.52,0.761,0.752,0.252
SMOTUNED,559.97,GBDT,0.789,0.372,0.674,0.192,0.479,0.741,0.735,0.267
DAZZLE,3388.4671165943146,SVM,0.901,0.835,0.392,0.013,0.534,0.69,0.561,0.43
