oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.896,0.947,0.298,0.003,0.454,0.648,0.459,0.496
No,0,KNN,0.902,0.759,0.47,0.025,0.58,0.722,0.634,0.375
No,0,LR,0.87,0.781,0.138,0.007,0.235,0.566,0.243,0.609
No,0,DT,0.853,0.488,0.436,0.077,0.461,0.68,0.593,0.402
No,0,RF,0.901,0.777,0.442,0.021,0.563,0.71,0.609,0.395
No,0,LightGBM,0.911,0.811,0.497,0.02,0.616,0.739,0.66,0.356
No,0,Adaboost,0.899,0.765,0.431,0.022,0.551,0.704,0.598,0.403
No,0,GBDT,0.877,0.591,0.486,0.057,0.533,0.715,0.642,0.366
Random,0.01,SVM,0.866,0.537,0.519,0.075,0.528,0.722,0.665,0.344
Random,0.01,KNN,0.848,0.478,0.608,0.112,0.535,0.748,0.722,0.288
Random,0.01,LR,0.777,0.331,0.536,0.182,0.409,0.677,0.647,0.353
Random,0.01,DT,0.858,0.509,0.486,0.079,0.497,0.704,0.636,0.368
Random,0.01,RF,0.903,0.752,0.486,0.027,0.591,0.73,0.648,0.364
Random,0.01,LightGBM,0.89,0.641,0.541,0.051,0.587,0.745,0.689,0.326
Random,0.01,Adaboost,0.818,0.412,0.608,0.146,0.491,0.731,0.71,0.296
Random,0.01,GBDT,0.851,0.486,0.558,0.1,0.519,0.729,0.689,0.32
SMOTE,0.08,SVM,0.866,0.535,0.547,0.08,0.541,0.733,0.686,0.325
SMOTE,0.08,KNN,0.821,0.419,0.624,0.146,0.501,0.739,0.721,0.285
SMOTE,0.08,LR,0.778,0.345,0.597,0.191,0.437,0.703,0.687,0.316
SMOTE,0.08,DT,0.83,0.432,0.558,0.124,0.487,0.717,0.682,0.325
SMOTE,0.08,RF,0.889,0.633,0.552,0.054,0.59,0.749,0.698,0.319
SMOTE,0.08,LightGBM,0.896,0.669,0.547,0.046,0.602,0.751,0.695,0.322
SMOTE,0.08,Adaboost,0.843,0.463,0.552,0.108,0.504,0.722,0.682,0.326
SMOTE,0.08,GBDT,0.867,0.538,0.547,0.079,0.542,0.734,0.686,0.325
ADASYN,0.07,SVM,0.705,0.285,0.691,0.292,0.403,0.699,0.699,0.301
ADASYN,0.07,KNN,0.806,0.395,0.646,0.167,0.491,0.74,0.728,0.276
ADASYN,0.07,LR,0.697,0.253,0.564,0.28,0.349,0.642,0.632,0.367
ADASYN,0.07,DT,0.822,0.415,0.569,0.135,0.48,0.717,0.686,0.319
