oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.907,0.932,0.381,0.005,0.541,0.688,0.551,0.438
No,0,KNN,0.899,0.714,0.497,0.034,0.586,0.732,0.657,0.356
No,0,LR,0.88,0.895,0.188,0.004,0.311,0.592,0.316,0.574
No,0,DT,0.865,0.534,0.519,0.076,0.527,0.721,0.665,0.344
No,0,RF,0.897,0.741,0.442,0.026,0.554,0.708,0.608,0.395
No,0,LightGBM,0.908,0.795,0.492,0.021,0.608,0.735,0.655,0.36
No,0,Adaboost,0.905,0.787,0.47,0.021,0.588,0.724,0.635,0.375
No,0,GBDT,0.895,0.69,0.492,0.037,0.574,0.727,0.651,0.36
Random,0.02,SVM,0.866,0.534,0.564,0.083,0.548,0.74,0.698,0.314
Random,0.02,KNN,0.825,0.423,0.58,0.133,0.49,0.723,0.695,0.311
Random,0.02,LR,0.784,0.354,0.602,0.185,0.446,0.708,0.693,0.31
Random,0.02,DT,0.839,0.447,0.492,0.102,0.468,0.695,0.635,0.367
Random,0.02,RF,0.897,0.713,0.481,0.033,0.574,0.724,0.642,0.368
Random,0.02,LightGBM,0.88,0.589,0.569,0.067,0.579,0.751,0.707,0.308
Random,0.02,Adaboost,0.814,0.402,0.586,0.147,0.476,0.719,0.694,0.311
Random,0.02,GBDT,0.859,0.51,0.591,0.096,0.547,0.748,0.715,0.297
SMOTE,0.05,SVM,0.848,0.479,0.63,0.115,0.544,0.757,0.736,0.274
SMOTE,0.05,KNN,0.804,0.39,0.635,0.168,0.483,0.734,0.721,0.284
SMOTE,0.05,LR,0.77,0.337,0.619,0.205,0.437,0.707,0.696,0.306
SMOTE,0.05,DT,0.823,0.414,0.541,0.129,0.469,0.706,0.668,0.337
SMOTE,0.05,RF,0.876,0.576,0.547,0.068,0.561,0.739,0.689,0.324
SMOTE,0.05,LightGBM,0.881,0.591,0.575,0.067,0.583,0.754,0.711,0.305
SMOTE,0.05,Adaboost,0.847,0.477,0.635,0.117,0.545,0.759,0.739,0.271
SMOTE,0.05,GBDT,0.854,0.495,0.564,0.097,0.527,0.733,0.694,0.316
ADASYN,0.06,SVM,0.672,0.269,0.74,0.34,0.394,0.7,0.698,0.302
ADASYN,0.06,KNN,0.785,0.366,0.669,0.196,0.473,0.736,0.73,0.272
ADASYN,0.06,LR,0.672,0.232,0.552,0.308,0.327,0.622,0.614,0.384
ADASYN,0.06,DT,0.821,0.411,0.564,0.136,0.476,0.714,0.682,0.323
ADASYN,0.06,RF,0.867,0.537,0.564,0.082,0.55,0.741,0.698,0.314
ADASYN,0.06,LightGBM,0.86,0.511,0.635,0.102,0.567,0.766,0.744,0.268
ADASYN,0.06,Adaboost,0.771,0.351,0.691,0.215,0.466,0.738,0.735,0.266
ADASYN,0.06,GBDT,0.853,0.493,0.569,0.099,0.528,0.735,0.698,0.313
BorderlineSMOTE,0.06,SVM,0.696,0.282,0.713,0.306,0.404,0.703,0.703,0.297
BorderlineSMOTE,0.06,KNN,0.783,0.36,0.646,0.194,0.462,0.726,0.718,0.285
BorderlineSMOTE,0.06,LR,0.706,0.228,0.436,0.249,0.3,0.594,0.552,0.436
BorderlineSMOTE,0.06,DT,0.812,0.391,0.547,0.143,0.456,0.702,0.668,0.336
BorderlineSMOTE,0.06,RF,0.87,0.55,0.547,0.075,0.548,0.736,0.687,0.325
BorderlineSMOTE,0.06,LightGBM,0.873,0.554,0.591,0.08,0.572,0.756,0.72,0.295
BorderlineSMOTE,0.06,Adaboost,0.8,0.381,0.619,0.169,0.472,0.725,0.709,0.295
BorderlineSMOTE,0.06,GBDT,0.846,0.472,0.558,0.105,0.511,0.726,0.687,0.321
SVMSMOTE,0.65,SVM,0.844,0.468,0.613,0.117,0.531,0.748,0.724,0.286
SVMSMOTE,0.65,KNN,0.816,0.41,0.63,0.153,0.497,0.739,0.723,0.283
SVMSMOTE,0.65,LR,0.786,0.361,0.63,0.188,0.459,0.721,0.709,0.294
SVMSMOTE,0.65,DT,0.822,0.414,0.569,0.136,0.479,0.717,0.686,0.32
SVMSMOTE,0.65,RF,0.879,0.589,0.53,0.062,0.558,0.734,0.678,0.335
SVMSMOTE,0.65,LightGBM,0.877,0.577,0.558,0.069,0.567,0.745,0.698,0.316
SVMSMOTE,0.65,Adaboost,0.856,0.5,0.619,0.104,0.553,0.757,0.732,0.279
SVMSMOTE,0.65,GBDT,0.862,0.52,0.564,0.088,0.541,0.738,0.697,0.315
SMOTUNED,273.45,SVM,0.849,0.481,0.569,0.103,0.522,0.733,0.696,0.313
SMOTUNED,127.83,KNN,0.786,0.365,0.657,0.193,0.469,0.732,0.725,0.278
SMOTUNED,1904.9,LR,0.747,0.314,0.641,0.236,0.422,0.703,0.697,0.304
SMOTUNED,87.22,DT,0.744,0.314,0.652,0.24,0.424,0.706,0.702,0.299
SMOTUNED,296.24,RF,0.831,0.443,0.669,0.142,0.533,0.763,0.752,0.255
SMOTUNED,168.04,LightGBM,0.791,0.375,0.674,0.189,0.482,0.743,0.736,0.266
SMOTUNED,345.95,Adaboost,0.841,0.462,0.635,0.125,0.535,0.755,0.736,0.273
SMOTUNED,508.1,GBDT,0.798,0.389,0.696,0.184,0.499,0.756,0.751,0.251
DAZZLE,2741.87744808197,SVM,0.904,0.819,0.425,0.016,0.56,0.705,0.594,0.406
DAZZLE,2741.87744808197,KNN,0.898,0.735,0.459,0.028,0.565,0.715,0.623,0.383
DAZZLE,2741.87744808197,LR,0.751,0.288,0.497,0.207,0.365,0.645,0.611,0.384
DAZZLE,2741.87744808197,DT,0.843,0.46,0.503,0.1,0.48,0.702,0.645,0.359
DAZZLE,2741.87744808197,RF,0.896,0.738,0.436,0.026,0.549,0.705,0.603,0.399
DAZZLE,2741.87744808197,LightGBM,0.909,0.807,0.486,0.02,0.607,0.733,0.65,0.364
DAZZLE,2741.87744808197,Adaboost,0.905,0.804,0.453,0.019,0.58,0.717,0.62,0.387
DAZZLE,2741.87744808197,GBDT,0.896,0.679,0.525,0.042,0.592,0.741,0.678,0.337
