oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.901,0.938,0.337,0.004,0.496,0.667,0.504,0.469
No,0,KNN,0.899,0.733,0.47,0.029,0.572,0.72,0.633,0.376
No,0,LR,0.88,0.857,0.199,0.006,0.323,0.597,0.331,0.566
No,0,DT,0.857,0.503,0.475,0.079,0.489,0.698,0.627,0.375
No,0,RF,0.898,0.748,0.442,0.025,0.556,0.708,0.608,0.395
No,0,LightGBM,0.91,0.809,0.492,0.02,0.612,0.736,0.655,0.36
No,0,Adaboost,0.903,0.781,0.453,0.021,0.573,0.716,0.619,0.387
No,0,GBDT,0.9,0.7,0.541,0.039,0.611,0.751,0.693,0.325
Random,0.01,SVM,0.867,0.535,0.597,0.088,0.564,0.755,0.722,0.292
Random,0.01,KNN,0.844,0.47,0.641,0.122,0.542,0.759,0.741,0.268
Random,0.01,LR,0.79,0.359,0.575,0.173,0.442,0.701,0.678,0.325
Random,0.01,DT,0.85,0.482,0.519,0.094,0.5,0.713,0.66,0.346
Random,0.01,RF,0.891,0.662,0.497,0.043,0.568,0.727,0.654,0.357
Random,0.01,LightGBM,0.884,0.596,0.602,0.069,0.599,0.767,0.731,0.285
Random,0.01,Adaboost,0.838,0.457,0.652,0.13,0.538,0.761,0.745,0.263
Random,0.01,GBDT,0.86,0.512,0.586,0.094,0.546,0.746,0.711,0.3
SMOTE,0.05,SVM,0.842,0.467,0.669,0.128,0.55,0.77,0.757,0.251
SMOTE,0.05,KNN,0.828,0.437,0.674,0.146,0.53,0.764,0.753,0.253
SMOTE,0.05,LR,0.763,0.329,0.624,0.214,0.431,0.705,0.696,0.306
SMOTE,0.05,DT,0.816,0.402,0.564,0.142,0.469,0.711,0.68,0.324
SMOTE,0.05,RF,0.878,0.583,0.541,0.065,0.562,0.738,0.686,0.328
SMOTE,0.05,LightGBM,0.883,0.596,0.586,0.067,0.591,0.759,0.72,0.297
SMOTE,0.05,Adaboost,0.844,0.467,0.586,0.113,0.52,0.736,0.706,0.304
SMOTE,0.05,GBDT,0.86,0.513,0.558,0.089,0.534,0.734,0.692,0.319
ADASYN,0.04,SVM,0.69,0.284,0.757,0.321,0.413,0.718,0.716,0.285
ADASYN,0.04,KNN,0.804,0.396,0.685,0.176,0.502,0.755,0.748,0.255
ADASYN,0.04,LR,0.695,0.261,0.608,0.291,0.365,0.659,0.655,0.345
ADASYN,0.04,DT,0.81,0.385,0.536,0.144,0.448,0.696,0.659,0.344
ADASYN,0.04,RF,0.863,0.522,0.58,0.089,0.55,0.745,0.709,0.304
ADASYN,0.04,LightGBM,0.865,0.526,0.608,0.092,0.564,0.758,0.728,0.285
ADASYN,0.04,Adaboost,0.79,0.373,0.669,0.189,0.479,0.74,0.733,0.27
ADASYN,0.04,GBDT,0.851,0.486,0.591,0.105,0.534,0.743,0.712,0.299
BorderlineSMOTE,0.05,SVM,0.718,0.301,0.724,0.283,0.425,0.72,0.72,0.28
BorderlineSMOTE,0.05,KNN,0.819,0.422,0.685,0.158,0.522,0.763,0.755,0.249
BorderlineSMOTE,0.05,LR,0.713,0.251,0.497,0.25,0.333,0.623,0.598,0.397
BorderlineSMOTE,0.05,DT,0.803,0.367,0.503,0.146,0.424,0.678,0.633,0.366
BorderlineSMOTE,0.05,RF,0.865,0.529,0.552,0.083,0.541,0.735,0.69,0.322
BorderlineSMOTE,0.05,LightGBM,0.859,0.509,0.608,0.099,0.554,0.755,0.726,0.286
BorderlineSMOTE,0.05,Adaboost,0.777,0.344,0.602,0.194,0.438,0.704,0.689,0.313
BorderlineSMOTE,0.05,GBDT,0.852,0.489,0.602,0.106,0.54,0.748,0.72,0.291
SVMSMOTE,0.57,SVM,0.841,0.466,0.674,0.13,0.551,0.772,0.759,0.248
SVMSMOTE,0.57,KNN,0.839,0.458,0.63,0.126,0.53,0.752,0.732,0.276
SVMSMOTE,0.57,LR,0.782,0.356,0.635,0.194,0.456,0.721,0.711,0.292
SVMSMOTE,0.57,DT,0.823,0.42,0.591,0.138,0.491,0.727,0.701,0.305
SVMSMOTE,0.57,RF,0.879,0.585,0.552,0.066,0.568,0.743,0.694,0.32
SVMSMOTE,0.57,LightGBM,0.876,0.568,0.575,0.074,0.571,0.751,0.709,0.305
SVMSMOTE,0.57,Adaboost,0.842,0.464,0.597,0.116,0.522,0.74,0.712,0.297
SVMSMOTE,0.57,GBDT,0.854,0.495,0.58,0.1,0.534,0.74,0.706,0.305
SMOTUNED,230.13,SVM,0.857,0.502,0.597,0.1,0.545,0.749,0.718,0.294
SMOTUNED,102.77,KNN,0.794,0.374,0.641,0.181,0.473,0.73,0.719,0.284
SMOTUNED,1008.51,LR,0.786,0.352,0.58,0.18,0.438,0.7,0.68,0.323
SMOTUNED,120.65,DT,0.735,0.304,0.652,0.251,0.415,0.7,0.697,0.304
SMOTUNED,375.68,RF,0.825,0.434,0.696,0.153,0.535,0.772,0.764,0.24
