oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.908,0.958,0.376,0.003,0.54,0.686,0.546,0.441
No,0,KNN,0.905,0.731,0.541,0.034,0.622,0.754,0.694,0.325
No,0,LR,0.87,0.714,0.166,0.011,0.269,0.577,0.284,0.59
No,0,DT,0.837,0.447,0.53,0.111,0.485,0.71,0.664,0.341
No,0,RF,0.908,0.795,0.492,0.021,0.608,0.735,0.655,0.36
No,0,LightGBM,0.914,0.817,0.519,0.02,0.635,0.75,0.679,0.34
No,0,Adaboost,0.92,0.857,0.53,0.015,0.655,0.758,0.69,0.332
No,0,GBDT,0.89,0.641,0.541,0.051,0.587,0.745,0.689,0.326
Random,0.01,SVM,0.877,0.572,0.591,0.074,0.582,0.758,0.721,0.294
Random,0.01,KNN,0.831,0.441,0.641,0.137,0.523,0.752,0.736,0.272
Random,0.01,LR,0.777,0.343,0.597,0.193,0.435,0.702,0.686,0.316
Random,0.01,DT,0.857,0.506,0.503,0.083,0.504,0.71,0.649,0.356
Random,0.01,RF,0.909,0.764,0.536,0.028,0.63,0.754,0.691,0.329
Random,0.01,LightGBM,0.878,0.573,0.608,0.076,0.59,0.766,0.733,0.283
Random,0.01,Adaboost,0.831,0.442,0.646,0.138,0.525,0.754,0.739,0.268
Random,0.01,GBDT,0.853,0.493,0.569,0.099,0.528,0.735,0.698,0.313
SMOTE,0.16,SVM,0.849,0.483,0.613,0.111,0.54,0.751,0.726,0.284
SMOTE,0.16,KNN,0.802,0.389,0.657,0.174,0.489,0.742,0.732,0.272
SMOTE,0.16,LR,0.761,0.323,0.602,0.212,0.421,0.695,0.683,0.319
SMOTE,0.16,DT,0.833,0.44,0.586,0.126,0.502,0.73,0.701,0.306
SMOTE,0.16,RF,0.88,0.592,0.552,0.064,0.571,0.744,0.695,0.32
SMOTE,0.16,LightGBM,0.882,0.595,0.569,0.065,0.582,0.752,0.707,0.308
SMOTE,0.16,Adaboost,0.838,0.454,0.602,0.122,0.518,0.74,0.714,0.294
SMOTE,0.16,GBDT,0.859,0.51,0.564,0.091,0.535,0.736,0.696,0.315
ADASYN,0.07,SVM,0.684,0.283,0.773,0.331,0.414,0.721,0.718,0.283
ADASYN,0.07,KNN,0.771,0.353,0.702,0.217,0.47,0.742,0.74,0.261
ADASYN,0.07,LR,0.67,0.232,0.558,0.311,0.328,0.624,0.617,0.382
ADASYN,0.07,DT,0.821,0.412,0.569,0.137,0.478,0.716,0.686,0.32
ADASYN,0.07,RF,0.867,0.536,0.58,0.085,0.557,0.748,0.71,0.303
ADASYN,0.07,LightGBM,0.87,0.544,0.619,0.088,0.579,0.766,0.737,0.277
ADASYN,0.07,Adaboost,0.784,0.359,0.635,0.191,0.459,0.722,0.712,0.291
ADASYN,0.07,GBDT,0.85,0.484,0.597,0.107,0.535,0.745,0.715,0.295
BorderlineSMOTE,0.06,SVM,0.818,0.407,0.58,0.142,0.478,0.719,0.692,0.314
BorderlineSMOTE,0.06,KNN,0.794,0.381,0.68,0.186,0.488,0.747,0.741,0.262
BorderlineSMOTE,0.06,LR,0.696,0.21,0.403,0.255,0.277,0.574,0.523,0.459
