oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.83,0.818,0.22,0.013,0.346,0.603,0.359,0.552
No,0,KNN,0.825,0.607,0.415,0.069,0.493,0.673,0.574,0.417
No,0,LR,0.86,0.76,0.463,0.038,0.576,0.713,0.626,0.38
No,0,DT,0.845,0.619,0.634,0.101,0.627,0.767,0.744,0.268
No,0,RF,0.87,0.759,0.537,0.044,0.629,0.746,0.687,0.329
No,0,LightGBM,0.85,0.72,0.439,0.044,0.545,0.697,0.602,0.398
No,0,Adaboost,0.845,0.656,0.512,0.069,0.575,0.722,0.661,0.348
No,0,GBDT,0.87,0.727,0.585,0.057,0.649,0.764,0.722,0.296
Random,0.02,SVM,0.795,0.5,0.634,0.164,0.559,0.735,0.721,0.283
Random,0.02,KNN,0.795,0.5,0.683,0.176,0.577,0.753,0.747,0.256
Random,0.02,LR,0.81,0.529,0.659,0.151,0.587,0.754,0.742,0.264
Random,0.02,DT,0.81,0.535,0.561,0.126,0.548,0.718,0.683,0.323
Random,0.02,RF,0.87,0.742,0.561,0.05,0.639,0.755,0.705,0.312
Random,0.02,LightGBM,0.86,0.724,0.512,0.05,0.6,0.731,0.665,0.347
Random,0.02,Adaboost,0.78,0.471,0.585,0.17,0.522,0.708,0.687,0.317
Random,0.02,GBDT,0.835,0.611,0.537,0.088,0.571,0.724,0.676,0.334
SMOTE,0.03,SVM,0.745,0.414,0.585,0.214,0.485,0.686,0.671,0.33
SMOTE,0.03,KNN,0.78,0.473,0.634,0.182,0.542,0.726,0.714,0.289
SMOTE,0.03,LR,0.79,0.491,0.659,0.176,0.562,0.741,0.732,0.272
SMOTE,0.03,DT,0.765,0.435,0.488,0.164,0.46,0.662,0.616,0.38
SMOTE,0.03,RF,0.83,0.581,0.61,0.113,0.595,0.748,0.723,0.287
SMOTE,0.03,LightGBM,0.845,0.639,0.561,0.082,0.597,0.74,0.696,0.316
SMOTE,0.03,Adaboost,0.795,0.5,0.561,0.145,0.529,0.708,0.678,0.327
SMOTE,0.03,GBDT,0.815,0.55,0.537,0.113,0.543,0.712,0.669,0.337
ADASYN,0.03,SVM,0.68,0.351,0.659,0.314,0.458,0.672,0.672,0.328
ADASYN,0.03,KNN,0.745,0.419,0.634,0.226,0.505,0.704,0.697,0.304
ADASYN,0.03,LR,0.73,0.4,0.634,0.245,0.491,0.694,0.689,0.311
ADASYN,0.03,DT,0.775,0.457,0.512,0.157,0.483,0.677,0.637,0.362
ADASYN,0.03,RF,0.85,0.622,0.683,0.107,0.651,0.788,0.774,0.237
ADASYN,0.03,LightGBM,0.865,0.684,0.634,0.075,0.658,0.779,0.752,0.264
ADASYN,0.03,Adaboost,0.81,0.532,0.61,0.138,0.568,0.736,0.714,0.293
ADASYN,0.03,GBDT,0.825,0.565,0.634,0.126,0.598,0.754,0.735,0.274
BorderlineSMOTE,0.02,SVM,0.725,0.4,0.683,0.264,0.505,0.709,0.708,0.292
BorderlineSMOTE,0.02,KNN,0.77,0.456,0.634,0.195,0.531,0.72,0.709,0.293
BorderlineSMOTE,0.02,LR,0.765,0.448,0.634,0.201,0.525,0.716,0.707,0.295
BorderlineSMOTE,0.02,DT,0.765,0.442,0.561,0.182,0.495,0.689,0.665,0.336
BorderlineSMOTE,0.02,RF,0.84,0.605,0.634,0.107,0.619,0.764,0.742,0.27
BorderlineSMOTE,0.02,LightGBM,0.845,0.656,0.512,0.069,0.575,0.722,0.661,0.348
BorderlineSMOTE,0.02,Adaboost,0.815,0.553,0.512,0.107,0.532,0.703,0.651,0.353
BorderlineSMOTE,0.02,GBDT,0.8,0.512,0.512,0.126,0.512,0.693,0.646,0.356
SVMSMOTE,0.07,SVM,0.79,0.49,0.585,0.157,0.533,0.714,0.691,0.314
SVMSMOTE,0.07,KNN,0.81,0.531,0.634,0.145,0.578,0.745,0.728,0.278
SVMSMOTE,0.07,LR,0.83,0.569,0.707,0.138,0.63,0.784,0.777,0.229
SVMSMOTE,0.07,DT,0.82,0.547,0.707,0.151,0.617,0.778,0.772,0.233
SVMSMOTE,0.07,RF,0.86,0.676,0.61,0.075,0.641,0.767,0.735,0.281
SVMSMOTE,0.07,LightGBM,0.85,0.677,0.512,0.063,0.583,0.725,0.662,0.348
SVMSMOTE,0.07,Adaboost,0.815,0.55,0.537,0.113,0.543,0.712,0.669,0.337
SVMSMOTE,0.07,GBDT,0.83,0.606,0.488,0.082,0.541,0.703,0.637,0.367
SMOTUNED,105.42,SVM,0.795,0.5,0.707,0.182,0.586,0.762,0.758,0.244
SMOTUNED,77.18,KNN,0.72,0.391,0.659,0.264,0.491,0.697,0.695,0.305
SMOTUNED,1495.31,LR,0.78,0.474,0.659,0.189,0.551,0.735,0.727,0.276
