oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.825,0.688,0.268,0.031,0.386,0.618,0.42,0.518
No,0,KNN,0.845,0.656,0.512,0.069,0.575,0.722,0.661,0.348
No,0,LR,0.87,0.8,0.488,0.031,0.606,0.728,0.649,0.363
No,0,DT,0.805,0.526,0.488,0.113,0.506,0.687,0.629,0.371
No,0,RF,0.87,0.8,0.488,0.031,0.606,0.728,0.649,0.363
No,0,LightGBM,0.855,0.7,0.512,0.057,0.592,0.728,0.664,0.347
No,0,Adaboost,0.79,0.487,0.463,0.126,0.475,0.669,0.606,0.39
No,0,GBDT,0.865,0.706,0.585,0.063,0.64,0.761,0.721,0.297
Random,0.02,SVM,0.76,0.431,0.537,0.182,0.478,0.677,0.648,0.352
Random,0.02,KNN,0.765,0.448,0.634,0.201,0.525,0.716,0.707,0.295
Random,0.02,LR,0.785,0.481,0.634,0.176,0.547,0.729,0.717,0.287
Random,0.02,DT,0.76,0.415,0.415,0.151,0.415,0.632,0.557,0.427
Random,0.02,RF,0.86,0.71,0.537,0.057,0.611,0.74,0.684,0.33
Random,0.02,LightGBM,0.835,0.618,0.512,0.082,0.56,0.715,0.658,0.35
Random,0.02,Adaboost,0.785,0.478,0.537,0.151,0.506,0.693,0.658,0.345
Random,0.02,GBDT,0.825,0.579,0.537,0.101,0.557,0.718,0.672,0.335
SMOTE,0.02,SVM,0.73,0.377,0.488,0.208,0.426,0.64,0.604,0.391
SMOTE,0.02,KNN,0.76,0.448,0.732,0.233,0.556,0.75,0.749,0.251
SMOTE,0.02,LR,0.775,0.463,0.61,0.182,0.526,0.714,0.699,0.305
SMOTE,0.02,DT,0.75,0.408,0.488,0.182,0.444,0.653,0.611,0.384
SMOTE,0.02,RF,0.835,0.6,0.585,0.101,0.593,0.742,0.709,0.302
SMOTE,0.02,LightGBM,0.83,0.606,0.488,0.082,0.541,0.703,0.637,0.367
SMOTE,0.02,Adaboost,0.795,0.5,0.512,0.132,0.506,0.69,0.644,0.357
SMOTE,0.02,GBDT,0.82,0.568,0.512,0.101,0.538,0.706,0.653,0.352
ADASYN,0.03,SVM,0.665,0.319,0.561,0.308,0.407,0.626,0.62,0.379
ADASYN,0.03,KNN,0.77,0.462,0.732,0.22,0.566,0.756,0.755,0.245
ADASYN,0.03,LR,0.74,0.415,0.659,0.239,0.509,0.71,0.706,0.295
ADASYN,0.03,DT,0.74,0.392,0.488,0.195,0.435,0.646,0.607,0.388
ADASYN,0.03,RF,0.81,0.533,0.585,0.132,0.558,0.727,0.699,0.308
ADASYN,0.03,LightGBM,0.835,0.618,0.512,0.082,0.56,0.715,0.658,0.35
ADASYN,0.03,Adaboost,0.795,0.5,0.634,0.164,0.559,0.735,0.721,0.283
ADASYN,0.03,GBDT,0.815,0.559,0.463,0.094,0.507,0.685,0.613,0.385
BorderlineSMOTE,0.03,SVM,0.705,0.327,0.415,0.22,0.366,0.597,0.541,0.442
BorderlineSMOTE,0.03,KNN,0.77,0.462,0.732,0.22,0.566,0.756,0.755,0.245
BorderlineSMOTE,0.03,LR,0.715,0.379,0.61,0.258,0.467,0.676,0.669,0.331
BorderlineSMOTE,0.03,DT,0.755,0.417,0.488,0.176,0.449,0.656,0.613,0.383
BorderlineSMOTE,0.03,RF,0.815,0.548,0.561,0.119,0.554,0.721,0.685,0.322
BorderlineSMOTE,0.03,LightGBM,0.82,0.571,0.488,0.094,0.526,0.697,0.634,0.368
BorderlineSMOTE,0.03,Adaboost,0.8,0.511,0.585,0.145,0.545,0.72,0.695,0.311
BorderlineSMOTE,0.03,GBDT,0.81,0.543,0.463,0.101,0.5,0.681,0.612,0.386
SVMSMOTE,0.04,SVM,0.77,0.442,0.463,0.151,0.452,0.656,0.6,0.394
SVMSMOTE,0.04,KNN,0.77,0.456,0.634,0.195,0.531,0.72,0.709,0.293
SVMSMOTE,0.04,LR,0.775,0.46,0.561,0.17,0.505,0.696,0.67,0.333
SVMSMOTE,0.04,DT,0.815,0.55,0.537,0.113,0.543,0.712,0.669,0.337
SVMSMOTE,0.04,RF,0.82,0.561,0.561,0.113,0.561,0.724,0.687,0.321
SVMSMOTE,0.04,LightGBM,0.805,0.525,0.512,0.119,0.519,0.696,0.648,0.355
SVMSMOTE,0.04,Adaboost,0.8,0.511,0.561,0.138,0.535,0.711,0.68,0.325
SVMSMOTE,0.04,GBDT,0.81,0.541,0.488,0.107,0.513,0.69,0.631,0.37
SMOTUNED,73.3,SVM,0.74,0.4,0.537,0.208,0.458,0.665,0.64,0.359
SMOTUNED,60.13,KNN,0.77,0.459,0.683,0.208,0.549,0.738,0.734,0.268
SMOTUNED,1188.45,LR,0.75,0.429,0.659,0.226,0.519,0.716,0.711,0.29
SMOTUNED,89.04,DT,0.77,0.447,0.512,0.164,0.477,0.674,0.635,0.364
SMOTUNED,353.85,RF,0.8,0.509,0.707,0.176,0.592,0.766,0.761,0.242
SMOTUNED,324.25,LightGBM,0.735,0.403,0.61,0.233,0.485,0.689,0.68,0.321
SMOTUNED,575.76,Adaboost,0.755,0.435,0.659,0.22,0.524,0.719,0.714,0.287
SMOTUNED,1017.84,GBDT,0.825,0.565,0.634,0.126,0.598,0.754,0.735,0.274
DAZZLE,665.2443652153015,SVM,0.835,0.7,0.341,0.038,0.459,0.652,0.504,0.466
DAZZLE,665.2443652153015,KNN,0.84,0.645,0.488,0.069,0.556,0.709,0.64,0.365
DAZZLE,665.2443652153015,LR,0.855,0.7,0.512,0.057,0.592,0.728,0.664,0.347
DAZZLE,665.2443652153015,DT,0.81,0.533,0.585,0.132,0.558,0.727,0.699,0.308
DAZZLE,665.2443652153015,RF,0.855,0.7,0.512,0.057,0.592,0.728,0.664,0.347
DAZZLE,665.2443652153015,LightGBM,0.855,0.688,0.537,0.063,0.603,0.737,0.682,0.331
DAZZLE,665.2443652153015,Adaboost,0.84,0.629,0.537,0.082,0.579,0.727,0.677,0.333
DAZZLE,665.2443652153015,GBDT,0.825,0.571,0.585,0.113,0.578,0.736,0.705,0.304
