oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.845,0.75,0.366,0.031,0.492,0.667,0.531,0.449
No,0,KNN,0.83,0.63,0.415,0.063,0.5,0.676,0.575,0.416
No,0,LR,0.835,0.654,0.415,0.057,0.507,0.679,0.576,0.416
No,0,DT,0.785,0.479,0.561,0.157,0.517,0.702,0.674,0.33
No,0,RF,0.855,0.75,0.439,0.038,0.554,0.701,0.603,0.398
No,0,LightGBM,0.86,0.741,0.488,0.044,0.588,0.722,0.646,0.364
No,0,Adaboost,0.845,0.656,0.512,0.069,0.575,0.722,0.661,0.348
No,0,GBDT,0.845,0.656,0.512,0.069,0.575,0.722,0.661,0.348
Random,0.01,SVM,0.74,0.415,0.659,0.239,0.509,0.71,0.706,0.295
Random,0.01,KNN,0.78,0.475,0.683,0.195,0.56,0.744,0.739,0.263
Random,0.01,LR,0.755,0.438,0.683,0.226,0.533,0.728,0.725,0.275
Random,0.01,DT,0.815,0.556,0.488,0.101,0.519,0.694,0.633,0.369
Random,0.01,RF,0.835,0.611,0.537,0.088,0.571,0.724,0.676,0.334
Random,0.01,LightGBM,0.84,0.645,0.488,0.069,0.556,0.709,0.64,0.365
Random,0.01,Adaboost,0.83,0.585,0.585,0.107,0.585,0.739,0.707,0.303
Random,0.01,GBDT,0.845,0.639,0.561,0.082,0.597,0.74,0.696,0.316
SMOTE,0.01,SVM,0.75,0.426,0.634,0.22,0.51,0.707,0.7,0.302
SMOTE,0.01,KNN,0.77,0.458,0.659,0.201,0.54,0.729,0.722,0.28
SMOTE,0.01,LR,0.77,0.46,0.707,0.214,0.558,0.747,0.745,0.256
SMOTE,0.01,DT,0.77,0.453,0.585,0.182,0.511,0.701,0.682,0.32
SMOTE,0.01,RF,0.83,0.59,0.561,0.101,0.575,0.73,0.691,0.318
SMOTE,0.01,LightGBM,0.83,0.595,0.537,0.094,0.564,0.721,0.674,0.334
SMOTE,0.01,Adaboost,0.77,0.447,0.512,0.164,0.477,0.674,0.635,0.364
SMOTE,0.01,GBDT,0.82,0.564,0.537,0.107,0.55,0.715,0.67,0.336
ADASYN,0.02,SVM,0.665,0.338,0.659,0.333,0.446,0.663,0.663,0.337
ADASYN,0.02,KNN,0.765,0.457,0.78,0.239,0.577,0.771,0.771,0.229
ADASYN,0.02,LR,0.7,0.373,0.683,0.296,0.483,0.694,0.693,0.307
ADASYN,0.02,DT,0.8,0.511,0.585,0.145,0.545,0.72,0.695,0.311
ADASYN,0.02,RF,0.835,0.591,0.634,0.113,0.612,0.76,0.739,0.271
ADASYN,0.02,LightGBM,0.845,0.639,0.561,0.082,0.597,0.74,0.696,0.316
ADASYN,0.02,Adaboost,0.78,0.465,0.488,0.145,0.476,0.672,0.621,0.376
ADASYN,0.02,GBDT,0.815,0.545,0.585,0.126,0.565,0.73,0.701,0.306
BorderlineSMOTE,0.02,SVM,0.69,0.36,0.659,0.302,0.466,0.678,0.678,0.322
BorderlineSMOTE,0.02,KNN,0.76,0.444,0.683,0.22,0.538,0.731,0.728,0.273
BorderlineSMOTE,0.02,LR,0.77,0.46,0.707,0.214,0.558,0.747,0.745,0.256
BorderlineSMOTE,0.02,DT,0.82,0.564,0.537,0.107,0.55,0.715,0.67,0.336
BorderlineSMOTE,0.02,RF,0.83,0.585,0.585,0.107,0.585,0.739,0.707,0.303
BorderlineSMOTE,0.02,LightGBM,0.84,0.629,0.537,0.082,0.579,0.727,0.677,0.333
BorderlineSMOTE,0.02,Adaboost,0.8,0.509,0.659,0.164,0.574,0.748,0.737,0.268
BorderlineSMOTE,0.02,GBDT,0.83,0.595,0.537,0.094,0.564,0.721,0.674,0.334
SVMSMOTE,0.05,SVM,0.75,0.421,0.585,0.208,0.49,0.689,0.673,0.328
SVMSMOTE,0.05,KNN,0.75,0.424,0.61,0.214,0.5,0.698,0.687,0.315
SVMSMOTE,0.05,LR,0.76,0.436,0.585,0.195,0.5,0.695,0.678,0.324
SVMSMOTE,0.05,DT,0.74,0.407,0.585,0.22,0.48,0.683,0.669,0.332
SVMSMOTE,0.05,RF,0.855,0.636,0.683,0.101,0.659,0.791,0.776,0.235
SVMSMOTE,0.05,LightGBM,0.84,0.629,0.537,0.082,0.579,0.727,0.677,0.333
SVMSMOTE,0.05,Adaboost,0.845,0.619,0.634,0.101,0.627,0.767,0.744,0.268
SVMSMOTE,0.05,GBDT,0.845,0.632,0.585,0.088,0.608,0.749,0.713,0.3
SMOTUNED,65.61,SVM,0.73,0.408,0.707,0.264,0.518,0.722,0.721,0.279
SMOTUNED,50.08,KNN,0.79,0.491,0.634,0.17,0.553,0.732,0.719,0.285
SMOTUNED,1119.01,LR,0.75,0.429,0.659,0.226,0.519,0.716,0.711,0.29
SMOTUNED,86.59,DT,0.76,0.441,0.634,0.208,0.52,0.713,0.705,0.297
SMOTUNED,340.17,RF,0.8,0.508,0.78,0.195,0.615,0.793,0.793,0.208
SMOTUNED,343.57,LightGBM,0.805,0.518,0.707,0.17,0.598,0.769,0.764,0.239
SMOTUNED,691.75,Adaboost,0.81,0.525,0.756,0.176,0.62,0.79,0.789,0.213
SMOTUNED,1253.85,GBDT,0.815,0.538,0.683,0.151,0.602,0.766,0.757,0.248
DAZZLE,534.9357814788818,SVM,0.815,0.583,0.341,0.063,0.431,0.639,0.501,0.468
DAZZLE,534.9357814788818,KNN,0.82,0.581,0.439,0.082,0.5,0.679,0.594,0.401
DAZZLE,534.9357814788818,LR,0.825,0.575,0.561,0.107,0.568,0.727,0.689,0.32
DAZZLE,534.9357814788818,DT,0.775,0.462,0.585,0.176,0.516,0.705,0.684,0.319
DAZZLE,534.9357814788818,RF,0.84,0.645,0.488,0.069,0.556,0.709,0.64,0.365
DAZZLE,534.9357814788818,LightGBM,0.845,0.667,0.488,0.063,0.563,0.712,0.642,0.365
