oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.85,0.789,0.366,0.025,0.5,0.67,0.532,0.449
No,0,KNN,0.855,0.688,0.537,0.063,0.603,0.737,0.682,0.331
No,0,LR,0.88,0.774,0.585,0.044,0.667,0.771,0.726,0.295
No,0,DT,0.805,0.524,0.537,0.126,0.53,0.705,0.665,0.34
No,0,RF,0.87,0.742,0.561,0.05,0.639,0.755,0.705,0.312
No,0,LightGBM,0.875,0.735,0.61,0.057,0.667,0.777,0.741,0.279
No,0,Adaboost,0.845,0.632,0.585,0.088,0.608,0.749,0.713,0.3
No,0,GBDT,0.86,0.686,0.585,0.069,0.632,0.758,0.719,0.297
Random,0.02,SVM,0.77,0.455,0.61,0.189,0.521,0.711,0.696,0.307
Random,0.02,KNN,0.815,0.538,0.683,0.151,0.602,0.766,0.757,0.248
Random,0.02,LR,0.815,0.537,0.707,0.157,0.611,0.775,0.769,0.235
Random,0.02,DT,0.85,0.622,0.683,0.107,0.651,0.788,0.774,0.237
Random,0.02,RF,0.885,0.781,0.61,0.044,0.685,0.783,0.745,0.278
Random,0.02,LightGBM,0.885,0.75,0.659,0.057,0.701,0.801,0.776,0.245
Random,0.02,Adaboost,0.795,0.5,0.78,0.201,0.61,0.79,0.79,0.211
Random,0.02,GBDT,0.865,0.694,0.61,0.069,0.649,0.77,0.737,0.28
SMOTE,0.02,SVM,0.75,0.418,0.561,0.201,0.479,0.68,0.659,0.342
SMOTE,0.02,KNN,0.785,0.483,0.683,0.189,0.566,0.747,0.742,0.261
SMOTE,0.02,LR,0.8,0.509,0.707,0.176,0.592,0.766,0.761,0.242
SMOTE,0.02,DT,0.8,0.509,0.659,0.164,0.574,0.748,0.737,0.268
SMOTE,0.02,RF,0.845,0.614,0.659,0.107,0.635,0.776,0.758,0.253
SMOTE,0.02,LightGBM,0.855,0.65,0.634,0.088,0.642,0.773,0.748,0.266
SMOTE,0.02,Adaboost,0.81,0.527,0.707,0.164,0.604,0.772,0.766,0.237
SMOTE,0.02,GBDT,0.875,0.667,0.78,0.101,0.719,0.84,0.836,0.171
ADASYN,0.03,SVM,0.7,0.354,0.561,0.264,0.434,0.648,0.637,0.362
ADASYN,0.03,KNN,0.785,0.484,0.756,0.208,0.59,0.774,0.774,0.226
ADASYN,0.03,LR,0.78,0.478,0.78,0.22,0.593,0.78,0.78,0.22
ADASYN,0.03,DT,0.835,0.58,0.707,0.132,0.637,0.788,0.779,0.227
ADASYN,0.03,RF,0.865,0.675,0.659,0.082,0.667,0.788,0.767,0.248
ADASYN,0.03,LightGBM,0.865,0.684,0.634,0.075,0.658,0.779,0.752,0.264
ADASYN,0.03,Adaboost,0.805,0.519,0.659,0.157,0.581,0.751,0.739,0.266
ADASYN,0.03,GBDT,0.855,0.65,0.634,0.088,0.642,0.773,0.748,0.266
BorderlineSMOTE,0.02,SVM,0.775,0.46,0.561,0.17,0.505,0.696,0.67,0.333
BorderlineSMOTE,0.02,KNN,0.825,0.552,0.78,0.164,0.646,0.808,0.808,0.194
BorderlineSMOTE,0.02,LR,0.815,0.536,0.732,0.164,0.619,0.784,0.781,0.222
BorderlineSMOTE,0.02,DT,0.765,0.44,0.537,0.176,0.484,0.68,0.65,0.351
BorderlineSMOTE,0.02,RF,0.84,0.605,0.634,0.107,0.619,0.764,0.742,0.27
BorderlineSMOTE,0.02,LightGBM,0.865,0.684,0.634,0.075,0.658,0.779,0.752,0.264
BorderlineSMOTE,0.02,Adaboost,0.79,0.49,0.585,0.157,0.533,0.714,0.691,0.314
BorderlineSMOTE,0.02,GBDT,0.84,0.622,0.561,0.088,0.59,0.736,0.695,0.317
SVMSMOTE,0.06,SVM,0.825,0.568,0.61,0.119,0.588,0.745,0.721,0.289
SVMSMOTE,0.06,KNN,0.815,0.536,0.732,0.164,0.619,0.784,0.781,0.222
SVMSMOTE,0.06,LR,0.81,0.528,0.683,0.157,0.596,0.763,0.754,0.25
SVMSMOTE,0.06,DT,0.795,0.5,0.732,0.189,0.594,0.772,0.769,0.232
SVMSMOTE,0.06,RF,0.85,0.622,0.683,0.107,0.651,0.788,0.774,0.237
SVMSMOTE,0.06,LightGBM,0.87,0.714,0.61,0.063,0.658,0.773,0.739,0.28
SVMSMOTE,0.06,Adaboost,0.835,0.591,0.634,0.113,0.612,0.76,0.739,0.271
SVMSMOTE,0.06,GBDT,0.825,0.56,0.683,0.138,0.615,0.772,0.762,0.245
SMOTUNED,76.56,SVM,0.755,0.439,0.707,0.233,0.542,0.737,0.736,0.264
SMOTUNED,59.22,KNN,0.825,0.556,0.732,0.151,0.632,0.79,0.786,0.218
SMOTUNED,1096.22,LR,0.79,0.492,0.732,0.195,0.588,0.768,0.767,0.235
SMOTUNED,94.86,DT,0.805,0.521,0.61,0.145,0.562,0.733,0.712,0.294
SMOTUNED,364.92,RF,0.8,0.508,0.756,0.189,0.608,0.784,0.783,0.218
SMOTUNED,340.09,LightGBM,0.755,0.443,0.756,0.245,0.559,0.755,0.755,0.245
SMOTUNED,665.09,Adaboost,0.755,0.439,0.707,0.233,0.542,0.737,0.736,0.264
SMOTUNED,1176.41,GBDT,0.835,0.587,0.659,0.119,0.621,0.77,0.754,0.256
