oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.85,0.824,0.341,0.019,0.483,0.661,0.507,0.466
No,0,KNN,0.83,0.63,0.415,0.063,0.5,0.676,0.575,0.416
No,0,LR,0.825,0.607,0.415,0.069,0.493,0.673,0.574,0.417
No,0,DT,0.78,0.465,0.488,0.145,0.476,0.672,0.621,0.376
No,0,RF,0.86,0.81,0.415,0.025,0.548,0.695,0.582,0.414
No,0,LightGBM,0.845,0.708,0.415,0.044,0.523,0.685,0.578,0.415
No,0,Adaboost,0.795,0.5,0.415,0.107,0.453,0.654,0.566,0.421
No,0,GBDT,0.84,0.696,0.39,0.044,0.5,0.673,0.554,0.432
Random,0.02,SVM,0.715,0.386,0.659,0.27,0.486,0.694,0.692,0.308
Random,0.02,KNN,0.74,0.396,0.512,0.201,0.447,0.655,0.624,0.373
Random,0.02,LR,0.75,0.431,0.683,0.233,0.528,0.725,0.723,0.278
Random,0.02,DT,0.79,0.486,0.439,0.119,0.462,0.66,0.586,0.406
Random,0.02,RF,0.86,0.724,0.512,0.05,0.6,0.731,0.665,0.347
Random,0.02,LightGBM,0.85,0.704,0.463,0.05,0.559,0.707,0.623,0.381
Random,0.02,Adaboost,0.8,0.512,0.512,0.126,0.512,0.693,0.646,0.356
Random,0.02,GBDT,0.82,0.568,0.512,0.101,0.538,0.706,0.653,0.352
SMOTE,0.03,SVM,0.71,0.38,0.659,0.277,0.482,0.691,0.689,0.311
SMOTE,0.03,KNN,0.71,0.369,0.585,0.258,0.453,0.664,0.654,0.345
SMOTE,0.03,LR,0.745,0.424,0.683,0.239,0.523,0.722,0.72,0.281
SMOTE,0.03,DT,0.765,0.448,0.634,0.201,0.525,0.716,0.707,0.295
SMOTE,0.03,RF,0.84,0.622,0.561,0.088,0.59,0.736,0.695,0.317
SMOTE,0.03,LightGBM,0.855,0.658,0.61,0.082,0.633,0.764,0.733,0.282
SMOTE,0.03,Adaboost,0.785,0.479,0.561,0.157,0.517,0.702,0.674,0.33
SMOTE,0.03,GBDT,0.835,0.595,0.61,0.107,0.602,0.751,0.725,0.286
ADASYN,0.04,SVM,0.695,0.368,0.683,0.302,0.479,0.691,0.69,0.31
ADASYN,0.04,KNN,0.69,0.352,0.61,0.289,0.446,0.66,0.656,0.344
ADASYN,0.04,LR,0.725,0.403,0.707,0.27,0.513,0.718,0.718,0.282
ADASYN,0.04,DT,0.7,0.333,0.463,0.239,0.388,0.612,0.576,0.415
ADASYN,0.04,RF,0.825,0.562,0.659,0.132,0.607,0.763,0.749,0.259
ADASYN,0.04,LightGBM,0.83,0.59,0.561,0.101,0.575,0.73,0.691,0.318
ADASYN,0.04,Adaboost,0.79,0.488,0.512,0.138,0.5,0.687,0.642,0.359
ADASYN,0.04,GBDT,0.825,0.575,0.561,0.107,0.568,0.727,0.689,0.32
BorderlineSMOTE,0.03,SVM,0.695,0.361,0.634,0.289,0.46,0.672,0.67,0.33
BorderlineSMOTE,0.03,KNN,0.74,0.415,0.659,0.239,0.509,0.71,0.706,0.295
BorderlineSMOTE,0.03,LR,0.735,0.414,0.707,0.258,0.523,0.725,0.724,0.276
BorderlineSMOTE,0.03,DT,0.81,0.531,0.634,0.145,0.578,0.745,0.728,0.278
BorderlineSMOTE,0.03,RF,0.83,0.581,0.61,0.113,0.595,0.748,0.723,0.287
BorderlineSMOTE,0.03,LightGBM,0.835,0.605,0.561,0.094,0.582,0.733,0.693,0.318
BorderlineSMOTE,0.03,Adaboost,0.815,0.543,0.61,0.132,0.575,0.739,0.716,0.291
BorderlineSMOTE,0.03,GBDT,0.84,0.622,0.561,0.088,0.59,0.736,0.695,0.317
SVMSMOTE,0.07,SVM,0.765,0.452,0.683,0.214,0.544,0.735,0.731,0.27
SVMSMOTE,0.07,KNN,0.72,0.381,0.585,0.245,0.462,0.67,0.659,0.341
SVMSMOTE,0.07,LR,0.77,0.46,0.707,0.214,0.558,0.747,0.745,0.256
SVMSMOTE,0.07,DT,0.735,0.393,0.537,0.214,0.454,0.661,0.638,0.361
SVMSMOTE,0.07,RF,0.85,0.634,0.634,0.094,0.634,0.77,0.746,0.267
SVMSMOTE,0.07,LightGBM,0.85,0.667,0.537,0.069,0.595,0.734,0.681,0.331
SVMSMOTE,0.07,Adaboost,0.76,0.429,0.512,0.176,0.467,0.668,0.632,0.367
SVMSMOTE,0.07,GBDT,0.845,0.614,0.659,0.107,0.635,0.776,0.758,0.253
SMOTUNED,105.62,SVM,0.755,0.443,0.756,0.245,0.559,0.755,0.755,0.245
SMOTUNED,76.25,KNN,0.715,0.371,0.561,0.245,0.447,0.658,0.644,0.356
SMOTUNED,1278.02,LR,0.74,0.418,0.683,0.245,0.519,0.719,0.717,0.283
SMOTUNED,73.89,DT,0.735,0.4,0.585,0.226,0.475,0.679,0.666,0.334
SMOTUNED,251.82,RF,0.8,0.509,0.707,0.176,0.592,0.766,0.761,0.242
SMOTUNED,257.94,LightGBM,0.83,0.564,0.756,0.151,0.646,0.803,0.8,0.203
SMOTUNED,537.88,Adaboost,0.785,0.48,0.585,0.164,0.527,0.711,0.689,0.315
SMOTUNED,1029.59,GBDT,0.785,0.483,0.707,0.195,0.574,0.756,0.753,0.249
DAZZLE,658.5062990188599,SVM,0.865,0.75,0.512,0.044,0.609,0.734,0.667,0.346
DAZZLE,658.5062990188599,KNN,0.83,0.621,0.439,0.069,0.514,0.685,0.597,0.4
DAZZLE,658.5062990188599,LR,0.805,0.522,0.585,0.138,0.552,0.724,0.697,0.309
DAZZLE,658.5062990188599,DT,0.78,0.462,0.439,0.132,0.45,0.653,0.583,0.408
DAZZLE,658.5062990188599,RF,0.88,0.815,0.537,0.031,0.647,0.753,0.691,0.328
DAZZLE,658.5062990188599,LightGBM,0.86,0.76,0.463,0.038,0.576,0.713,0.626,0.38
DAZZLE,658.5062990188599,Adaboost,0.815,0.556,0.488,0.101,0.519,0.694,0.633,0.369
DAZZLE,658.5062990188599,GBDT,0.835,0.611,0.537,0.088,0.571,0.724,0.676,0.334
WGAN,10.84,SVM,0.795,0.0,0.0,0.0,0.0,0.5,0.0,0.707
WGAN,10.84,KNN,0.295,0.216,0.927,0.868,0.35,0.529,0.231,0.616
WGAN,10.84,LR,0.485,0.282,0.976,0.642,0.437,0.667,0.524,0.454
WGAN,10.84,DT,0.29,0.156,0.561,0.78,0.245,0.391,0.316,0.633
WGAN,10.84,RF,0.205,0.205,1.0,1.0,0.34,0.5,0.0,0.707
WGAN,10.84,LightGBM,0.215,0.207,1.0,0.987,0.343,0.506,0.025,0.698
WGAN,10.84,Adaboost,0.215,0.207,1.0,0.987,0.343,0.506,0.025,0.698
WGAN,10.84,GBDT,0.225,0.209,1.0,0.975,0.346,0.513,0.049,0.689
RP,1.179168939590454,SVM,0.695,0.372,0.707,0.308,0.487,0.7,0.699,0.301
RP,1.179168939590454,KNN,0.705,0.359,0.561,0.258,0.438,0.652,0.639,0.36
RP,1.179168939590454,LR,0.715,0.392,0.707,0.283,0.504,0.712,0.712,0.288
RP,1.179168939590454,DT,0.775,0.468,0.707,0.208,0.563,0.75,0.747,0.254
RP,1.179168939590454,RF,0.84,0.61,0.61,0.101,0.61,0.755,0.727,0.285
RP,1.179168939590454,LightGBM,0.855,0.667,0.585,0.075,0.623,0.755,0.717,0.298
RP,1.179168939590454,Adaboost,0.8,0.509,0.683,0.17,0.583,0.757,0.749,0.254
RP,1.179168939590454,GBDT,0.815,0.55,0.537,0.113,0.543,0.712,0.669,0.337
Howso,208.8169424533844,SVM,0.695,0.384,0.805,0.333,0.52,0.736,0.729,0.273
Howso,208.8169424533844,KNN,0.68,0.342,0.61,0.302,0.439,0.654,0.651,0.349
Howso,208.8169424533844,LR,0.73,0.418,0.805,0.289,0.55,0.758,0.755,0.247
Howso,208.8169424533844,DT,0.685,0.366,0.732,0.327,0.488,0.702,0.701,0.299
Howso,208.8169424533844,RF,0.735,0.414,0.707,0.258,0.523,0.725,0.724,0.276
Howso,208.8169424533844,LightGBM,0.775,0.471,0.78,0.226,0.587,0.777,0.777,0.223
Howso,208.8169424533844,Adaboost,0.755,0.443,0.756,0.245,0.559,0.755,0.755,0.245
Howso,208.8169424533844,GBDT,0.74,0.427,0.78,0.27,0.552,0.755,0.754,0.246
DS,0.5430362224578857,SVM,0.86,0.933,0.341,0.006,0.5,0.668,0.508,0.466
DS,0.5430362224578857,KNN,0.835,0.682,0.366,0.044,0.476,0.661,0.529,0.449
DS,0.5430362224578857,LR,0.845,0.679,0.463,0.057,0.551,0.703,0.622,0.382
DS,0.5430362224578857,DT,0.775,0.458,0.537,0.164,0.494,0.687,0.654,0.347
DS,0.5430362224578857,RF,0.86,0.783,0.439,0.031,0.562,0.704,0.604,0.397
DS,0.5430362224578857,LightGBM,0.86,0.76,0.463,0.038,0.576,0.713,0.626,0.38
DS,0.5430362224578857,Adaboost,0.815,0.562,0.439,0.088,0.493,0.675,0.593,0.402
DS,0.5430362224578857,GBDT,0.87,0.727,0.585,0.057,0.649,0.764,0.722,0.296
SDV_GC,11.691083431243896,SVM,0.855,0.833,0.366,0.019,0.508,0.673,0.533,0.449
SDV_GC,11.691083431243896,KNN,0.82,0.593,0.39,0.069,0.471,0.661,0.55,0.434
SDV_GC,11.691083431243896,LR,0.835,0.654,0.415,0.057,0.507,0.679,0.576,0.416
SDV_GC,11.691083431243896,DT,0.795,0.5,0.488,0.126,0.494,0.681,0.626,0.373
SDV_GC,11.691083431243896,RF,0.87,0.826,0.463,0.025,0.594,0.719,0.628,0.38
SDV_GC,11.691083431243896,LightGBM,0.855,0.773,0.415,0.031,0.54,0.692,0.581,0.415
SDV_GC,11.691083431243896,Adaboost,0.825,0.588,0.488,0.088,0.533,0.7,0.636,0.367
SDV_GC,11.691083431243896,GBDT,0.845,0.647,0.537,0.075,0.587,0.731,0.679,0.332
SDV_GAN,119.52558088302612,SVM,0.865,0.818,0.439,0.025,0.571,0.707,0.605,0.397
SDV_GAN,119.52558088302612,KNN,0.825,0.615,0.39,0.063,0.478,0.664,0.551,0.433
SDV_GAN,119.52558088302612,LR,0.835,0.643,0.439,0.063,0.522,0.688,0.598,0.399
SDV_GAN,119.52558088302612,DT,0.795,0.5,0.415,0.107,0.453,0.654,0.566,0.421
SDV_GAN,119.52558088302612,RF,0.86,0.741,0.488,0.044,0.588,0.722,0.646,0.364
SDV_GAN,119.52558088302612,LightGBM,0.86,0.76,0.463,0.038,0.576,0.713,0.626,0.38
SDV_GAN,119.52558088302612,Adaboost,0.81,0.548,0.415,0.088,0.472,0.663,0.57,0.419
