oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.825,0.714,0.244,0.025,0.364,0.609,0.39,0.535
No,0,KNN,0.83,0.621,0.439,0.069,0.514,0.685,0.597,0.4
No,0,LR,0.845,0.656,0.512,0.069,0.575,0.722,0.661,0.348
No,0,DT,0.785,0.478,0.537,0.151,0.506,0.693,0.658,0.345
No,0,RF,0.84,0.655,0.463,0.063,0.543,0.7,0.62,0.382
No,0,LightGBM,0.84,0.629,0.537,0.082,0.579,0.727,0.677,0.333
No,0,Adaboost,0.805,0.522,0.585,0.138,0.552,0.724,0.697,0.309
No,0,GBDT,0.82,0.553,0.634,0.132,0.591,0.751,0.733,0.275
Random,0.01,SVM,0.765,0.446,0.61,0.195,0.515,0.707,0.694,0.308
Random,0.01,KNN,0.795,0.5,0.659,0.17,0.568,0.744,0.734,0.27
Random,0.01,LR,0.775,0.469,0.732,0.214,0.571,0.759,0.758,0.243
Random,0.01,DT,0.755,0.405,0.415,0.157,0.41,0.629,0.556,0.429
Random,0.01,RF,0.83,0.6,0.512,0.088,0.553,0.712,0.656,0.351
Random,0.01,LightGBM,0.86,0.667,0.634,0.082,0.65,0.776,0.75,0.265
Random,0.01,Adaboost,0.765,0.448,0.634,0.201,0.525,0.716,0.707,0.295
Random,0.01,GBDT,0.805,0.523,0.561,0.132,0.541,0.714,0.681,0.324
SMOTE,0.01,SVM,0.785,0.481,0.61,0.17,0.538,0.72,0.703,0.301
SMOTE,0.01,KNN,0.785,0.484,0.756,0.208,0.59,0.774,0.774,0.226
SMOTE,0.01,LR,0.78,0.476,0.732,0.208,0.577,0.762,0.761,0.24
SMOTE,0.01,DT,0.76,0.434,0.561,0.189,0.489,0.686,0.663,0.338
SMOTE,0.01,RF,0.835,0.6,0.585,0.101,0.593,0.742,0.709,0.302
SMOTE,0.01,LightGBM,0.875,0.7,0.683,0.075,0.691,0.804,0.786,0.23
SMOTE,0.01,Adaboost,0.815,0.543,0.61,0.132,0.575,0.739,0.716,0.291
SMOTE,0.01,GBDT,0.81,0.533,0.585,0.132,0.558,0.727,0.699,0.308
ADASYN,0.02,SVM,0.685,0.343,0.585,0.289,0.432,0.648,0.642,0.358
ADASYN,0.02,KNN,0.735,0.414,0.707,0.258,0.523,0.725,0.724,0.276
