oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.835,0.722,0.317,0.031,0.441,0.643,0.478,0.483
No,0,KNN,0.85,0.667,0.537,0.069,0.595,0.734,0.681,0.331
No,0,LR,0.83,0.621,0.439,0.069,0.514,0.685,0.597,0.4
No,0,DT,0.775,0.462,0.585,0.176,0.516,0.705,0.684,0.319
No,0,RF,0.84,0.645,0.488,0.069,0.556,0.709,0.64,0.365
No,0,LightGBM,0.83,0.621,0.439,0.069,0.514,0.685,0.597,0.4
No,0,Adaboost,0.825,0.607,0.415,0.069,0.493,0.673,0.574,0.417
No,0,GBDT,0.805,0.528,0.463,0.107,0.494,0.678,0.61,0.387
Random,0.01,SVM,0.795,0.5,0.683,0.176,0.577,0.753,0.747,0.256
Random,0.01,KNN,0.795,0.5,0.634,0.164,0.559,0.735,0.721,0.283
Random,0.01,LR,0.765,0.452,0.683,0.214,0.544,0.735,0.731,0.27
Random,0.01,DT,0.82,0.556,0.61,0.126,0.581,0.742,0.718,0.29
Random,0.01,RF,0.86,0.697,0.561,0.063,0.622,0.749,0.702,0.314
Random,0.01,LightGBM,0.82,0.576,0.463,0.088,0.514,0.688,0.615,0.384
Random,0.01,Adaboost,0.815,0.545,0.585,0.126,0.565,0.73,0.701,0.306
Random,0.01,GBDT,0.835,0.611,0.537,0.088,0.571,0.724,0.676,0.334
SMOTE,0.01,SVM,0.785,0.482,0.659,0.182,0.557,0.738,0.73,0.274
SMOTE,0.01,KNN,0.79,0.491,0.634,0.17,0.553,0.732,0.719,0.285
SMOTE,0.01,LR,0.765,0.452,0.683,0.214,0.544,0.735,0.731,0.27
SMOTE,0.01,DT,0.705,0.333,0.439,0.226,0.379,0.606,0.56,0.428
SMOTE,0.01,RF,0.825,0.568,0.61,0.119,0.588,0.745,0.721,0.289
SMOTE,0.01,LightGBM,0.815,0.55,0.537,0.113,0.543,0.712,0.669,0.337
SMOTE,0.01,Adaboost,0.795,0.5,0.488,0.126,0.494,0.681,0.626,0.373
SMOTE,0.01,GBDT,0.83,0.59,0.561,0.101,0.575,0.73,0.691,0.318
ADASYN,0.02,SVM,0.72,0.4,0.732,0.283,0.517,0.724,0.724,0.276
ADASYN,0.02,KNN,0.75,0.429,0.659,0.226,0.519,0.716,0.711,0.29
ADASYN,0.02,LR,0.73,0.413,0.756,0.277,0.534,0.74,0.739,0.261
ADASYN,0.02,DT,0.725,0.375,0.512,0.22,0.433,0.646,0.618,0.378
ADASYN,0.02,RF,0.81,0.532,0.61,0.138,0.568,0.736,0.714,0.293
ADASYN,0.02,LightGBM,0.835,0.611,0.537,0.088,0.571,0.724,0.676,0.334
ADASYN,0.02,Adaboost,0.795,0.5,0.463,0.119,0.481,0.672,0.607,0.389
ADASYN,0.02,GBDT,0.845,0.647,0.537,0.075,0.587,0.731,0.679,0.332
BorderlineSMOTE,0.01,SVM,0.74,0.42,0.707,0.252,0.527,0.728,0.727,0.273
BorderlineSMOTE,0.01,KNN,0.755,0.439,0.707,0.233,0.542,0.737,0.736,0.264
BorderlineSMOTE,0.01,LR,0.73,0.408,0.707,0.264,0.518,0.722,0.721,0.279
BorderlineSMOTE,0.01,DT,0.72,0.358,0.463,0.214,0.404,0.625,0.583,0.408
BorderlineSMOTE,0.01,RF,0.83,0.585,0.585,0.107,0.585,0.739,0.707,0.303
BorderlineSMOTE,0.01,LightGBM,0.795,0.5,0.537,0.138,0.518,0.699,0.661,0.342
BorderlineSMOTE,0.01,Adaboost,0.805,0.524,0.537,0.126,0.53,0.705,0.665,0.34
BorderlineSMOTE,0.01,GBDT,0.795,0.5,0.463,0.119,0.481,0.672,0.607,0.389
SVMSMOTE,0.04,SVM,0.82,0.551,0.659,0.138,0.6,0.76,0.747,0.261
SVMSMOTE,0.04,KNN,0.805,0.519,0.683,0.164,0.589,0.76,0.752,0.252
SVMSMOTE,0.04,LR,0.805,0.519,0.659,0.157,0.581,0.751,0.739,0.266
SVMSMOTE,0.04,DT,0.785,0.481,0.61,0.17,0.538,0.72,0.703,0.301
SVMSMOTE,0.04,RF,0.83,0.581,0.61,0.113,0.595,0.748,0.723,0.287
SVMSMOTE,0.04,LightGBM,0.83,0.59,0.561,0.101,0.575,0.73,0.691,0.318
SVMSMOTE,0.04,Adaboost,0.84,0.615,0.585,0.094,0.6,0.746,0.711,0.301
SVMSMOTE,0.04,GBDT,0.835,0.591,0.634,0.113,0.612,0.76,0.739,0.271
SMOTUNED,60.62,SVM,0.755,0.443,0.756,0.245,0.559,0.755,0.755,0.245
SMOTUNED,41.44,KNN,0.76,0.449,0.756,0.239,0.564,0.759,0.759,0.241
SMOTUNED,815.43,LR,0.77,0.46,0.707,0.214,0.558,0.747,0.745,0.256
SMOTUNED,62.27,DT,0.755,0.439,0.707,0.233,0.542,0.737,0.736,0.264
SMOTUNED,244.74,RF,0.825,0.556,0.732,0.151,0.632,0.79,0.786,0.218
SMOTUNED,203.95,LightGBM,0.8,0.509,0.707,0.176,0.592,0.766,0.761,0.242
SMOTUNED,478.53,Adaboost,0.805,0.522,0.585,0.138,0.552,0.724,0.697,0.309
SMOTUNED,863.49,GBDT,0.77,0.46,0.707,0.214,0.558,0.747,0.745,0.256
DAZZLE,412.1486713886261,SVM,0.83,0.769,0.244,0.019,0.37,0.613,0.391,0.535
DAZZLE,412.1486713886261,KNN,0.83,0.613,0.463,0.075,0.528,0.694,0.617,0.383
DAZZLE,412.1486713886261,LR,0.835,0.667,0.39,0.05,0.492,0.67,0.553,0.433
DAZZLE,412.1486713886261,DT,0.78,0.469,0.561,0.164,0.511,0.699,0.672,0.331
DAZZLE,412.1486713886261,RF,0.84,0.636,0.512,0.075,0.568,0.718,0.659,0.349
DAZZLE,412.1486713886261,LightGBM,0.845,0.667,0.488,0.063,0.563,0.712,0.642,0.365
DAZZLE,412.1486713886261,Adaboost,0.835,0.605,0.561,0.094,0.582,0.733,0.693,0.318
DAZZLE,412.1486713886261,GBDT,0.805,0.526,0.488,0.113,0.506,0.687,0.629,0.371
