oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.85,0.867,0.317,0.013,0.464,0.652,0.48,0.483
No,0,KNN,0.85,0.677,0.512,0.063,0.583,0.725,0.662,0.348
No,0,LR,0.915,0.875,0.683,0.025,0.767,0.829,0.803,0.225
No,0,DT,0.775,0.462,0.585,0.176,0.516,0.705,0.684,0.319
No,0,RF,0.89,0.771,0.659,0.05,0.711,0.804,0.778,0.244
No,0,LightGBM,0.865,0.684,0.634,0.075,0.658,0.779,0.752,0.264
No,0,Adaboost,0.81,0.543,0.463,0.101,0.5,0.681,0.612,0.386
No,0,GBDT,0.83,0.578,0.634,0.119,0.605,0.757,0.737,0.272
Random,0.02,SVM,0.76,0.446,0.707,0.226,0.547,0.74,0.739,0.262
Random,0.02,KNN,0.76,0.443,0.659,0.214,0.529,0.722,0.717,0.285
Random,0.02,LR,0.76,0.449,0.756,0.239,0.564,0.759,0.759,0.241
Random,0.02,DT,0.77,0.439,0.439,0.145,0.439,0.647,0.58,0.41
Random,0.02,RF,0.86,0.676,0.61,0.075,0.641,0.767,0.735,0.281
Random,0.02,LightGBM,0.855,0.643,0.659,0.094,0.651,0.782,0.763,0.25
Random,0.02,Adaboost,0.79,0.49,0.61,0.164,0.543,0.723,0.705,0.299
Random,0.02,GBDT,0.805,0.52,0.634,0.151,0.571,0.742,0.726,0.28
SMOTE,0.05,SVM,0.725,0.391,0.61,0.245,0.476,0.682,0.675,0.326
SMOTE,0.05,KNN,0.76,0.446,0.707,0.226,0.547,0.74,0.739,0.262
SMOTE,0.05,LR,0.755,0.441,0.732,0.239,0.55,0.746,0.746,0.254
SMOTE,0.05,DT,0.745,0.407,0.537,0.201,0.463,0.668,0.642,0.357
SMOTE,0.05,RF,0.815,0.538,0.683,0.151,0.602,0.766,0.757,0.248
SMOTE,0.05,LightGBM,0.86,0.644,0.707,0.101,0.674,0.803,0.792,0.219
SMOTE,0.05,Adaboost,0.81,0.532,0.61,0.138,0.568,0.736,0.714,0.293
SMOTE,0.05,GBDT,0.845,0.625,0.61,0.094,0.617,0.758,0.729,0.284
ADASYN,0.02,SVM,0.68,0.358,0.707,0.327,0.475,0.69,0.69,0.31
ADASYN,0.02,KNN,0.715,0.389,0.683,0.277,0.496,0.703,0.703,0.298
ADASYN,0.02,LR,0.755,0.449,0.854,0.27,0.588,0.792,0.787,0.217
ADASYN,0.02,DT,0.735,0.4,0.585,0.226,0.475,0.679,0.666,0.334
ADASYN,0.02,RF,0.805,0.519,0.659,0.157,0.581,0.751,0.739,0.266
ADASYN,0.02,LightGBM,0.855,0.636,0.683,0.101,0.659,0.791,0.776,0.235
ADASYN,0.02,Adaboost,0.79,0.489,0.537,0.145,0.512,0.696,0.659,0.343
ADASYN,0.02,GBDT,0.805,0.525,0.512,0.119,0.519,0.696,0.648,0.355
BorderlineSMOTE,0.02,SVM,0.725,0.4,0.683,0.264,0.505,0.709,0.708,0.292
BorderlineSMOTE,0.02,KNN,0.78,0.475,0.683,0.195,0.56,0.744,0.739,0.263
BorderlineSMOTE,0.02,LR,0.76,0.451,0.78,0.245,0.571,0.768,0.767,0.233
BorderlineSMOTE,0.02,DT,0.75,0.424,0.61,0.214,0.5,0.698,0.687,0.315
BorderlineSMOTE,0.02,RF,0.805,0.519,0.659,0.157,0.581,0.751,0.739,0.266
BorderlineSMOTE,0.02,LightGBM,0.855,0.643,0.659,0.094,0.651,0.782,0.763,0.25
BorderlineSMOTE,0.02,Adaboost,0.81,0.525,0.756,0.176,0.62,0.79,0.789,0.213
BorderlineSMOTE,0.02,GBDT,0.775,0.457,0.512,0.157,0.483,0.677,0.637,0.362
SVMSMOTE,0.05,SVM,0.84,0.6,0.659,0.113,0.628,0.773,0.756,0.254
SVMSMOTE,0.05,KNN,0.8,0.509,0.707,0.176,0.592,0.766,0.761,0.242
SVMSMOTE,0.05,LR,0.81,0.525,0.78,0.182,0.627,0.799,0.799,0.202
SVMSMOTE,0.05,DT,0.74,0.415,0.659,0.239,0.509,0.71,0.706,0.295
SVMSMOTE,0.05,RF,0.875,0.682,0.732,0.088,0.706,0.822,0.812,0.2
SVMSMOTE,0.05,LightGBM,0.85,0.628,0.659,0.101,0.643,0.779,0.76,0.252
SVMSMOTE,0.05,Adaboost,0.845,0.609,0.683,0.113,0.644,0.785,0.772,0.238
SVMSMOTE,0.05,GBDT,0.84,0.588,0.732,0.132,0.652,0.8,0.794,0.211
SMOTUNED,93.39,SVM,0.765,0.45,0.659,0.208,0.535,0.725,0.719,0.283
SMOTUNED,69.78,KNN,0.77,0.459,0.683,0.208,0.549,0.738,0.734,0.268
SMOTUNED,1692.44,LR,0.76,0.451,0.78,0.245,0.571,0.768,0.767,0.233
SMOTUNED,87.16,DT,0.65,0.307,0.561,0.327,0.397,0.617,0.612,0.387
SMOTUNED,357.88,RF,0.78,0.478,0.78,0.22,0.593,0.78,0.78,0.22
SMOTUNED,487.67,LightGBM,0.79,0.492,0.707,0.189,0.58,0.759,0.756,0.246
SMOTUNED,584.1,Adaboost,0.81,0.525,0.756,0.176,0.62,0.79,0.789,0.213
SMOTUNED,1022.0,GBDT,0.785,0.483,0.707,0.195,0.574,0.756,0.753,0.249
DAZZLE,1173.7833304405212,SVM,0.85,0.867,0.317,0.013,0.464,0.652,0.48,0.483
DAZZLE,1173.7833304405212,KNN,0.835,0.605,0.561,0.094,0.582,0.733,0.693,0.318
DAZZLE,1173.7833304405212,LR,0.88,0.743,0.634,0.057,0.684,0.789,0.758,0.262
DAZZLE,1173.7833304405212,DT,0.78,0.468,0.537,0.157,0.5,0.69,0.656,0.346
DAZZLE,1173.7833304405212,RF,0.895,0.778,0.683,0.05,0.727,0.816,0.795,0.227
DAZZLE,1173.7833304405212,LightGBM,0.86,0.659,0.659,0.088,0.659,0.785,0.765,0.249
