oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.83,0.818,0.22,0.013,0.346,0.603,0.359,0.552
No,0,KNN,0.825,0.607,0.415,0.069,0.493,0.673,0.574,0.417
No,0,LR,0.85,0.72,0.439,0.044,0.545,0.697,0.602,0.398
No,0,DT,0.78,0.465,0.488,0.145,0.476,0.672,0.621,0.376
No,0,RF,0.855,0.773,0.415,0.031,0.54,0.692,0.581,0.415
No,0,LightGBM,0.865,0.75,0.512,0.044,0.609,0.734,0.667,0.346
No,0,Adaboost,0.87,0.8,0.488,0.031,0.606,0.728,0.649,0.363
No,0,GBDT,0.8,0.512,0.512,0.126,0.512,0.693,0.646,0.356
Random,0.01,SVM,0.8,0.51,0.61,0.151,0.556,0.729,0.71,0.296
Random,0.01,KNN,0.795,0.5,0.585,0.151,0.539,0.717,0.693,0.312
Random,0.01,LR,0.78,0.476,0.732,0.208,0.577,0.762,0.761,0.24
Random,0.01,DT,0.765,0.406,0.317,0.119,0.356,0.599,0.466,0.49
Random,0.01,RF,0.87,0.759,0.537,0.044,0.629,0.746,0.687,0.329
Random,0.01,LightGBM,0.875,0.767,0.561,0.044,0.648,0.758,0.707,0.312
Random,0.01,Adaboost,0.81,0.541,0.488,0.107,0.513,0.69,0.631,0.37
Random,0.01,GBDT,0.87,0.727,0.585,0.057,0.649,0.764,0.722,0.296
SMOTE,0.02,SVM,0.74,0.396,0.512,0.201,0.447,0.655,0.624,0.373
SMOTE,0.02,KNN,0.775,0.463,0.61,0.182,0.526,0.714,0.699,0.305
SMOTE,0.02,LR,0.785,0.482,0.659,0.182,0.557,0.738,0.73,0.274
SMOTE,0.02,DT,0.77,0.442,0.463,0.151,0.452,0.656,0.6,0.394
SMOTE,0.02,RF,0.885,0.781,0.61,0.044,0.685,0.783,0.745,0.278
SMOTE,0.02,LightGBM,0.87,0.742,0.561,0.05,0.639,0.755,0.705,0.312
SMOTE,0.02,Adaboost,0.88,0.73,0.659,0.063,0.692,0.798,0.774,0.246
SMOTE,0.02,GBDT,0.855,0.676,0.561,0.069,0.613,0.746,0.7,0.314
ADASYN,0.02,SVM,0.725,0.387,0.585,0.239,0.466,0.673,0.662,0.338
ADASYN,0.02,KNN,0.76,0.443,0.659,0.214,0.529,0.722,0.717,0.285
ADASYN,0.02,LR,0.745,0.434,0.805,0.27,0.564,0.767,0.765,0.236
ADASYN,0.02,DT,0.78,0.473,0.634,0.182,0.542,0.726,0.714,0.289
ADASYN,0.02,RF,0.865,0.694,0.61,0.069,0.649,0.77,0.737,0.28
ADASYN,0.02,LightGBM,0.89,0.788,0.634,0.044,0.703,0.795,0.762,0.261
ADASYN,0.02,Adaboost,0.845,0.614,0.659,0.107,0.635,0.776,0.758,0.253
ADASYN,0.02,GBDT,0.835,0.6,0.585,0.101,0.593,0.742,0.709,0.302
BorderlineSMOTE,0.02,SVM,0.75,0.418,0.561,0.201,0.479,0.68,0.659,0.342
BorderlineSMOTE,0.02,KNN,0.785,0.481,0.634,0.176,0.547,0.729,0.717,0.287
BorderlineSMOTE,0.02,LR,0.745,0.426,0.707,0.245,0.532,0.731,0.73,0.27
BorderlineSMOTE,0.02,DT,0.78,0.468,0.537,0.157,0.5,0.69,0.656,0.346
BorderlineSMOTE,0.02,RF,0.865,0.719,0.561,0.057,0.63,0.752,0.704,0.313
BorderlineSMOTE,0.02,LightGBM,0.88,0.793,0.561,0.038,0.657,0.762,0.709,0.312
BorderlineSMOTE,0.02,Adaboost,0.87,0.674,0.707,0.088,0.69,0.81,0.797,0.216
BorderlineSMOTE,0.02,GBDT,0.83,0.6,0.512,0.088,0.553,0.712,0.656,0.351
SVMSMOTE,0.04,SVM,0.82,0.553,0.634,0.132,0.591,0.751,0.733,0.275
SVMSMOTE,0.04,KNN,0.78,0.473,0.634,0.182,0.542,0.726,0.714,0.289
SVMSMOTE,0.04,LR,0.82,0.547,0.707,0.151,0.617,0.778,0.772,0.233
SVMSMOTE,0.04,DT,0.83,0.571,0.683,0.132,0.622,0.775,0.764,0.243
SVMSMOTE,0.04,RF,0.86,0.686,0.585,0.069,0.632,0.758,0.719,0.297
SVMSMOTE,0.04,LightGBM,0.87,0.727,0.585,0.057,0.649,0.764,0.722,0.296
SVMSMOTE,0.04,Adaboost,0.845,0.625,0.61,0.094,0.617,0.758,0.729,0.284
SVMSMOTE,0.04,GBDT,0.835,0.611,0.537,0.088,0.571,0.724,0.676,0.334
SMOTUNED,74.87,SVM,0.81,0.527,0.707,0.164,0.604,0.772,0.766,0.237
SMOTUNED,61.02,KNN,0.81,0.533,0.585,0.132,0.558,0.727,0.699,0.308
SMOTUNED,1013.13,LR,0.785,0.484,0.732,0.201,0.583,0.765,0.764,0.237
