oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.85,0.72,0.439,0.044,0.545,0.697,0.602,0.398
No,0,KNN,0.865,0.733,0.537,0.05,0.62,0.743,0.686,0.33
No,0,LR,0.86,0.686,0.585,0.069,0.632,0.758,0.719,0.297
No,0,DT,0.82,0.561,0.561,0.113,0.561,0.724,0.687,0.321
No,0,RF,0.865,0.719,0.561,0.057,0.63,0.752,0.704,0.313
No,0,LightGBM,0.87,0.727,0.585,0.057,0.649,0.764,0.722,0.296
No,0,Adaboost,0.87,0.692,0.659,0.075,0.675,0.792,0.769,0.247
No,0,GBDT,0.875,0.7,0.683,0.075,0.691,0.804,0.786,0.23
Random,0.01,SVM,0.775,0.467,0.683,0.201,0.554,0.741,0.736,0.266
Random,0.01,KNN,0.8,0.509,0.683,0.17,0.583,0.757,0.749,0.254
Random,0.01,LR,0.79,0.492,0.756,0.201,0.596,0.777,0.777,0.224
Random,0.01,DT,0.815,0.543,0.61,0.132,0.575,0.739,0.716,0.291
Random,0.01,RF,0.875,0.735,0.61,0.057,0.667,0.777,0.741,0.279
Random,0.01,LightGBM,0.88,0.718,0.683,0.069,0.7,0.807,0.788,0.229
Random,0.01,Adaboost,0.8,0.51,0.634,0.157,0.565,0.738,0.724,0.282
Random,0.01,GBDT,0.86,0.659,0.659,0.088,0.659,0.785,0.765,0.249
SMOTE,0.04,SVM,0.75,0.424,0.61,0.214,0.5,0.698,0.687,0.315
SMOTE,0.04,KNN,0.78,0.476,0.732,0.208,0.577,0.762,0.761,0.24
SMOTE,0.04,LR,0.79,0.492,0.756,0.201,0.596,0.777,0.777,0.224
SMOTE,0.04,DT,0.795,0.5,0.585,0.151,0.539,0.717,0.693,0.312
SMOTE,0.04,RF,0.86,0.651,0.683,0.094,0.667,0.794,0.779,0.234
SMOTE,0.04,LightGBM,0.865,0.684,0.634,0.075,0.658,0.779,0.752,0.264
SMOTE,0.04,Adaboost,0.83,0.571,0.683,0.132,0.622,0.775,0.764,0.243
SMOTE,0.04,GBDT,0.825,0.579,0.537,0.101,0.557,0.718,0.672,0.335
ADASYN,0.02,SVM,0.725,0.4,0.683,0.264,0.505,0.709,0.708,0.292
ADASYN,0.02,KNN,0.76,0.446,0.707,0.226,0.547,0.74,0.739,0.262
ADASYN,0.02,LR,0.7,0.386,0.78,0.321,0.516,0.73,0.726,0.275
ADASYN,0.02,DT,0.765,0.446,0.61,0.195,0.515,0.707,0.694,0.308
ADASYN,0.02,RF,0.82,0.556,0.61,0.126,0.581,0.742,0.718,0.29
ADASYN,0.02,LightGBM,0.855,0.658,0.61,0.082,0.633,0.764,0.733,0.282
ADASYN,0.02,Adaboost,0.795,0.5,0.634,0.164,0.559,0.735,0.721,0.283
ADASYN,0.02,GBDT,0.835,0.595,0.61,0.107,0.602,0.751,0.725,0.286
BorderlineSMOTE,0.02,SVM,0.76,0.436,0.585,0.195,0.5,0.695,0.678,0.324
BorderlineSMOTE,0.02,KNN,0.795,0.5,0.707,0.182,0.586,0.762,0.758,0.244
BorderlineSMOTE,0.02,LR,0.76,0.448,0.732,0.233,0.556,0.75,0.749,0.251
BorderlineSMOTE,0.02,DT,0.81,0.525,0.756,0.176,0.62,0.79,0.789,0.213
BorderlineSMOTE,0.02,RF,0.845,0.619,0.634,0.101,0.627,0.767,0.744,0.268
BorderlineSMOTE,0.02,LightGBM,0.865,0.684,0.634,0.075,0.658,0.779,0.752,0.264
BorderlineSMOTE,0.02,Adaboost,0.835,0.58,0.707,0.132,0.637,0.788,0.779,0.227
BorderlineSMOTE,0.02,GBDT,0.835,0.6,0.585,0.101,0.593,0.742,0.709,0.302
SVMSMOTE,0.04,SVM,0.765,0.452,0.683,0.214,0.544,0.735,0.731,0.27
SVMSMOTE,0.04,KNN,0.8,0.509,0.707,0.176,0.592,0.766,0.761,0.242
SVMSMOTE,0.04,LR,0.795,0.5,0.732,0.189,0.594,0.772,0.769,0.232
SVMSMOTE,0.04,DT,0.84,0.605,0.634,0.107,0.619,0.764,0.742,0.27
SVMSMOTE,0.04,RF,0.85,0.628,0.659,0.101,0.643,0.779,0.76,0.252
SVMSMOTE,0.04,LightGBM,0.865,0.675,0.659,0.082,0.667,0.788,0.767,0.248
SVMSMOTE,0.04,Adaboost,0.85,0.628,0.659,0.101,0.643,0.779,0.76,0.252
SVMSMOTE,0.04,GBDT,0.83,0.578,0.634,0.119,0.605,0.757,0.737,0.272
SMOTUNED,70.63,SVM,0.73,0.411,0.732,0.27,0.526,0.731,0.731,0.269
SMOTUNED,58.19,KNN,0.72,0.397,0.707,0.277,0.509,0.715,0.715,0.285
SMOTUNED,960.44,LR,0.765,0.457,0.78,0.239,0.577,0.771,0.771,0.229
SMOTUNED,86.97,DT,0.755,0.444,0.78,0.252,0.566,0.764,0.764,0.236
SMOTUNED,334.45,RF,0.82,0.542,0.78,0.17,0.64,0.805,0.805,0.196
SMOTUNED,357.26,LightGBM,0.82,0.551,0.659,0.138,0.6,0.76,0.747,0.261
SMOTUNED,698.88,Adaboost,0.76,0.448,0.732,0.233,0.556,0.75,0.749,0.251
SMOTUNED,1222.98,GBDT,0.77,0.463,0.756,0.226,0.574,0.765,0.765,0.235
DAZZLE,1008.674022436142,SVM,0.83,0.613,0.463,0.075,0.528,0.694,0.617,0.383
DAZZLE,1008.674022436142,KNN,0.825,0.607,0.415,0.069,0.493,0.673,0.574,0.417
DAZZLE,1008.674022436142,LR,0.84,0.622,0.561,0.088,0.59,0.736,0.695,0.317
DAZZLE,1008.674022436142,DT,0.815,0.54,0.659,0.145,0.593,0.757,0.744,0.262
DAZZLE,1008.674022436142,RF,0.87,0.714,0.61,0.063,0.658,0.773,0.739,0.28
