oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.835,0.722,0.317,0.031,0.441,0.643,0.478,0.483
No,0,KNN,0.865,0.694,0.61,0.069,0.649,0.77,0.737,0.28
No,0,LR,0.885,0.821,0.561,0.031,0.667,0.765,0.71,0.311
No,0,DT,0.775,0.46,0.561,0.17,0.505,0.696,0.67,0.333
No,0,RF,0.875,0.767,0.561,0.044,0.648,0.758,0.707,0.312
No,0,LightGBM,0.87,0.727,0.585,0.057,0.649,0.764,0.722,0.296
No,0,Adaboost,0.845,0.647,0.537,0.075,0.587,0.731,0.679,0.332
No,0,GBDT,0.855,0.658,0.61,0.082,0.633,0.764,0.733,0.282
Random,0.01,SVM,0.755,0.446,0.805,0.258,0.574,0.774,0.772,0.229
Random,0.01,KNN,0.8,0.508,0.756,0.189,0.608,0.784,0.783,0.218
Random,0.01,LR,0.755,0.443,0.756,0.245,0.559,0.755,0.755,0.245
Random,0.01,DT,0.775,0.457,0.512,0.157,0.483,0.677,0.637,0.362
Random,0.01,RF,0.88,0.73,0.659,0.063,0.692,0.798,0.774,0.246
Random,0.01,LightGBM,0.865,0.694,0.61,0.069,0.649,0.77,0.737,0.28
Random,0.01,Adaboost,0.81,0.531,0.634,0.145,0.578,0.745,0.728,0.278
Random,0.01,GBDT,0.855,0.636,0.683,0.101,0.659,0.791,0.776,0.235
SMOTE,0.01,SVM,0.71,0.398,0.805,0.314,0.532,0.745,0.74,0.262
SMOTE,0.01,KNN,0.725,0.405,0.732,0.277,0.522,0.727,0.727,0.273
SMOTE,0.01,LR,0.745,0.432,0.78,0.264,0.557,0.758,0.758,0.243
SMOTE,0.01,DT,0.775,0.466,0.659,0.195,0.545,0.732,0.724,0.278
SMOTE,0.01,RF,0.855,0.62,0.756,0.119,0.681,0.818,0.814,0.192
SMOTE,0.01,LightGBM,0.865,0.659,0.707,0.094,0.682,0.806,0.794,0.217
SMOTE,0.01,Adaboost,0.81,0.525,0.78,0.182,0.627,0.799,0.799,0.202
SMOTE,0.01,GBDT,0.805,0.518,0.707,0.17,0.598,0.769,0.764,0.239
ADASYN,0.02,SVM,0.665,0.367,0.878,0.39,0.518,0.744,0.72,0.289
ADASYN,0.02,KNN,0.725,0.408,0.756,0.283,0.53,0.737,0.736,0.264
ADASYN,0.02,LR,0.69,0.379,0.805,0.34,0.516,0.733,0.726,0.277
ADASYN,0.02,DT,0.78,0.473,0.634,0.182,0.542,0.726,0.714,0.289
ADASYN,0.02,RF,0.82,0.544,0.756,0.164,0.633,0.796,0.794,0.208
ADASYN,0.02,LightGBM,0.86,0.644,0.707,0.101,0.674,0.803,0.792,0.219
ADASYN,0.02,Adaboost,0.79,0.492,0.707,0.189,0.58,0.759,0.756,0.246
ADASYN,0.02,GBDT,0.835,0.58,0.707,0.132,0.637,0.788,0.779,0.227
BorderlineSMOTE,0.01,SVM,0.715,0.405,0.829,0.314,0.544,0.757,0.751,0.253
BorderlineSMOTE,0.01,KNN,0.755,0.443,0.756,0.245,0.559,0.755,0.755,0.245
BorderlineSMOTE,0.01,LR,0.715,0.402,0.805,0.308,0.537,0.748,0.744,0.258
BorderlineSMOTE,0.01,DT,0.77,0.46,0.707,0.214,0.558,0.747,0.745,0.256
BorderlineSMOTE,0.01,RF,0.83,0.566,0.732,0.145,0.638,0.794,0.789,0.216
BorderlineSMOTE,0.01,LightGBM,0.85,0.617,0.707,0.113,0.659,0.797,0.787,0.222
BorderlineSMOTE,0.01,Adaboost,0.79,0.492,0.756,0.201,0.596,0.777,0.777,0.224
BorderlineSMOTE,0.01,GBDT,0.845,0.596,0.756,0.132,0.667,0.812,0.808,0.196
SVMSMOTE,0.04,SVM,0.765,0.455,0.732,0.226,0.561,0.753,0.752,0.248
SVMSMOTE,0.04,KNN,0.785,0.484,0.756,0.208,0.59,0.774,0.774,0.226
SVMSMOTE,0.04,LR,0.78,0.478,0.78,0.22,0.593,0.78,0.78,0.22
SVMSMOTE,0.04,DT,0.785,0.483,0.707,0.195,0.574,0.756,0.753,0.249
SVMSMOTE,0.04,RF,0.84,0.582,0.78,0.145,0.667,0.818,0.816,0.186
SVMSMOTE,0.04,LightGBM,0.865,0.659,0.707,0.094,0.682,0.806,0.794,0.217
SVMSMOTE,0.04,Adaboost,0.815,0.542,0.634,0.138,0.584,0.748,0.731,0.277
SVMSMOTE,0.04,GBDT,0.83,0.566,0.732,0.145,0.638,0.794,0.789,0.216
SMOTUNED,68.03,SVM,0.755,0.447,0.829,0.264,0.581,0.783,0.78,0.222
SMOTUNED,45.11,KNN,0.75,0.433,0.707,0.239,0.537,0.734,0.733,0.267
