oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.83,0.684,0.317,0.038,0.433,0.64,0.477,0.484
No,0,KNN,0.845,0.692,0.439,0.05,0.537,0.694,0.6,0.398
No,0,LR,0.85,0.739,0.415,0.038,0.531,0.688,0.58,0.415
No,0,DT,0.785,0.475,0.463,0.132,0.469,0.666,0.604,0.391
No,0,RF,0.855,0.731,0.463,0.044,0.567,0.71,0.624,0.381
No,0,LightGBM,0.845,0.667,0.488,0.063,0.563,0.712,0.642,0.365
No,0,Adaboost,0.805,0.531,0.415,0.094,0.466,0.66,0.569,0.419
No,0,GBDT,0.84,0.645,0.488,0.069,0.556,0.709,0.64,0.365
Random,0.02,SVM,0.765,0.45,0.659,0.208,0.535,0.725,0.719,0.283
Random,0.02,KNN,0.785,0.481,0.61,0.17,0.538,0.72,0.703,0.301
Random,0.02,LR,0.76,0.446,0.707,0.226,0.547,0.74,0.739,0.262
Random,0.02,DT,0.815,0.55,0.537,0.113,0.543,0.712,0.669,0.337
Random,0.02,RF,0.845,0.647,0.537,0.075,0.587,0.731,0.679,0.332
Random,0.02,LightGBM,0.825,0.588,0.488,0.088,0.533,0.7,0.636,0.367
Random,0.02,Adaboost,0.77,0.455,0.61,0.189,0.521,0.711,0.696,0.307
Random,0.02,GBDT,0.83,0.595,0.537,0.094,0.564,0.721,0.674,0.334
SMOTE,0.02,SVM,0.76,0.441,0.634,0.208,0.52,0.713,0.705,0.297
SMOTE,0.02,KNN,0.78,0.473,0.634,0.182,0.542,0.726,0.714,0.289
SMOTE,0.02,LR,0.755,0.438,0.683,0.226,0.533,0.728,0.725,0.275
SMOTE,0.02,DT,0.745,0.386,0.415,0.17,0.4,0.622,0.553,0.431
SMOTE,0.02,RF,0.835,0.595,0.61,0.107,0.602,0.751,0.725,0.286
SMOTE,0.02,LightGBM,0.82,0.571,0.488,0.094,0.526,0.697,0.634,0.368
SMOTE,0.02,Adaboost,0.785,0.477,0.512,0.145,0.494,0.684,0.641,0.36
SMOTE,0.02,GBDT,0.825,0.583,0.512,0.094,0.545,0.709,0.654,0.351
ADASYN,0.02,SVM,0.71,0.384,0.683,0.283,0.491,0.7,0.7,0.301
ADASYN,0.02,KNN,0.725,0.394,0.634,0.252,0.486,0.691,0.687,0.314
ADASYN,0.02,LR,0.72,0.397,0.707,0.277,0.509,0.715,0.715,0.285
ADASYN,0.02,DT,0.735,0.385,0.488,0.201,0.43,0.643,0.606,0.389
ADASYN,0.02,RF,0.8,0.511,0.561,0.138,0.535,0.711,0.68,0.325
ADASYN,0.02,LightGBM,0.825,0.579,0.537,0.101,0.557,0.718,0.672,0.335
ADASYN,0.02,Adaboost,0.805,0.523,0.561,0.132,0.541,0.714,0.681,0.324
ADASYN,0.02,GBDT,0.815,0.556,0.488,0.101,0.519,0.694,0.633,0.369
BorderlineSMOTE,0.02,SVM,0.735,0.409,0.659,0.245,0.505,0.707,0.703,0.297
BorderlineSMOTE,0.02,KNN,0.755,0.433,0.634,0.214,0.515,0.71,0.702,0.3
BorderlineSMOTE,0.02,LR,0.72,0.397,0.707,0.277,0.509,0.715,0.715,0.285
BorderlineSMOTE,0.02,DT,0.76,0.436,0.585,0.195,0.5,0.695,0.678,0.324
BorderlineSMOTE,0.02,RF,0.805,0.522,0.585,0.138,0.552,0.724,0.697,0.309
BorderlineSMOTE,0.02,LightGBM,0.82,0.568,0.512,0.101,0.538,0.706,0.653,0.352
BorderlineSMOTE,0.02,Adaboost,0.805,0.523,0.561,0.132,0.541,0.714,0.681,0.324
BorderlineSMOTE,0.02,GBDT,0.805,0.525,0.512,0.119,0.519,0.696,0.648,0.355
