oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.83,0.652,0.366,0.05,0.469,0.658,0.528,0.45
No,0,KNN,0.825,0.583,0.512,0.094,0.545,0.709,0.654,0.351
No,0,LR,0.835,0.605,0.561,0.094,0.582,0.733,0.693,0.318
No,0,DT,0.79,0.489,0.561,0.151,0.523,0.705,0.676,0.328
No,0,RF,0.835,0.611,0.537,0.088,0.571,0.724,0.676,0.334
No,0,LightGBM,0.84,0.629,0.537,0.082,0.579,0.727,0.677,0.333
No,0,Adaboost,0.815,0.559,0.463,0.094,0.507,0.685,0.613,0.385
No,0,GBDT,0.845,0.619,0.634,0.101,0.627,0.767,0.744,0.268
Random,0.01,SVM,0.715,0.382,0.634,0.264,0.477,0.685,0.681,0.319
Random,0.01,KNN,0.775,0.463,0.61,0.182,0.526,0.714,0.699,0.305
Random,0.01,LR,0.755,0.444,0.78,0.252,0.566,0.764,0.764,0.236
Random,0.01,DT,0.795,0.5,0.488,0.126,0.494,0.681,0.626,0.373
Random,0.01,RF,0.83,0.595,0.537,0.094,0.564,0.721,0.674,0.334
Random,0.01,LightGBM,0.85,0.657,0.561,0.075,0.605,0.743,0.698,0.315
Random,0.01,Adaboost,0.79,0.489,0.537,0.145,0.512,0.696,0.659,0.343
Random,0.01,GBDT,0.8,0.512,0.537,0.132,0.524,0.702,0.663,0.341
SMOTE,0.02,SVM,0.69,0.338,0.537,0.27,0.415,0.633,0.618,0.379
SMOTE,0.02,KNN,0.745,0.422,0.659,0.233,0.514,0.713,0.709,0.292
SMOTE,0.02,LR,0.76,0.448,0.732,0.233,0.556,0.75,0.749,0.251
SMOTE,0.02,DT,0.73,0.39,0.561,0.226,0.46,0.667,0.65,0.349
SMOTE,0.02,RF,0.825,0.562,0.659,0.132,0.607,0.763,0.749,0.259
SMOTE,0.02,LightGBM,0.845,0.632,0.585,0.088,0.608,0.749,0.713,0.3
SMOTE,0.02,Adaboost,0.79,0.491,0.634,0.17,0.553,0.732,0.719,0.285
SMOTE,0.02,GBDT,0.795,0.5,0.512,0.132,0.506,0.69,0.644,0.357
ADASYN,0.02,SVM,0.68,0.333,0.561,0.289,0.418,0.636,0.627,0.372
ADASYN,0.02,KNN,0.775,0.467,0.683,0.201,0.554,0.741,0.736,0.266
ADASYN,0.02,LR,0.745,0.434,0.805,0.27,0.564,0.767,0.765,0.236
ADASYN,0.02,DT,0.78,0.471,0.585,0.17,0.522,0.708,0.687,0.317
ADASYN,0.02,RF,0.8,0.51,0.634,0.157,0.565,0.738,0.724,0.282
ADASYN,0.02,LightGBM,0.83,0.585,0.585,0.107,0.585,0.739,0.707,0.303
ADASYN,0.02,Adaboost,0.785,0.481,0.61,0.17,0.538,0.72,0.703,0.301
ADASYN,0.02,GBDT,0.79,0.49,0.61,0.164,0.543,0.723,0.705,0.299
BorderlineSMOTE,0.02,SVM,0.68,0.333,0.561,0.289,0.418,0.636,0.627,0.372
BorderlineSMOTE,0.02,KNN,0.77,0.459,0.683,0.208,0.549,0.738,0.734,0.268
BorderlineSMOTE,0.02,LR,0.74,0.425,0.756,0.264,0.544,0.746,0.746,0.254
BorderlineSMOTE,0.02,DT,0.775,0.468,0.707,0.208,0.563,0.75,0.747,0.254
BorderlineSMOTE,0.02,RF,0.82,0.553,0.634,0.132,0.591,0.751,0.733,0.275
BorderlineSMOTE,0.02,LightGBM,0.825,0.571,0.585,0.113,0.578,0.736,0.705,0.304
BorderlineSMOTE,0.02,Adaboost,0.79,0.49,0.585,0.157,0.533,0.714,0.691,0.314
BorderlineSMOTE,0.02,GBDT,0.8,0.512,0.537,0.132,0.524,0.702,0.663,0.341
SVMSMOTE,0.05,SVM,0.795,0.5,0.512,0.132,0.506,0.69,0.644,0.357
SVMSMOTE,0.05,KNN,0.77,0.447,0.512,0.164,0.477,0.674,0.635,0.364
SVMSMOTE,0.05,LR,0.81,0.528,0.683,0.157,0.596,0.763,0.754,0.25
SVMSMOTE,0.05,DT,0.755,0.426,0.561,0.195,0.484,0.683,0.661,0.34
SVMSMOTE,0.05,RF,0.83,0.581,0.61,0.113,0.595,0.748,0.723,0.287
SVMSMOTE,0.05,LightGBM,0.835,0.595,0.61,0.107,0.602,0.751,0.725,0.286
SVMSMOTE,0.05,Adaboost,0.82,0.553,0.634,0.132,0.591,0.751,0.733,0.275
SVMSMOTE,0.05,GBDT,0.81,0.538,0.512,0.113,0.525,0.699,0.649,0.354
SMOTUNED,62.82,SVM,0.745,0.431,0.756,0.258,0.549,0.749,0.749,0.251
SMOTUNED,50.97,KNN,0.77,0.451,0.561,0.176,0.5,0.692,0.667,0.334
SMOTUNED,1159.43,LR,0.735,0.419,0.756,0.27,0.539,0.743,0.743,0.258
SMOTUNED,84.25,DT,0.76,0.446,0.707,0.226,0.547,0.74,0.739,0.262
SMOTUNED,332.69,RF,0.825,0.556,0.732,0.151,0.632,0.79,0.786,0.218
SMOTUNED,345.73,LightGBM,0.795,0.5,0.78,0.201,0.61,0.79,0.79,0.211
SMOTUNED,731.96,Adaboost,0.775,0.467,0.683,0.201,0.554,0.741,0.736,0.266
SMOTUNED,1215.69,GBDT,0.775,0.464,0.634,0.189,0.536,0.723,0.712,0.291
DAZZLE,1180.53937458992,SVM,0.805,0.529,0.439,0.101,0.48,0.669,0.59,0.403
DAZZLE,1180.53937458992,KNN,0.81,0.543,0.463,0.101,0.5,0.681,0.612,0.386
DAZZLE,1180.53937458992,LR,0.8,0.509,0.707,0.176,0.592,0.766,0.761,0.242
DAZZLE,1180.53937458992,DT,0.77,0.449,0.537,0.17,0.489,0.683,0.652,0.349
DAZZLE,1180.53937458992,RF,0.84,0.615,0.585,0.094,0.6,0.746,0.711,0.301
DAZZLE,1180.53937458992,LightGBM,0.845,0.632,0.585,0.088,0.608,0.749,0.713,0.3
DAZZLE,1180.53937458992,Adaboost,0.83,0.585,0.585,0.107,0.585,0.739,0.707,0.303
DAZZLE,1180.53937458992,GBDT,0.81,0.537,0.537,0.119,0.537,0.709,0.667,0.338
WGAN,17.08,SVM,0.795,0.0,0.0,0.0,0.0,0.5,0.0,0.707
WGAN,17.08,KNN,0.27,0.21,0.927,0.899,0.342,0.514,0.182,0.638
WGAN,17.08,LR,0.565,0.265,0.634,0.453,0.374,0.591,0.587,0.412
WGAN,17.08,DT,0.215,0.201,0.951,0.975,0.332,0.488,0.049,0.69
WGAN,17.08,RF,0.205,0.202,0.976,0.994,0.335,0.491,0.012,0.703
WGAN,17.08,LightGBM,0.21,0.206,1.0,0.994,0.342,0.503,0.012,0.703
WGAN,17.08,Adaboost,0.205,0.205,1.0,1.0,0.34,0.5,0.0,0.707
WGAN,17.08,GBDT,0.23,0.21,1.0,0.969,0.347,0.516,0.061,0.685
RP,2.263701915740967,SVM,0.745,0.432,0.78,0.264,0.557,0.758,0.758,0.243
RP,2.263701915740967,KNN,0.795,0.5,0.683,0.176,0.577,0.753,0.747,0.256
RP,2.263701915740967,LR,0.715,0.395,0.732,0.289,0.513,0.721,0.721,0.279
RP,2.263701915740967,DT,0.77,0.456,0.634,0.195,0.531,0.72,0.709,0.293
RP,2.263701915740967,RF,0.835,0.583,0.683,0.126,0.629,0.779,0.767,0.241
RP,2.263701915740967,LightGBM,0.84,0.61,0.61,0.101,0.61,0.755,0.727,0.285
RP,2.263701915740967,Adaboost,0.805,0.524,0.537,0.126,0.53,0.705,0.665,0.34
RP,2.263701915740967,GBDT,0.795,0.5,0.537,0.138,0.518,0.699,0.661,0.342
Howso,243.9544997215271,SVM,0.675,0.35,0.683,0.327,0.463,0.678,0.678,0.322
Howso,243.9544997215271,KNN,0.705,0.378,0.683,0.289,0.487,0.697,0.697,0.304
Howso,243.9544997215271,LR,0.72,0.41,0.829,0.308,0.548,0.761,0.754,0.249
Howso,243.9544997215271,DT,0.63,0.301,0.61,0.365,0.403,0.622,0.622,0.378
Howso,243.9544997215271,RF,0.765,0.458,0.805,0.245,0.584,0.78,0.779,0.222
Howso,243.9544997215271,LightGBM,0.785,0.485,0.805,0.22,0.606,0.792,0.792,0.208
Howso,243.9544997215271,Adaboost,0.735,0.425,0.829,0.289,0.562,0.77,0.765,0.238
Howso,243.9544997215271,GBDT,0.73,0.416,0.78,0.283,0.542,0.749,0.747,0.253
DS,0.8920378684997559,SVM,0.845,0.692,0.439,0.05,0.537,0.694,0.6,0.398
DS,0.8920378684997559,KNN,0.815,0.571,0.39,0.075,0.464,0.657,0.549,0.434
DS,0.8920378684997559,LR,0.83,0.59,0.561,0.101,0.575,0.73,0.691,0.318
DS,0.8920378684997559,DT,0.78,0.468,0.537,0.157,0.5,0.69,0.656,0.346
DS,0.8920378684997559,RF,0.83,0.6,0.512,0.088,0.553,0.712,0.656,0.351
DS,0.8920378684997559,LightGBM,0.855,0.65,0.634,0.088,0.642,0.773,0.748,0.266
DS,0.8920378684997559,Adaboost,0.81,0.541,0.488,0.107,0.513,0.69,0.631,0.37
DS,0.8920378684997559,GBDT,0.81,0.533,0.585,0.132,0.558,0.727,0.699,0.308
SDV_GC,17.35077691078186,SVM,0.855,0.676,0.561,0.069,0.613,0.746,0.7,0.314
SDV_GC,17.35077691078186,KNN,0.84,0.636,0.512,0.075,0.568,0.718,0.659,0.349
SDV_GC,17.35077691078186,LR,0.85,0.649,0.585,0.082,0.615,0.752,0.715,0.299
SDV_GC,17.35077691078186,DT,0.795,0.5,0.537,0.138,0.518,0.699,0.661,0.342
SDV_GC,17.35077691078186,RF,0.84,0.629,0.537,0.082,0.579,0.727,0.677,0.333
SDV_GC,17.35077691078186,LightGBM,0.85,0.649,0.585,0.082,0.615,0.752,0.715,0.299
SDV_GC,17.35077691078186,Adaboost,0.79,0.486,0.439,0.119,0.462,0.66,0.586,0.406
SDV_GC,17.35077691078186,GBDT,0.845,0.632,0.585,0.088,0.608,0.749,0.713,0.3
SDV_GAN,164.22647666931152,SVM,0.84,0.629,0.537,0.082,0.579,0.727,0.677,0.333
SDV_GAN,164.22647666931152,KNN,0.845,0.656,0.512,0.069,0.575,0.722,0.661,0.348
SDV_GAN,164.22647666931152,LR,0.835,0.6,0.585,0.101,0.593,0.742,0.709,0.302
SDV_GAN,164.22647666931152,DT,0.79,0.49,0.585,0.157,0.533,0.714,0.691,0.314
SDV_GAN,164.22647666931152,RF,0.83,0.581,0.61,0.113,0.595,0.748,0.723,0.287
SDV_GAN,164.22647666931152,LightGBM,0.825,0.571,0.585,0.113,0.578,0.736,0.705,0.304
SDV_GAN,164.22647666931152,Adaboost,0.8,0.51,0.61,0.151,0.556,0.729,0.71,0.296
SDV_GAN,164.22647666931152,GBDT,0.845,0.619,0.634,0.101,0.627,0.767,0.744,0.268
