oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.986,0.0,0.0,0.0,0.0,0.5,0.0,0.707
No,0,KNN,0.986,0.0,0.0,0.0,0.0,0.5,0.0,0.707
No,0,LR,0.952,0.053,0.143,0.037,0.077,0.553,0.249,0.607
No,0,DT,0.966,0.083,0.143,0.022,0.105,0.56,0.249,0.606
No,0,RF,0.986,0.0,0.0,0.0,0.0,0.5,0.0,0.707
No,0,LightGBM,0.98,0.364,0.571,0.014,0.444,0.779,0.723,0.303
No,0,Adaboost,0.978,0.25,0.286,0.012,0.267,0.637,0.443,0.505
No,0,GBDT,0.95,0.05,0.143,0.039,0.074,0.552,0.249,0.607
Random,0.02,SVM,0.982,0.0,0.0,0.004,0.0,0.498,0.0,0.707
Random,0.02,KNN,0.96,0.0,0.0,0.026,0.0,0.487,0.0,0.707
Random,0.02,LR,0.91,0.025,0.143,0.079,0.043,0.532,0.247,0.609
Random,0.02,DT,0.968,0.235,0.571,0.026,0.333,0.773,0.72,0.304
Random,0.02,RF,0.986,0.0,0.0,0.0,0.0,0.5,0.0,0.707
Random,0.02,LightGBM,0.978,0.167,0.143,0.01,0.154,0.566,0.25,0.606
Random,0.02,Adaboost,0.964,0.133,0.286,0.026,0.182,0.63,0.442,0.505
Random,0.02,GBDT,0.974,0.25,0.429,0.018,0.316,0.705,0.597,0.404
SMOTE,0.02,SVM,0.606,0.015,0.429,0.391,0.03,0.519,0.503,0.49
SMOTE,0.02,KNN,0.776,0.035,0.571,0.221,0.067,0.675,0.659,0.341
SMOTE,0.02,LR,0.632,0.016,0.429,0.365,0.032,0.532,0.512,0.479
SMOTE,0.02,DT,0.946,0.143,0.571,0.049,0.229,0.761,0.714,0.305
SMOTE,0.02,RF,0.982,0.375,0.429,0.01,0.4,0.709,0.598,0.404
SMOTE,0.02,LightGBM,0.97,0.214,0.429,0.022,0.286,0.703,0.596,0.404
SMOTE,0.02,Adaboost,0.974,0.2,0.286,0.016,0.235,0.635,0.443,0.505
SMOTE,0.02,GBDT,0.974,0.0,0.0,0.012,0.0,0.494,0.0,0.707
ADASYN,0.03,SVM,0.642,0.017,0.429,0.355,0.032,0.537,0.515,0.476
ADASYN,0.03,KNN,0.744,0.031,0.571,0.254,0.059,0.659,0.647,0.352
ADASYN,0.03,LR,0.656,0.023,0.571,0.343,0.044,0.614,0.611,0.388
ADASYN,0.03,DT,0.976,0.308,0.571,0.018,0.4,0.777,0.722,0.303
ADASYN,0.03,RF,0.978,0.3,0.429,0.014,0.353,0.707,0.597,0.404
ADASYN,0.03,LightGBM,0.98,0.286,0.286,0.01,0.286,0.638,0.443,0.505
ADASYN,0.03,Adaboost,0.978,0.167,0.143,0.01,0.154,0.566,0.25,0.606
ADASYN,0.03,GBDT,0.986,0.5,0.286,0.004,0.364,0.641,0.444,0.505
BorderlineSMOTE,0.03,SVM,0.586,0.019,0.571,0.414,0.037,0.579,0.579,0.421
BorderlineSMOTE,0.03,KNN,0.92,0.029,0.143,0.069,0.048,0.537,0.248,0.608
BorderlineSMOTE,0.03,LR,0.512,0.02,0.714,0.491,0.039,0.612,0.595,0.402
BorderlineSMOTE,0.03,DT,0.958,0.0,0.0,0.028,0.0,0.486,0.0,0.707
BorderlineSMOTE,0.03,RF,0.986,0.5,0.143,0.002,0.222,0.57,0.25,0.606
BorderlineSMOTE,0.03,LightGBM,0.978,0.167,0.143,0.01,0.154,0.566,0.25,0.606
BorderlineSMOTE,0.03,Adaboost,0.978,0.167,0.143,0.01,0.154,0.566,0.25,0.606
BorderlineSMOTE,0.03,GBDT,0.982,0.0,0.0,0.004,0.0,0.498,0.0,0.707
SVMSMOTE,0.03,SVM,0.562,0.018,0.571,0.438,0.035,0.567,0.567,0.433
SVMSMOTE,0.03,KNN,0.916,0.051,0.286,0.075,0.087,0.605,0.437,0.508
SVMSMOTE,0.03,LR,0.504,0.02,0.714,0.499,0.039,0.608,0.589,0.407
