oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.863,0.0,0.0,0.006,0.0,0.497,0.0,0.707
No,0,KNN,0.847,0.367,0.224,0.059,0.278,0.583,0.363,0.55
No,0,LR,0.869,0.5,0.082,0.012,0.14,0.535,0.151,0.649
No,0,DT,0.804,0.286,0.327,0.123,0.305,0.602,0.476,0.484
No,0,RF,0.887,0.769,0.204,0.009,0.323,0.597,0.338,0.563
No,0,LightGBM,0.879,0.6,0.245,0.025,0.348,0.61,0.391,0.534
No,0,Adaboost,0.834,0.24,0.122,0.059,0.162,0.532,0.217,0.622
No,0,GBDT,0.858,0.441,0.306,0.059,0.361,0.624,0.462,0.492
Random,0.01,SVM,0.708,0.222,0.49,0.259,0.306,0.615,0.59,0.405
Random,0.01,KNN,0.772,0.275,0.449,0.179,0.341,0.635,0.58,0.41
Random,0.01,LR,0.651,0.171,0.429,0.315,0.244,0.557,0.527,0.461
Random,0.01,DT,0.82,0.32,0.327,0.105,0.323,0.611,0.478,0.482
Random,0.01,RF,0.877,0.579,0.224,0.025,0.324,0.6,0.365,0.549
Random,0.01,LightGBM,0.866,0.485,0.327,0.052,0.39,0.637,0.486,0.478
Random,0.01,Adaboost,0.775,0.284,0.469,0.179,0.354,0.645,0.597,0.396
Random,0.01,GBDT,0.847,0.42,0.429,0.09,0.424,0.67,0.583,0.409
SMOTE,0.02,SVM,0.74,0.227,0.408,0.21,0.292,0.599,0.538,0.444
SMOTE,0.02,KNN,0.745,0.255,0.49,0.216,0.336,0.637,0.603,0.392
SMOTE,0.02,LR,0.668,0.185,0.449,0.299,0.262,0.575,0.547,0.443
SMOTE,0.02,DT,0.828,0.405,0.653,0.145,0.5,0.754,0.74,0.266
SMOTE,0.02,RF,0.855,0.449,0.449,0.083,0.449,0.683,0.603,0.394
SMOTE,0.02,LightGBM,0.866,0.485,0.327,0.052,0.39,0.637,0.486,0.478
SMOTE,0.02,Adaboost,0.802,0.255,0.265,0.117,0.26,0.574,0.408,0.526
SMOTE,0.02,GBDT,0.85,0.434,0.469,0.093,0.451,0.688,0.619,0.381
ADASYN,0.02,SVM,0.759,0.264,0.469,0.198,0.338,0.636,0.592,0.4
ADASYN,0.02,KNN,0.737,0.253,0.51,0.228,0.338,0.641,0.614,0.382
ADASYN,0.02,LR,0.646,0.183,0.49,0.33,0.267,0.58,0.566,0.43
ADASYN,0.02,DT,0.777,0.293,0.49,0.179,0.366,0.655,0.614,0.382
ADASYN,0.02,RF,0.861,0.468,0.449,0.077,0.458,0.686,0.604,0.393
ADASYN,0.02,LightGBM,0.869,0.5,0.367,0.056,0.424,0.656,0.529,0.449
ADASYN,0.02,Adaboost,0.799,0.25,0.265,0.12,0.257,0.572,0.408,0.526
ADASYN,0.02,GBDT,0.858,0.457,0.429,0.077,0.442,0.676,0.585,0.408
BorderlineSMOTE,0.02,SVM,0.751,0.256,0.469,0.207,0.331,0.631,0.59,0.403
BorderlineSMOTE,0.02,KNN,0.751,0.25,0.449,0.204,0.321,0.623,0.574,0.415
BorderlineSMOTE,0.02,LR,0.67,0.192,0.469,0.299,0.272,0.585,0.562,0.431
BorderlineSMOTE,0.02,DT,0.815,0.339,0.429,0.127,0.378,0.651,0.575,0.414
BorderlineSMOTE,0.02,RF,0.855,0.444,0.408,0.077,0.426,0.666,0.566,0.422
BorderlineSMOTE,0.02,LightGBM,0.879,0.562,0.367,0.043,0.444,0.662,0.531,0.448
BorderlineSMOTE,0.02,Adaboost,0.791,0.246,0.286,0.133,0.264,0.576,0.43,0.514
BorderlineSMOTE,0.02,GBDT,0.836,0.364,0.327,0.086,0.344,0.62,0.481,0.48
SVMSMOTE,0.07,SVM,0.807,0.265,0.265,0.111,0.265,0.577,0.409,0.525
SVMSMOTE,0.07,KNN,0.775,0.26,0.388,0.167,0.311,0.611,0.529,0.449
SVMSMOTE,0.07,LR,0.764,0.247,0.388,0.179,0.302,0.604,0.527,0.451
SVMSMOTE,0.07,DT,0.772,0.263,0.408,0.173,0.32,0.618,0.547,0.436
SVMSMOTE,0.07,RF,0.858,0.447,0.347,0.065,0.391,0.641,0.506,0.464
SVMSMOTE,0.07,LightGBM,0.871,0.514,0.367,0.052,0.429,0.657,0.529,0.449
SVMSMOTE,0.07,Adaboost,0.855,0.432,0.327,0.065,0.372,0.631,0.484,0.478
SVMSMOTE,0.07,GBDT,0.863,0.471,0.327,0.056,0.386,0.635,0.485,0.478
SMOTUNED,73.16,SVM,0.708,0.227,0.51,0.262,0.314,0.624,0.603,0.393
SMOTUNED,47.47,KNN,0.7,0.24,0.592,0.284,0.341,0.654,0.648,0.352
SMOTUNED,1314.66,LR,0.651,0.171,0.429,0.315,0.244,0.557,0.527,0.461
SMOTUNED,59.95,DT,0.625,0.158,0.429,0.346,0.231,0.541,0.518,0.472
SMOTUNED,250.78,RF,0.74,0.274,0.592,0.238,0.374,0.677,0.666,0.334
SMOTUNED,212.26,LightGBM,0.74,0.286,0.653,0.247,0.398,0.703,0.7,0.301
SMOTUNED,401.38,Adaboost,0.708,0.237,0.551,0.269,0.331,0.641,0.629,0.37
SMOTUNED,698.67,GBDT,0.735,0.277,0.633,0.25,0.385,0.691,0.686,0.314
DAZZLE,756.0069031715393,SVM,0.855,0.273,0.061,0.025,0.1,0.518,0.115,0.664
DAZZLE,756.0069031715393,KNN,0.836,0.3,0.184,0.065,0.228,0.559,0.307,0.579
DAZZLE,756.0069031715393,LR,0.783,0.18,0.184,0.127,0.182,0.529,0.304,0.584
DAZZLE,756.0069031715393,DT,0.772,0.263,0.408,0.173,0.32,0.618,0.547,0.436
DAZZLE,756.0069031715393,RF,0.879,0.611,0.224,0.022,0.328,0.601,0.365,0.549
DAZZLE,756.0069031715393,LightGBM,0.877,0.571,0.245,0.028,0.343,0.609,0.391,0.534
DAZZLE,756.0069031715393,Adaboost,0.845,0.286,0.122,0.046,0.171,0.538,0.217,0.621
DAZZLE,756.0069031715393,GBDT,0.855,0.419,0.265,0.056,0.325,0.605,0.414,0.521
WGAN,9.17,SVM,0.853,0.0,0.0,0.019,0.0,0.491,0.0,0.707
WGAN,9.17,KNN,0.509,0.128,0.469,0.485,0.201,0.492,0.491,0.508
WGAN,9.17,LR,0.365,0.149,0.816,0.704,0.252,0.556,0.435,0.514
WGAN,9.17,DT,0.558,0.191,0.735,0.469,0.304,0.633,0.616,0.381
WGAN,9.17,RF,0.198,0.137,0.959,0.917,0.239,0.521,0.153,0.649
WGAN,9.17,LightGBM,0.217,0.139,0.959,0.895,0.244,0.532,0.189,0.634
WGAN,9.17,Adaboost,0.555,0.177,0.653,0.46,0.278,0.597,0.591,0.407
WGAN,9.17,GBDT,0.139,0.132,1.0,0.991,0.234,0.505,0.018,0.701
RP,1.6435532569885254,SVM,0.753,0.247,0.429,0.198,0.313,0.616,0.559,0.428
RP,1.6435532569885254,KNN,0.756,0.256,0.449,0.198,0.326,0.626,0.576,0.414
RP,1.6435532569885254,LR,0.643,0.177,0.469,0.33,0.257,0.57,0.552,0.442
RP,1.6435532569885254,DT,0.796,0.32,0.49,0.157,0.387,0.666,0.619,0.378
RP,1.6435532569885254,RF,0.85,0.426,0.408,0.083,0.417,0.662,0.565,0.423
RP,1.6435532569885254,LightGBM,0.885,0.594,0.388,0.04,0.469,0.674,0.552,0.434
RP,1.6435532569885254,Adaboost,0.815,0.273,0.245,0.099,0.258,0.573,0.385,0.538
RP,1.6435532569885254,GBDT,0.831,0.354,0.347,0.096,0.351,0.626,0.501,0.467
Howso,201.79157662391663,SVM,0.641,0.194,0.551,0.346,0.287,0.603,0.598,0.401
Howso,201.79157662391663,KNN,0.721,0.248,0.551,0.253,0.342,0.649,0.634,0.364
Howso,201.79157662391663,LR,0.609,0.174,0.531,0.38,0.263,0.575,0.572,0.427
Howso,201.79157662391663,DT,0.681,0.235,0.633,0.312,0.343,0.66,0.659,0.341
Howso,201.79157662391663,RF,0.684,0.248,0.694,0.318,0.366,0.688,0.688,0.312
Howso,201.79157662391663,LightGBM,0.692,0.257,0.714,0.312,0.378,0.701,0.701,0.299
Howso,201.79157662391663,Adaboost,0.627,0.215,0.694,0.383,0.329,0.656,0.653,0.347
Howso,201.79157662391663,GBDT,0.654,0.21,0.592,0.336,0.31,0.628,0.626,0.374
DS,0.5143029689788818,SVM,0.869,0.5,0.02,0.003,0.039,0.509,0.04,0.693
DS,0.5143029689788818,KNN,0.839,0.261,0.122,0.052,0.167,0.535,0.217,0.622
DS,0.5143029689788818,LR,0.871,0.556,0.102,0.012,0.172,0.545,0.185,0.635
DS,0.5143029689788818,DT,0.818,0.327,0.367,0.114,0.346,0.627,0.519,0.455
DS,0.5143029689788818,RF,0.887,0.769,0.204,0.009,0.323,0.597,0.338,0.563
DS,0.5143029689788818,LightGBM,0.885,0.636,0.286,0.025,0.394,0.631,0.442,0.505
DS,0.5143029689788818,Adaboost,0.826,0.167,0.082,0.062,0.11,0.51,0.15,0.651
DS,0.5143029689788818,GBDT,0.858,0.447,0.347,0.065,0.391,0.641,0.506,0.464
SDV_GC,8.875093698501587,SVM,0.874,0.625,0.102,0.009,0.175,0.546,0.185,0.635
SDV_GC,8.875093698501587,KNN,0.853,0.375,0.184,0.046,0.247,0.569,0.308,0.578
SDV_GC,8.875093698501587,LR,0.866,0.455,0.102,0.019,0.167,0.542,0.185,0.635
SDV_GC,8.875093698501587,DT,0.823,0.327,0.327,0.102,0.327,0.612,0.479,0.482
