oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.874,1.0,0.041,0.0,0.078,0.52,0.078,0.678
No,0,KNN,0.85,0.37,0.204,0.052,0.263,0.576,0.336,0.564
No,0,LR,0.863,0.4,0.082,0.019,0.136,0.532,0.151,0.65
No,0,DT,0.799,0.29,0.367,0.136,0.324,0.616,0.516,0.458
No,0,RF,0.887,0.684,0.265,0.019,0.382,0.623,0.418,0.52
No,0,LightGBM,0.869,0.5,0.224,0.034,0.31,0.595,0.364,0.549
No,0,Adaboost,0.853,0.364,0.163,0.043,0.225,0.56,0.279,0.592
No,0,GBDT,0.836,0.35,0.286,0.08,0.315,0.603,0.436,0.508
Random,0.01,SVM,0.743,0.242,0.449,0.213,0.314,0.618,0.572,0.418
Random,0.01,KNN,0.764,0.265,0.449,0.188,0.333,0.63,0.578,0.412
Random,0.01,LR,0.748,0.286,0.612,0.231,0.39,0.69,0.682,0.319
Random,0.01,DT,0.81,0.304,0.347,0.12,0.324,0.613,0.498,0.47
Random,0.01,RF,0.879,0.567,0.347,0.04,0.43,0.653,0.51,0.463
Random,0.01,LightGBM,0.866,0.486,0.347,0.056,0.405,0.646,0.507,0.463
Random,0.01,Adaboost,0.756,0.277,0.531,0.21,0.364,0.66,0.635,0.364
Random,0.01,GBDT,0.812,0.302,0.327,0.114,0.314,0.606,0.477,0.483
SMOTE,0.02,SVM,0.743,0.23,0.408,0.207,0.294,0.601,0.539,0.443
SMOTE,0.02,KNN,0.764,0.271,0.469,0.191,0.343,0.639,0.594,0.399
SMOTE,0.02,LR,0.751,0.292,0.633,0.231,0.4,0.701,0.694,0.307
SMOTE,0.02,DT,0.777,0.264,0.388,0.164,0.314,0.612,0.53,0.448
SMOTE,0.02,RF,0.863,0.48,0.49,0.08,0.485,0.705,0.639,0.365
SMOTE,0.02,LightGBM,0.874,0.529,0.367,0.049,0.434,0.659,0.53,0.449
SMOTE,0.02,Adaboost,0.831,0.354,0.347,0.096,0.351,0.626,0.501,0.467
SMOTE,0.02,GBDT,0.834,0.349,0.306,0.086,0.326,0.61,0.459,0.494
ADASYN,0.02,SVM,0.764,0.253,0.408,0.182,0.312,0.613,0.545,0.438
ADASYN,0.02,KNN,0.745,0.255,0.49,0.216,0.336,0.637,0.603,0.392
ADASYN,0.02,LR,0.732,0.274,0.633,0.253,0.383,0.69,0.685,0.315
ADASYN,0.02,DT,0.78,0.268,0.388,0.16,0.317,0.614,0.53,0.448
ADASYN,0.02,RF,0.866,0.489,0.449,0.071,0.468,0.689,0.605,0.393
ADASYN,0.02,LightGBM,0.858,0.447,0.347,0.065,0.391,0.641,0.506,0.464
ADASYN,0.02,Adaboost,0.828,0.347,0.347,0.099,0.347,0.624,0.501,0.467
ADASYN,0.02,GBDT,0.828,0.353,0.367,0.102,0.36,0.633,0.521,0.453
BorderlineSMOTE,0.02,SVM,0.788,0.286,0.408,0.154,0.336,0.627,0.551,0.432
BorderlineSMOTE,0.02,KNN,0.767,0.279,0.49,0.191,0.356,0.649,0.61,0.385
BorderlineSMOTE,0.02,LR,0.759,0.301,0.633,0.222,0.408,0.705,0.698,0.304
BorderlineSMOTE,0.02,DT,0.78,0.246,0.327,0.151,0.281,0.588,0.472,0.488
BorderlineSMOTE,0.02,RF,0.855,0.449,0.449,0.083,0.449,0.683,0.603,0.394
BorderlineSMOTE,0.02,LightGBM,0.866,0.485,0.327,0.052,0.39,0.637,0.486,0.478
