oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.871,0.667,0.041,0.003,0.077,0.519,0.078,0.678
No,0,KNN,0.85,0.348,0.163,0.046,0.222,0.558,0.279,0.593
No,0,LR,0.879,0.833,0.102,0.003,0.182,0.549,0.185,0.635
No,0,DT,0.839,0.383,0.367,0.09,0.375,0.639,0.523,0.452
No,0,RF,0.885,0.8,0.163,0.006,0.271,0.579,0.28,0.592
No,0,LightGBM,0.893,0.737,0.286,0.015,0.412,0.635,0.443,0.505
No,0,Adaboost,0.858,0.4,0.163,0.037,0.232,0.563,0.279,0.592
No,0,GBDT,0.858,0.438,0.286,0.056,0.346,0.615,0.439,0.507
Random,0.01,SVM,0.799,0.329,0.51,0.157,0.4,0.676,0.636,0.364
Random,0.01,KNN,0.777,0.25,0.347,0.157,0.291,0.595,0.492,0.475
Random,0.01,LR,0.786,0.318,0.551,0.179,0.403,0.686,0.659,0.342
Random,0.01,DT,0.834,0.349,0.306,0.086,0.326,0.61,0.459,0.494
Random,0.01,RF,0.89,0.7,0.286,0.019,0.406,0.634,0.443,0.505
Random,0.01,LightGBM,0.882,0.593,0.327,0.034,0.421,0.646,0.488,0.477
Random,0.01,Adaboost,0.772,0.291,0.51,0.188,0.37,0.661,0.627,0.371
Random,0.01,GBDT,0.858,0.45,0.367,0.068,0.404,0.65,0.527,0.45
SMOTE,0.02,SVM,0.767,0.279,0.49,0.191,0.356,0.649,0.61,0.385
SMOTE,0.02,KNN,0.769,0.266,0.429,0.179,0.328,0.625,0.563,0.423
SMOTE,0.02,LR,0.783,0.318,0.571,0.185,0.409,0.693,0.672,0.33
SMOTE,0.02,DT,0.777,0.234,0.306,0.151,0.265,0.577,0.45,0.502
SMOTE,0.02,RF,0.879,0.553,0.429,0.052,0.483,0.688,0.59,0.406
SMOTE,0.02,LightGBM,0.874,0.528,0.388,0.052,0.447,0.668,0.55,0.435
SMOTE,0.02,Adaboost,0.85,0.41,0.327,0.071,0.364,0.628,0.483,0.479
SMOTE,0.02,GBDT,0.855,0.429,0.306,0.062,0.357,0.622,0.462,0.493
ADASYN,0.12,SVM,0.802,0.302,0.388,0.136,0.339,0.626,0.535,0.443
ADASYN,0.12,KNN,0.751,0.232,0.388,0.194,0.29,0.597,0.524,0.454
ADASYN,0.12,LR,0.767,0.293,0.551,0.201,0.383,0.675,0.652,0.348
ADASYN,0.12,DT,0.82,0.35,0.429,0.12,0.385,0.654,0.576,0.413
ADASYN,0.12,RF,0.877,0.541,0.408,0.052,0.465,0.678,0.571,0.42
ADASYN,0.12,LightGBM,0.871,0.516,0.327,0.046,0.4,0.64,0.486,0.477
ADASYN,0.12,Adaboost,0.861,0.462,0.367,0.065,0.409,0.651,0.527,0.45
ADASYN,0.12,GBDT,0.847,0.409,0.367,0.08,0.387,0.644,0.525,0.451
BorderlineSMOTE,0.03,SVM,0.788,0.297,0.449,0.16,0.358,0.644,0.585,0.406
BorderlineSMOTE,0.03,KNN,0.767,0.256,0.408,0.179,0.315,0.615,0.545,0.437
BorderlineSMOTE,0.03,LR,0.775,0.299,0.531,0.188,0.382,0.671,0.642,0.358
BorderlineSMOTE,0.03,DT,0.804,0.306,0.388,0.133,0.342,0.628,0.536,0.443
BorderlineSMOTE,0.03,RF,0.866,0.488,0.408,0.065,0.444,0.672,0.568,0.421
BorderlineSMOTE,0.03,LightGBM,0.866,0.485,0.327,0.052,0.39,0.637,0.486,0.478
BorderlineSMOTE,0.03,Adaboost,0.866,0.488,0.408,0.065,0.444,0.672,0.568,0.421
BorderlineSMOTE,0.03,GBDT,0.858,0.444,0.327,0.062,0.376,0.632,0.484,0.478
SVMSMOTE,0.07,SVM,0.839,0.378,0.347,0.086,0.362,0.63,0.503,0.466
SVMSMOTE,0.07,KNN,0.794,0.294,0.408,0.148,0.342,0.63,0.552,0.431
SVMSMOTE,0.07,LR,0.831,0.391,0.51,0.12,0.442,0.695,0.646,0.357
SVMSMOTE,0.07,DT,0.818,0.333,0.388,0.117,0.358,0.635,0.539,0.441
SVMSMOTE,0.07,RF,0.879,0.562,0.367,0.043,0.444,0.662,0.531,0.448
SVMSMOTE,0.07,LightGBM,0.871,0.516,0.327,0.046,0.4,0.64,0.486,0.477
SVMSMOTE,0.07,Adaboost,0.858,0.444,0.327,0.062,0.376,0.632,0.484,0.478
SVMSMOTE,0.07,GBDT,0.836,0.37,0.347,0.09,0.358,0.629,0.502,0.466
SMOTUNED,61.39,SVM,0.745,0.275,0.571,0.228,0.371,0.672,0.657,0.343
SMOTUNED,40.36,KNN,0.697,0.242,0.612,0.29,0.347,0.661,0.657,0.342
SMOTUNED,1055.06,LR,0.727,0.261,0.592,0.253,0.362,0.669,0.66,0.34
SMOTUNED,47.36,DT,0.721,0.273,0.673,0.272,0.388,0.701,0.7,0.3
SMOTUNED,166.45,RF,0.753,0.295,0.633,0.228,0.403,0.702,0.695,0.306
