oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.874,0.75,0.061,0.003,0.113,0.529,0.115,0.664
No,0,KNN,0.874,0.538,0.286,0.037,0.373,0.624,0.441,0.506
No,0,LR,0.866,0.462,0.122,0.022,0.194,0.55,0.218,0.621
No,0,DT,0.836,0.38,0.388,0.096,0.384,0.646,0.543,0.438
No,0,RF,0.895,0.812,0.265,0.009,0.4,0.628,0.419,0.52
No,0,LightGBM,0.885,0.625,0.306,0.028,0.411,0.639,0.466,0.491
No,0,Adaboost,0.863,0.429,0.122,0.025,0.19,0.549,0.218,0.621
No,0,GBDT,0.858,0.441,0.306,0.059,0.361,0.624,0.462,0.492
Random,0.01,SVM,0.783,0.322,0.592,0.188,0.417,0.702,0.685,0.318
Random,0.01,KNN,0.796,0.315,0.469,0.154,0.377,0.658,0.604,0.391
Random,0.01,LR,0.713,0.246,0.571,0.265,0.344,0.653,0.643,0.356
Random,0.01,DT,0.826,0.326,0.306,0.096,0.316,0.605,0.457,0.495
Random,0.01,RF,0.882,0.586,0.347,0.037,0.436,0.655,0.51,0.463
Random,0.01,LightGBM,0.861,0.457,0.327,0.059,0.381,0.634,0.485,0.478
Random,0.01,Adaboost,0.802,0.333,0.51,0.154,0.403,0.678,0.636,0.363
Random,0.01,GBDT,0.866,0.489,0.449,0.071,0.468,0.689,0.605,0.393
SMOTE,0.02,SVM,0.777,0.298,0.51,0.182,0.376,0.664,0.628,0.369
SMOTE,0.02,KNN,0.772,0.3,0.551,0.194,0.388,0.678,0.654,0.346
SMOTE,0.02,LR,0.71,0.239,0.551,0.265,0.333,0.643,0.63,0.369
SMOTE,0.02,DT,0.802,0.324,0.469,0.148,0.383,0.661,0.605,0.39
SMOTE,0.02,RF,0.877,0.537,0.449,0.059,0.489,0.695,0.608,0.392
SMOTE,0.02,LightGBM,0.871,0.516,0.327,0.046,0.4,0.64,0.486,0.477
SMOTE,0.02,Adaboost,0.842,0.4,0.408,0.093,0.404,0.658,0.563,0.424
