oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.871,0.667,0.041,0.003,0.077,0.519,0.078,0.678
No,0,KNN,0.845,0.304,0.143,0.049,0.194,0.547,0.248,0.607
No,0,LR,0.874,0.667,0.082,0.006,0.145,0.538,0.151,0.649
No,0,DT,0.826,0.318,0.286,0.093,0.301,0.597,0.435,0.509
No,0,RF,0.877,0.6,0.184,0.019,0.281,0.583,0.309,0.577
No,0,LightGBM,0.885,0.667,0.245,0.019,0.358,0.613,0.392,0.534
No,0,Adaboost,0.877,0.667,0.122,0.009,0.207,0.557,0.218,0.621
No,0,GBDT,0.823,0.302,0.265,0.093,0.283,0.586,0.411,0.524
Random,0.02,SVM,0.786,0.322,0.571,0.182,0.412,0.695,0.673,0.329
Random,0.02,KNN,0.777,0.257,0.367,0.16,0.303,0.603,0.511,0.462
Random,0.02,LR,0.748,0.253,0.469,0.21,0.329,0.63,0.589,0.403
Random,0.02,DT,0.818,0.321,0.347,0.111,0.333,0.618,0.499,0.468
Random,0.02,RF,0.871,0.519,0.286,0.04,0.368,0.623,0.44,0.506
Random,0.02,LightGBM,0.863,0.467,0.286,0.049,0.354,0.618,0.439,0.506
Random,0.02,Adaboost,0.807,0.317,0.408,0.133,0.357,0.638,0.555,0.429
Random,0.02,GBDT,0.853,0.429,0.367,0.074,0.396,0.647,0.526,0.45
SMOTE,0.02,SVM,0.802,0.338,0.531,0.157,0.413,0.687,0.651,0.35
SMOTE,0.02,KNN,0.78,0.301,0.51,0.179,0.379,0.666,0.629,0.369
SMOTE,0.02,LR,0.745,0.26,0.51,0.219,0.345,0.646,0.617,0.379
SMOTE,0.02,DT,0.823,0.361,0.449,0.12,0.4,0.664,0.595,0.399
SMOTE,0.02,RF,0.866,0.486,0.347,0.056,0.405,0.646,0.507,0.463
SMOTE,0.02,LightGBM,0.871,0.519,0.286,0.04,0.368,0.623,0.44,0.506
SMOTE,0.02,Adaboost,0.842,0.381,0.327,0.08,0.352,0.623,0.482,0.48
SMOTE,0.02,GBDT,0.836,0.357,0.306,0.083,0.33,0.611,0.459,0.494
ADASYN,0.02,SVM,0.799,0.329,0.51,0.157,0.4,0.676,0.636,0.364
ADASYN,0.02,KNN,0.772,0.295,0.531,0.191,0.38,0.67,0.641,0.358
ADASYN,0.02,LR,0.745,0.26,0.51,0.219,0.345,0.646,0.617,0.379
ADASYN,0.02,DT,0.812,0.294,0.306,0.111,0.3,0.598,0.455,0.497
ADASYN,0.02,RF,0.874,0.528,0.388,0.052,0.447,0.668,0.55,0.435
ADASYN,0.02,LightGBM,0.874,0.538,0.286,0.037,0.373,0.624,0.441,0.506
ADASYN,0.02,Adaboost,0.831,0.281,0.184,0.071,0.222,0.556,0.307,0.579
ADASYN,0.02,GBDT,0.845,0.39,0.327,0.077,0.356,0.625,0.482,0.479
BorderlineSMOTE,0.02,SVM,0.804,0.338,0.51,0.151,0.407,0.679,0.637,0.362
BorderlineSMOTE,0.02,KNN,0.775,0.273,0.429,0.173,0.333,0.628,0.565,0.422
BorderlineSMOTE,0.02,LR,0.759,0.247,0.408,0.188,0.308,0.61,0.543,0.439
BorderlineSMOTE,0.02,DT,0.791,0.301,0.449,0.157,0.361,0.646,0.586,0.405
BorderlineSMOTE,0.02,RF,0.866,0.485,0.327,0.052,0.39,0.637,0.486,0.478
BorderlineSMOTE,0.02,LightGBM,0.882,0.593,0.327,0.034,0.421,0.646,0.488,0.477
BorderlineSMOTE,0.02,Adaboost,0.828,0.326,0.286,0.09,0.304,0.598,0.435,0.509
BorderlineSMOTE,0.02,GBDT,0.834,0.367,0.367,0.096,0.367,0.636,0.522,0.452
SVMSMOTE,0.07,SVM,0.842,0.25,0.102,0.046,0.145,0.528,0.184,0.636
SVMSMOTE,0.07,KNN,0.807,0.298,0.347,0.123,0.321,0.612,0.497,0.47
SVMSMOTE,0.07,LR,0.828,0.286,0.204,0.077,0.238,0.563,0.334,0.565
SVMSMOTE,0.07,DT,0.772,0.19,0.224,0.145,0.206,0.54,0.356,0.558
SVMSMOTE,0.07,RF,0.866,0.484,0.306,0.049,0.375,0.628,0.463,0.492
SVMSMOTE,0.07,LightGBM,0.877,0.571,0.245,0.028,0.343,0.609,0.391,0.534
SVMSMOTE,0.07,Adaboost,0.828,0.286,0.204,0.077,0.238,0.563,0.334,0.565
SVMSMOTE,0.07,GBDT,0.812,0.286,0.286,0.108,0.286,0.589,0.433,0.511
SMOTUNED,86.27,SVM,0.753,0.274,0.531,0.213,0.361,0.659,0.634,0.364
SMOTUNED,51.55,KNN,0.716,0.218,0.449,0.244,0.293,0.603,0.563,0.426
SMOTUNED,1427.35,LR,0.727,0.238,0.49,0.238,0.32,0.626,0.596,0.398
SMOTUNED,61.28,DT,0.721,0.228,0.469,0.241,0.307,0.614,0.58,0.412
SMOTUNED,245.24,RF,0.788,0.321,0.551,0.176,0.406,0.688,0.66,0.341
SMOTUNED,200.11,LightGBM,0.753,0.283,0.571,0.219,0.378,0.676,0.66,0.34
SMOTUNED,411.85,Adaboost,0.735,0.281,0.653,0.253,0.393,0.7,0.697,0.304
SMOTUNED,690.86,GBDT,0.759,0.27,0.49,0.201,0.348,0.645,0.607,0.388
DAZZLE,660.5991461277008,SVM,0.866,0.0,0.0,0.003,0.0,0.498,0.0,0.707
DAZZLE,660.5991461277008,KNN,0.834,0.118,0.041,0.046,0.061,0.497,0.078,0.679
DAZZLE,660.5991461277008,LR,0.858,0.25,0.041,0.019,0.07,0.511,0.078,0.678
DAZZLE,660.5991461277008,DT,0.831,0.354,0.347,0.096,0.351,0.626,0.501,0.467
DAZZLE,660.5991461277008,RF,0.879,0.643,0.184,0.015,0.286,0.584,0.31,0.577
DAZZLE,660.5991461277008,LightGBM,0.887,0.706,0.245,0.015,0.364,0.615,0.392,0.534
DAZZLE,660.5991461277008,Adaboost,0.869,0.5,0.122,0.019,0.197,0.552,0.218,0.621
DAZZLE,660.5991461277008,GBDT,0.845,0.345,0.204,0.059,0.256,0.573,0.335,0.564
WGAN,9.39,SVM,0.861,0.0,0.0,0.009,0.0,0.495,0.0,0.707
WGAN,9.39,KNN,0.375,0.143,0.755,0.682,0.241,0.537,0.447,0.512
WGAN,9.39,LR,0.517,0.142,0.531,0.485,0.224,0.523,0.523,0.477
WGAN,9.39,DT,0.231,0.144,0.98,0.883,0.251,0.548,0.209,0.624
WGAN,9.39,RF,0.244,0.148,1.0,0.87,0.258,0.565,0.23,0.615
WGAN,9.39,LightGBM,0.512,0.176,0.735,0.522,0.283,0.607,0.579,0.414
WGAN,9.39,Adaboost,0.359,0.153,0.857,0.716,0.26,0.571,0.427,0.516
WGAN,9.39,GBDT,0.63,0.165,0.449,0.343,0.242,0.553,0.534,0.459
RP,1.7182011604309082,SVM,0.81,0.355,0.551,0.151,0.432,0.7,0.668,0.335
RP,1.7182011604309082,KNN,0.791,0.29,0.408,0.151,0.339,0.628,0.551,0.432
RP,1.7182011604309082,LR,0.727,0.257,0.571,0.25,0.354,0.661,0.649,0.351
RP,1.7182011604309082,DT,0.804,0.338,0.51,0.151,0.407,0.679,0.637,0.362
RP,1.7182011604309082,RF,0.866,0.486,0.367,0.059,0.419,0.654,0.528,0.449
RP,1.7182011604309082,LightGBM,0.871,0.52,0.265,0.037,0.351,0.614,0.416,0.52
RP,1.7182011604309082,Adaboost,0.831,0.325,0.265,0.083,0.292,0.591,0.412,0.523
RP,1.7182011604309082,GBDT,0.831,0.325,0.265,0.083,0.292,0.591,0.412,0.523
Howso,197.56038403511047,SVM,0.716,0.234,0.51,0.253,0.321,0.629,0.606,0.39
Howso,197.56038403511047,KNN,0.7,0.231,0.551,0.278,0.325,0.637,0.625,0.373
Howso,197.56038403511047,LR,0.702,0.228,0.531,0.272,0.319,0.63,0.614,0.383
Howso,197.56038403511047,DT,0.657,0.203,0.551,0.327,0.297,0.612,0.606,0.393
Howso,197.56038403511047,RF,0.751,0.271,0.531,0.216,0.359,0.657,0.633,0.365
Howso,197.56038403511047,LightGBM,0.737,0.267,0.571,0.238,0.364,0.667,0.653,0.347
Howso,197.56038403511047,Adaboost,0.694,0.252,0.673,0.302,0.367,0.686,0.685,0.315
Howso,197.56038403511047,GBDT,0.729,0.25,0.531,0.241,0.34,0.645,0.625,0.373
DS,0.6340563297271729,SVM,0.869,0.5,0.02,0.003,0.039,0.509,0.04,0.693
DS,0.6340563297271729,KNN,0.858,0.375,0.122,0.031,0.185,0.546,0.217,0.621
DS,0.6340563297271729,LR,0.874,0.667,0.082,0.006,0.145,0.538,0.151,0.649
DS,0.6340563297271729,DT,0.812,0.294,0.306,0.111,0.3,0.598,0.455,0.497
DS,0.6340563297271729,RF,0.877,0.615,0.163,0.015,0.258,0.574,0.28,0.592
DS,0.6340563297271729,LightGBM,0.879,0.625,0.204,0.019,0.308,0.593,0.338,0.563
DS,0.6340563297271729,Adaboost,0.863,0.4,0.082,0.019,0.136,0.532,0.151,0.65
DS,0.6340563297271729,GBDT,0.847,0.389,0.286,0.068,0.329,0.609,0.437,0.507
SDV_GC,9.101581335067749,SVM,0.863,0.333,0.041,0.012,0.073,0.514,0.078,0.678
SDV_GC,9.101581335067749,KNN,0.847,0.3,0.122,0.043,0.174,0.54,0.217,0.621
SDV_GC,9.101581335067749,LR,0.861,0.364,0.082,0.022,0.133,0.53,0.151,0.65
SDV_GC,9.101581335067749,DT,0.828,0.308,0.245,0.083,0.273,0.581,0.387,0.537
SDV_GC,9.101581335067749,RF,0.869,0.5,0.163,0.025,0.246,0.569,0.28,0.592
SDV_GC,9.101581335067749,LightGBM,0.89,0.75,0.245,0.012,0.369,0.616,0.392,0.534
SDV_GC,9.101581335067749,Adaboost,0.853,0.286,0.082,0.031,0.127,0.525,0.151,0.65
SDV_GC,9.101581335067749,GBDT,0.85,0.4,0.286,0.065,0.333,0.61,0.438,0.507
SDV_GAN,80.67720699310303,SVM,0.858,0.25,0.041,0.019,0.07,0.511,0.078,0.678
SDV_GAN,80.67720699310303,KNN,0.836,0.25,0.122,0.056,0.164,0.533,0.217,0.622
SDV_GAN,80.67720699310303,LR,0.863,0.417,0.102,0.022,0.164,0.54,0.185,0.635
SDV_GAN,80.67720699310303,DT,0.81,0.261,0.245,0.105,0.253,0.57,0.385,0.539
SDV_GAN,80.67720699310303,RF,0.877,0.588,0.204,0.022,0.303,0.591,0.338,0.563
SDV_GAN,80.67720699310303,LightGBM,0.869,0.5,0.204,0.031,0.29,0.587,0.337,0.563
SDV_GAN,80.67720699310303,Adaboost,0.861,0.4,0.122,0.028,0.188,0.547,0.218,0.621
SDV_GAN,80.67720699310303,GBDT,0.866,0.485,0.327,0.052,0.39,0.637,0.486,0.478
