oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.871,0.667,0.041,0.003,0.077,0.519,0.078,0.678
No,0,KNN,0.874,0.542,0.265,0.034,0.356,0.616,0.416,0.52
No,0,LR,0.869,0.5,0.122,0.019,0.197,0.552,0.218,0.621
No,0,DT,0.799,0.25,0.265,0.12,0.257,0.572,0.408,0.526
No,0,RF,0.885,0.75,0.184,0.009,0.295,0.587,0.31,0.577
No,0,LightGBM,0.887,0.706,0.245,0.015,0.364,0.615,0.392,0.534
No,0,Adaboost,0.858,0.357,0.102,0.028,0.159,0.537,0.185,0.635
No,0,GBDT,0.866,0.485,0.327,0.052,0.39,0.637,0.486,0.478
Random,0.01,SVM,0.753,0.228,0.367,0.188,0.281,0.59,0.506,0.467
Random,0.01,KNN,0.756,0.224,0.347,0.182,0.272,0.582,0.487,0.479
Random,0.01,LR,0.732,0.262,0.571,0.244,0.359,0.664,0.651,0.349
Random,0.01,DT,0.828,0.333,0.306,0.093,0.319,0.607,0.458,0.495
Random,0.01,RF,0.893,0.714,0.306,0.019,0.429,0.644,0.467,0.491
Random,0.01,LightGBM,0.885,0.607,0.347,0.034,0.442,0.656,0.511,0.462
Random,0.01,Adaboost,0.796,0.329,0.531,0.164,0.406,0.684,0.649,0.351
Random,0.01,GBDT,0.871,0.512,0.449,0.065,0.478,0.692,0.607,0.392
SMOTE,0.01,SVM,0.767,0.284,0.51,0.194,0.365,0.658,0.625,0.373
SMOTE,0.01,KNN,0.745,0.26,0.51,0.219,0.345,0.646,0.617,0.379
SMOTE,0.01,LR,0.729,0.272,0.633,0.256,0.38,0.688,0.684,0.317
SMOTE,0.01,DT,0.85,0.444,0.571,0.108,0.5,0.732,0.697,0.313
SMOTE,0.01,RF,0.863,0.48,0.49,0.08,0.485,0.705,0.639,0.365
SMOTE,0.01,LightGBM,0.89,0.633,0.388,0.034,0.481,0.677,0.553,0.434
SMOTE,0.01,Adaboost,0.842,0.411,0.469,0.102,0.438,0.684,0.617,0.382
SMOTE,0.01,GBDT,0.853,0.438,0.429,0.083,0.433,0.673,0.584,0.408
ADASYN,0.02,SVM,0.751,0.261,0.49,0.21,0.34,0.64,0.605,0.39
ADASYN,0.02,KNN,0.753,0.253,0.449,0.201,0.324,0.624,0.575,0.415
ADASYN,0.02,LR,0.713,0.262,0.653,0.278,0.374,0.688,0.686,0.314
ADASYN,0.02,DT,0.802,0.324,0.469,0.148,0.383,0.661,0.605,0.39
ADASYN,0.02,RF,0.858,0.457,0.429,0.077,0.442,0.676,0.585,0.408
ADASYN,0.02,LightGBM,0.877,0.543,0.388,0.049,0.452,0.669,0.551,0.434
ADASYN,0.02,Adaboost,0.826,0.375,0.49,0.123,0.425,0.683,0.628,0.371
ADASYN,0.02,GBDT,0.861,0.465,0.408,0.071,0.435,0.669,0.567,0.421
BorderlineSMOTE,0.13,SVM,0.759,0.264,0.469,0.198,0.338,0.636,0.592,0.4
BorderlineSMOTE,0.13,KNN,0.769,0.282,0.49,0.188,0.358,0.651,0.611,0.385
BorderlineSMOTE,0.13,LR,0.751,0.292,0.633,0.231,0.4,0.701,0.694,0.307
BorderlineSMOTE,0.13,DT,0.802,0.302,0.388,0.136,0.339,0.626,0.535,0.443
BorderlineSMOTE,0.13,RF,0.871,0.513,0.408,0.059,0.455,0.675,0.569,0.421
BorderlineSMOTE,0.13,LightGBM,0.882,0.571,0.408,0.046,0.476,0.681,0.572,0.42
BorderlineSMOTE,0.13,Adaboost,0.823,0.365,0.469,0.123,0.411,0.673,0.611,0.385
BorderlineSMOTE,0.13,GBDT,0.845,0.408,0.408,0.09,0.408,0.659,0.564,0.423
SVMSMOTE,0.63,SVM,0.847,0.382,0.265,0.065,0.313,0.6,0.413,0.522
SVMSMOTE,0.63,KNN,0.786,0.262,0.347,0.148,0.298,0.599,0.493,0.474
SVMSMOTE,0.63,LR,0.82,0.355,0.449,0.123,0.396,0.663,0.594,0.399
SVMSMOTE,0.63,DT,0.794,0.274,0.347,0.139,0.306,0.604,0.495,0.472
SVMSMOTE,0.63,RF,0.885,0.6,0.367,0.037,0.456,0.665,0.532,0.448
SVMSMOTE,0.63,LightGBM,0.893,0.667,0.367,0.028,0.474,0.67,0.533,0.448
SVMSMOTE,0.63,Adaboost,0.836,0.357,0.306,0.083,0.33,0.611,0.459,0.494
SVMSMOTE,0.63,GBDT,0.858,0.45,0.367,0.068,0.404,0.65,0.527,0.45
SMOTUNED,67.94,SVM,0.705,0.244,0.592,0.278,0.345,0.657,0.651,0.349
SMOTUNED,55.04,KNN,0.748,0.297,0.673,0.241,0.413,0.716,0.714,0.287
SMOTUNED,1237.57,LR,0.737,0.275,0.612,0.244,0.38,0.684,0.677,0.324
SMOTUNED,54.26,DT,0.708,0.254,0.633,0.281,0.363,0.676,0.673,0.327
SMOTUNED,200.96,RF,0.818,0.38,0.612,0.151,0.469,0.731,0.711,0.294
SMOTUNED,255.31,LightGBM,0.775,0.323,0.653,0.207,0.432,0.723,0.716,0.286
SMOTUNED,351.27,Adaboost,0.78,0.31,0.551,0.185,0.397,0.683,0.657,0.343
SMOTUNED,646.72,GBDT,0.737,0.294,0.714,0.259,0.417,0.728,0.727,0.273
DAZZLE,1811.48122549057,SVM,0.871,1.0,0.02,0.0,0.04,0.51,0.04,0.693
DAZZLE,1811.48122549057,KNN,0.863,0.455,0.204,0.037,0.282,0.584,0.337,0.563
DAZZLE,1811.48122549057,LR,0.861,0.421,0.163,0.034,0.235,0.565,0.279,0.592
DAZZLE,1811.48122549057,DT,0.853,0.429,0.367,0.074,0.396,0.647,0.526,0.45
DAZZLE,1811.48122549057,RF,0.882,0.667,0.204,0.015,0.312,0.594,0.338,0.563
DAZZLE,1811.48122549057,LightGBM,0.887,0.684,0.265,0.019,0.382,0.623,0.418,0.52
DAZZLE,1811.48122549057,Adaboost,0.863,0.444,0.163,0.031,0.239,0.566,0.279,0.592
DAZZLE,1811.48122549057,GBDT,0.828,0.308,0.245,0.083,0.273,0.581,0.387,0.537
WGAN,8.47,SVM,0.858,0.0,0.0,0.012,0.0,0.494,0.0,0.707
WGAN,8.47,KNN,0.52,0.139,0.51,0.478,0.218,0.516,0.516,0.484
WGAN,8.47,LR,0.244,0.146,0.98,0.867,0.254,0.556,0.234,0.613
WGAN,8.47,DT,0.654,0.21,0.592,0.336,0.31,0.628,0.626,0.374
WGAN,8.47,RF,0.418,0.164,0.837,0.645,0.274,0.596,0.498,0.471
