oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.871,0.571,0.082,0.009,0.143,0.536,0.151,0.649
No,0,KNN,0.828,0.297,0.224,0.08,0.256,0.572,0.361,0.551
No,0,LR,0.871,0.522,0.245,0.034,0.333,0.605,0.391,0.534
No,0,DT,0.807,0.298,0.347,0.123,0.321,0.612,0.497,0.47
No,0,RF,0.877,0.565,0.265,0.031,0.361,0.617,0.417,0.52
No,0,LightGBM,0.877,0.556,0.306,0.037,0.395,0.635,0.465,0.491
No,0,Adaboost,0.845,0.333,0.184,0.056,0.237,0.564,0.308,0.579
No,0,GBDT,0.836,0.37,0.347,0.09,0.358,0.629,0.502,0.466
Random,0.03,SVM,0.697,0.233,0.571,0.284,0.331,0.644,0.636,0.364
Random,0.03,KNN,0.743,0.242,0.449,0.213,0.314,0.618,0.572,0.418
Random,0.03,LR,0.689,0.228,0.571,0.293,0.326,0.639,0.632,0.367
Random,0.03,DT,0.818,0.306,0.306,0.105,0.306,0.601,0.456,0.496
Random,0.03,RF,0.866,0.485,0.327,0.052,0.39,0.637,0.486,0.478
Random,0.03,LightGBM,0.866,0.486,0.367,0.059,0.419,0.654,0.528,0.449
Random,0.03,Adaboost,0.769,0.287,0.51,0.191,0.368,0.659,0.626,0.372
Random,0.03,GBDT,0.831,0.37,0.408,0.105,0.388,0.652,0.561,0.425
SMOTE,0.02,SVM,0.732,0.252,0.531,0.238,0.342,0.646,0.626,0.372
SMOTE,0.02,KNN,0.737,0.257,0.531,0.231,0.347,0.65,0.628,0.37
SMOTE,0.02,LR,0.665,0.216,0.592,0.324,0.317,0.634,0.631,0.369
SMOTE,0.02,DT,0.804,0.312,0.408,0.136,0.354,0.636,0.554,0.429
SMOTE,0.02,RF,0.863,0.475,0.388,0.065,0.427,0.661,0.548,0.435
SMOTE,0.02,LightGBM,0.861,0.457,0.327,0.059,0.381,0.634,0.485,0.478
SMOTE,0.02,Adaboost,0.823,0.34,0.367,0.108,0.353,0.63,0.52,0.454
SMOTE,0.02,GBDT,0.847,0.413,0.388,0.083,0.4,0.652,0.545,0.437
ADASYN,0.16,SVM,0.735,0.255,0.531,0.235,0.344,0.648,0.627,0.371
ADASYN,0.16,KNN,0.724,0.25,0.551,0.25,0.344,0.651,0.635,0.363
ADASYN,0.16,LR,0.678,0.22,0.571,0.306,0.318,0.633,0.627,0.372
ADASYN,0.16,DT,0.802,0.273,0.306,0.123,0.288,0.591,0.454,0.498
ADASYN,0.16,RF,0.863,0.474,0.367,0.062,0.414,0.653,0.528,0.449
ADASYN,0.16,LightGBM,0.869,0.5,0.245,0.037,0.329,0.604,0.39,0.535
ADASYN,0.16,Adaboost,0.823,0.361,0.449,0.12,0.4,0.664,0.595,0.399
ADASYN,0.16,GBDT,0.861,0.471,0.49,0.083,0.48,0.703,0.638,0.366
BorderlineSMOTE,0.03,SVM,0.761,0.278,0.51,0.201,0.36,0.655,0.623,0.374
BorderlineSMOTE,0.03,KNN,0.727,0.248,0.531,0.244,0.338,0.643,0.624,0.374
BorderlineSMOTE,0.03,LR,0.678,0.211,0.531,0.299,0.302,0.616,0.604,0.394
BorderlineSMOTE,0.03,DT,0.775,0.254,0.367,0.164,0.3,0.602,0.51,0.462
BorderlineSMOTE,0.03,RF,0.853,0.438,0.429,0.083,0.433,0.673,0.584,0.408
BorderlineSMOTE,0.03,LightGBM,0.879,0.556,0.408,0.049,0.471,0.679,0.571,0.42
BorderlineSMOTE,0.03,Adaboost,0.812,0.348,0.49,0.139,0.407,0.675,0.624,0.374
BorderlineSMOTE,0.03,GBDT,0.853,0.432,0.388,0.077,0.409,0.655,0.546,0.436
SVMSMOTE,0.18,SVM,0.828,0.34,0.327,0.096,0.333,0.615,0.48,0.481
SVMSMOTE,0.18,KNN,0.772,0.227,0.306,0.157,0.261,0.574,0.449,0.503
SVMSMOTE,0.18,LR,0.775,0.303,0.551,0.191,0.391,0.68,0.655,0.345
SVMSMOTE,0.18,DT,0.794,0.281,0.367,0.142,0.319,0.613,0.514,0.458
SVMSMOTE,0.18,RF,0.869,0.5,0.367,0.056,0.424,0.656,0.529,0.449
SVMSMOTE,0.18,LightGBM,0.855,0.414,0.245,0.052,0.308,0.596,0.389,0.535
SVMSMOTE,0.18,Adaboost,0.82,0.275,0.224,0.09,0.247,0.567,0.36,0.552
SVMSMOTE,0.18,GBDT,0.871,0.511,0.49,0.071,0.5,0.709,0.641,0.364
SMOTUNED,72.18,SVM,0.708,0.246,0.592,0.275,0.347,0.659,0.652,0.348
SMOTUNED,54.58,KNN,0.67,0.211,0.551,0.312,0.305,0.62,0.612,0.386
SMOTUNED,1099.57,LR,0.678,0.225,0.592,0.309,0.326,0.642,0.638,0.362
SMOTUNED,57.95,DT,0.721,0.228,0.469,0.241,0.307,0.614,0.58,0.412
SMOTUNED,198.11,RF,0.772,0.309,0.592,0.201,0.406,0.696,0.68,0.322
SMOTUNED,222.51,LightGBM,0.791,0.333,0.592,0.179,0.426,0.706,0.688,0.315
SMOTUNED,343.92,Adaboost,0.71,0.239,0.551,0.265,0.333,0.643,0.63,0.369
SMOTUNED,630.98,GBDT,0.767,0.333,0.776,0.235,0.466,0.77,0.77,0.23
DAZZLE,1133.4535989761353,SVM,0.869,0.0,0.0,0.0,0.0,0.5,0.0,0.707
DAZZLE,1133.4535989761353,KNN,0.836,0.269,0.143,0.059,0.187,0.542,0.248,0.608
DAZZLE,1133.4535989761353,LR,0.866,0.471,0.163,0.028,0.242,0.568,0.28,0.592
DAZZLE,1133.4535989761353,DT,0.812,0.316,0.367,0.12,0.34,0.623,0.518,0.455
DAZZLE,1133.4535989761353,RF,0.882,0.647,0.224,0.019,0.333,0.603,0.365,0.549
DAZZLE,1133.4535989761353,LightGBM,0.869,0.5,0.245,0.037,0.329,0.604,0.39,0.535
DAZZLE,1133.4535989761353,Adaboost,0.855,0.391,0.184,0.043,0.25,0.57,0.308,0.578
DAZZLE,1133.4535989761353,GBDT,0.85,0.4,0.286,0.065,0.333,0.61,0.438,0.507
WGAN,9.92,SVM,0.853,0.0,0.0,0.019,0.0,0.491,0.0,0.707
WGAN,9.92,KNN,0.413,0.157,0.796,0.645,0.263,0.575,0.491,0.478
WGAN,9.92,LR,0.59,0.198,0.694,0.426,0.308,0.634,0.628,0.371
WGAN,9.92,DT,0.239,0.138,0.918,0.864,0.241,0.527,0.237,0.614
WGAN,9.92,RF,0.137,0.132,1.0,0.994,0.233,0.503,0.012,0.703
WGAN,9.92,LightGBM,0.461,0.178,0.857,0.599,0.295,0.629,0.547,0.435
WGAN,9.92,Adaboost,0.7,0.146,0.265,0.235,0.188,0.515,0.394,0.545
WGAN,9.92,GBDT,0.169,0.134,0.98,0.954,0.236,0.513,0.088,0.675
RP,1.7287886142730713,SVM,0.716,0.248,0.571,0.262,0.346,0.655,0.644,0.355
RP,1.7287886142730713,KNN,0.748,0.286,0.612,0.231,0.39,0.69,0.682,0.319
RP,1.7287886142730713,LR,0.651,0.2,0.551,0.333,0.293,0.609,0.603,0.395
RP,1.7287886142730713,DT,0.807,0.333,0.469,0.142,0.39,0.664,0.607,0.388
RP,1.7287886142730713,RF,0.863,0.478,0.449,0.074,0.463,0.687,0.605,0.393
RP,1.7287886142730713,LightGBM,0.863,0.467,0.286,0.049,0.354,0.618,0.439,0.506
RP,1.7287886142730713,Adaboost,0.839,0.378,0.347,0.086,0.362,0.63,0.503,0.466
RP,1.7287886142730713,GBDT,0.839,0.383,0.367,0.09,0.375,0.639,0.523,0.452
Howso,130.93985390663147,SVM,0.635,0.216,0.673,0.37,0.327,0.652,0.651,0.349
Howso,130.93985390663147,KNN,0.673,0.226,0.612,0.318,0.33,0.647,0.645,0.355
Howso,130.93985390663147,LR,0.646,0.221,0.673,0.358,0.333,0.658,0.657,0.343
Howso,130.93985390663147,DT,0.662,0.219,0.612,0.33,0.323,0.641,0.64,0.36
Howso,130.93985390663147,RF,0.732,0.296,0.755,0.272,0.425,0.742,0.742,0.259
Howso,130.93985390663147,LightGBM,0.743,0.303,0.735,0.256,0.429,0.739,0.739,0.261
Howso,130.93985390663147,Adaboost,0.694,0.248,0.653,0.299,0.36,0.677,0.676,0.324
Howso,130.93985390663147,GBDT,0.732,0.286,0.694,0.262,0.405,0.716,0.715,0.285
DS,0.35955023765563965,SVM,0.874,1.0,0.041,0.0,0.078,0.52,0.078,0.678
DS,0.35955023765563965,KNN,0.839,0.31,0.184,0.062,0.231,0.561,0.307,0.579
DS,0.35955023765563965,LR,0.874,0.55,0.224,0.028,0.319,0.598,0.365,0.549
DS,0.35955023765563965,DT,0.818,0.321,0.347,0.111,0.333,0.618,0.499,0.468
DS,0.35955023765563965,RF,0.882,0.632,0.245,0.022,0.353,0.612,0.392,0.534
DS,0.35955023765563965,LightGBM,0.869,0.5,0.286,0.043,0.364,0.621,0.44,0.506
DS,0.35955023765563965,Adaboost,0.845,0.304,0.143,0.049,0.194,0.547,0.248,0.607
DS,0.35955023765563965,GBDT,0.842,0.381,0.327,0.08,0.352,0.623,0.482,0.48
SDV_GC,6.802375078201294,SVM,0.861,0.385,0.102,0.025,0.161,0.539,0.185,0.635
SDV_GC,6.802375078201294,KNN,0.834,0.314,0.224,0.074,0.262,0.575,0.361,0.551
SDV_GC,6.802375078201294,LR,0.863,0.45,0.184,0.034,0.261,0.575,0.309,0.578
SDV_GC,6.802375078201294,DT,0.815,0.315,0.347,0.114,0.33,0.616,0.499,0.469
SDV_GC,6.802375078201294,RF,0.871,0.526,0.204,0.028,0.294,0.588,0.337,0.563
SDV_GC,6.802375078201294,LightGBM,0.869,0.5,0.245,0.037,0.329,0.604,0.39,0.535
SDV_GC,6.802375078201294,Adaboost,0.863,0.462,0.245,0.043,0.32,0.601,0.39,0.535
SDV_GC,6.802375078201294,GBDT,0.839,0.378,0.347,0.086,0.362,0.63,0.503,0.466
SDV_GAN,131.28265142440796,SVM,0.861,0.385,0.102,0.025,0.161,0.539,0.185,0.635
SDV_GAN,131.28265142440796,KNN,0.828,0.286,0.204,0.077,0.238,0.563,0.334,0.565
SDV_GAN,131.28265142440796,LR,0.863,0.464,0.265,0.046,0.338,0.61,0.415,0.521
SDV_GAN,131.28265142440796,DT,0.788,0.241,0.286,0.136,0.262,0.575,0.429,0.514
SDV_GAN,131.28265142440796,RF,0.871,0.52,0.265,0.037,0.351,0.614,0.416,0.52
SDV_GAN,131.28265142440796,LightGBM,0.871,0.519,0.286,0.04,0.368,0.623,0.44,0.506
SDV_GAN,131.28265142440796,Adaboost,0.845,0.345,0.204,0.059,0.256,0.573,0.335,0.564
SDV_GAN,131.28265142440796,GBDT,0.853,0.417,0.306,0.065,0.353,0.621,0.461,0.493
