oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.86,0.0,0.0,0.0,0.0,0.5,0.0,0.707
No,0,KNN,0.88,0.65,0.31,0.027,0.419,0.641,0.47,0.489
No,0,LR,0.88,0.714,0.238,0.016,0.357,0.611,0.383,0.539
No,0,DT,0.793,0.3,0.357,0.136,0.326,0.611,0.505,0.465
No,0,RF,0.87,0.714,0.119,0.008,0.204,0.556,0.213,0.623
No,0,LightGBM,0.863,0.538,0.167,0.023,0.255,0.572,0.285,0.589
No,0,Adaboost,0.853,0.458,0.262,0.05,0.333,0.606,0.411,0.523
No,0,GBDT,0.85,0.444,0.286,0.058,0.348,0.614,0.438,0.507
Random,0.01,SVM,0.78,0.346,0.643,0.198,0.45,0.723,0.714,0.289
Random,0.01,KNN,0.783,0.333,0.548,0.178,0.414,0.685,0.657,0.344
Random,0.01,LR,0.747,0.315,0.69,0.244,0.433,0.723,0.722,0.279
Random,0.01,DT,0.833,0.4,0.381,0.093,0.39,0.644,0.537,0.443
Random,0.01,RF,0.87,0.571,0.286,0.035,0.381,0.625,0.441,0.506
Random,0.01,LightGBM,0.85,0.44,0.262,0.054,0.328,0.604,0.41,0.523
Random,0.01,Adaboost,0.81,0.368,0.5,0.14,0.424,0.68,0.632,0.367
Random,0.01,GBDT,0.83,0.345,0.238,0.074,0.282,0.582,0.379,0.541
SMOTE,0.02,SVM,0.81,0.385,0.595,0.155,0.467,0.72,0.698,0.306
SMOTE,0.02,KNN,0.757,0.313,0.619,0.221,0.416,0.699,0.69,0.311
SMOTE,0.02,LR,0.74,0.291,0.595,0.236,0.391,0.679,0.669,0.331
SMOTE,0.02,DT,0.773,0.297,0.452,0.174,0.358,0.639,0.584,0.406
SMOTE,0.02,RF,0.877,0.576,0.452,0.054,0.507,0.699,0.612,0.389
SMOTE,0.02,LightGBM,0.877,0.632,0.286,0.027,0.393,0.629,0.442,0.505
SMOTE,0.02,Adaboost,0.84,0.429,0.429,0.093,0.429,0.668,0.582,0.409
SMOTE,0.02,GBDT,0.85,0.455,0.357,0.07,0.4,0.644,0.516,0.457
ADASYN,0.02,SVM,0.76,0.303,0.548,0.205,0.39,0.671,0.648,0.351
ADASYN,0.02,KNN,0.753,0.31,0.619,0.225,0.413,0.697,0.688,0.313
ADASYN,0.02,LR,0.727,0.292,0.667,0.264,0.406,0.702,0.7,0.3
ADASYN,0.02,DT,0.743,0.267,0.476,0.213,0.342,0.632,0.593,0.4
ADASYN,0.02,RF,0.877,0.576,0.452,0.054,0.507,0.699,0.612,0.389
ADASYN,0.02,LightGBM,0.877,0.6,0.357,0.039,0.448,0.659,0.521,0.455
ADASYN,0.02,Adaboost,0.827,0.404,0.5,0.12,0.447,0.69,0.638,0.364
ADASYN,0.02,GBDT,0.847,0.441,0.357,0.074,0.395,0.642,0.516,0.458
BorderlineSMOTE,0.02,SVM,0.793,0.357,0.595,0.174,0.446,0.71,0.692,0.312
