oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.857,0.333,0.024,0.008,0.044,0.508,0.047,0.69
No,0,KNN,0.837,0.36,0.214,0.062,0.269,0.576,0.349,0.557
No,0,LR,0.883,0.733,0.262,0.016,0.386,0.623,0.414,0.522
No,0,DT,0.783,0.265,0.31,0.14,0.286,0.585,0.455,0.498
No,0,RF,0.86,0.5,0.167,0.027,0.25,0.57,0.285,0.59
No,0,LightGBM,0.863,0.538,0.167,0.023,0.255,0.572,0.285,0.589
No,0,Adaboost,0.857,0.478,0.262,0.047,0.338,0.608,0.411,0.523
No,0,GBDT,0.827,0.321,0.214,0.074,0.257,0.57,0.348,0.558
Random,0.01,SVM,0.79,0.316,0.429,0.151,0.364,0.639,0.57,0.418
Random,0.01,KNN,0.79,0.302,0.381,0.143,0.337,0.619,0.527,0.449
Random,0.01,LR,0.743,0.289,0.571,0.229,0.384,0.671,0.656,0.343
Random,0.01,DT,0.833,0.382,0.31,0.081,0.342,0.614,0.463,0.492
Random,0.01,RF,0.853,0.462,0.286,0.054,0.353,0.616,0.439,0.507
Random,0.01,LightGBM,0.85,0.429,0.214,0.047,0.286,0.584,0.35,0.557
Random,0.01,Adaboost,0.813,0.375,0.5,0.136,0.429,0.682,0.634,0.366
Random,0.01,GBDT,0.853,0.462,0.286,0.054,0.353,0.616,0.439,0.507
SMOTE,0.03,SVM,0.78,0.312,0.476,0.171,0.377,0.653,0.605,0.39
SMOTE,0.03,KNN,0.737,0.26,0.476,0.221,0.336,0.628,0.591,0.402
SMOTE,0.03,LR,0.747,0.293,0.571,0.225,0.387,0.673,0.658,0.342
SMOTE,0.03,DT,0.78,0.278,0.357,0.151,0.313,0.603,0.503,0.467
SMOTE,0.03,RF,0.82,0.357,0.357,0.105,0.357,0.626,0.511,0.461
SMOTE,0.03,LightGBM,0.853,0.464,0.31,0.058,0.371,0.626,0.466,0.49
SMOTE,0.03,Adaboost,0.807,0.333,0.381,0.124,0.356,0.628,0.531,0.446
SMOTE,0.03,GBDT,0.82,0.35,0.333,0.101,0.341,0.616,0.486,0.477
ADASYN,0.02,SVM,0.77,0.299,0.476,0.182,0.367,0.647,0.602,0.392
ADASYN,0.02,KNN,0.747,0.264,0.452,0.205,0.333,0.623,0.577,0.414
ADASYN,0.02,LR,0.73,0.276,0.571,0.244,0.372,0.664,0.651,0.349
ADASYN,0.02,DT,0.783,0.305,0.429,0.159,0.356,0.635,0.568,0.419
ADASYN,0.02,RF,0.833,0.395,0.357,0.089,0.375,0.634,0.513,0.459
ADASYN,0.02,LightGBM,0.857,0.48,0.286,0.05,0.358,0.618,0.439,0.506
ADASYN,0.02,Adaboost,0.837,0.422,0.452,0.101,0.437,0.676,0.602,0.394
ADASYN,0.02,GBDT,0.85,0.457,0.381,0.074,0.416,0.654,0.54,0.441
BorderlineSMOTE,0.02,SVM,0.787,0.328,0.5,0.167,0.396,0.667,0.625,0.373
BorderlineSMOTE,0.02,KNN,0.75,0.28,0.5,0.209,0.359,0.645,0.613,0.383
BorderlineSMOTE,0.02,LR,0.767,0.316,0.571,0.202,0.407,0.685,0.666,0.335
BorderlineSMOTE,0.02,DT,0.807,0.346,0.429,0.132,0.383,0.648,0.574,0.415
BorderlineSMOTE,0.02,RF,0.843,0.442,0.452,0.093,0.447,0.68,0.604,0.393
BorderlineSMOTE,0.02,LightGBM,0.847,0.433,0.31,0.066,0.361,0.622,0.465,0.49
BorderlineSMOTE,0.02,Adaboost,0.81,0.353,0.429,0.128,0.387,0.65,0.575,0.414
BorderlineSMOTE,0.02,GBDT,0.847,0.438,0.333,0.07,0.378,0.632,0.491,0.474
SVMSMOTE,0.08,SVM,0.87,0.6,0.214,0.023,0.316,0.596,0.351,0.556
SVMSMOTE,0.08,KNN,0.79,0.294,0.357,0.14,0.323,0.609,0.505,0.465
SVMSMOTE,0.08,LR,0.843,0.432,0.381,0.081,0.405,0.65,0.539,0.442
SVMSMOTE,0.08,DT,0.763,0.191,0.214,0.147,0.202,0.533,0.343,0.565
SVMSMOTE,0.08,RF,0.863,0.516,0.381,0.058,0.438,0.661,0.542,0.44
SVMSMOTE,0.08,LightGBM,0.867,0.556,0.238,0.031,0.333,0.604,0.382,0.539
SVMSMOTE,0.08,Adaboost,0.847,0.441,0.357,0.074,0.395,0.642,0.516,0.458
SVMSMOTE,0.08,GBDT,0.843,0.436,0.405,0.085,0.42,0.66,0.561,0.425
SMOTUNED,85.49,SVM,0.773,0.324,0.571,0.194,0.414,0.689,0.669,0.333
SMOTUNED,59.02,KNN,0.707,0.239,0.5,0.26,0.323,0.62,0.597,0.398
SMOTUNED,1851.18,LR,0.73,0.247,0.452,0.225,0.319,0.614,0.571,0.419
SMOTUNED,82.27,DT,0.657,0.235,0.643,0.341,0.344,0.651,0.651,0.349
SMOTUNED,345.06,RF,0.767,0.329,0.643,0.213,0.435,0.715,0.708,0.294
SMOTUNED,356.3,LightGBM,0.773,0.329,0.595,0.198,0.424,0.699,0.683,0.319
SMOTUNED,702.81,Adaboost,0.733,0.268,0.524,0.233,0.355,0.646,0.623,0.375
SMOTUNED,1087.52,GBDT,0.76,0.308,0.571,0.209,0.4,0.681,0.663,0.337
DAZZLE,1725.9164259433746,SVM,0.88,0.65,0.31,0.027,0.419,0.641,0.47,0.489
DAZZLE,1725.9164259433746,KNN,0.84,0.393,0.262,0.066,0.314,0.598,0.409,0.524
DAZZLE,1725.9164259433746,LR,0.85,0.465,0.476,0.089,0.471,0.694,0.625,0.376
DAZZLE,1725.9164259433746,DT,0.773,0.268,0.357,0.159,0.306,0.599,0.501,0.468
DAZZLE,1725.9164259433746,RF,0.853,0.444,0.19,0.039,0.267,0.576,0.318,0.573
DAZZLE,1725.9164259433746,LightGBM,0.86,0.5,0.214,0.035,0.3,0.59,0.351,0.556
DAZZLE,1725.9164259433746,Adaboost,0.88,0.636,0.333,0.031,0.437,0.651,0.496,0.472
DAZZLE,1725.9164259433746,GBDT,0.85,0.448,0.31,0.062,0.366,0.624,0.465,0.49
