oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.86,0.5,0.024,0.004,0.045,0.51,0.047,0.69
No,0,KNN,0.84,0.333,0.143,0.047,0.2,0.548,0.248,0.607
No,0,LR,0.857,0.462,0.143,0.027,0.218,0.558,0.249,0.606
No,0,DT,0.753,0.136,0.143,0.147,0.14,0.498,0.245,0.615
No,0,RF,0.863,0.556,0.119,0.016,0.196,0.552,0.212,0.623
No,0,LightGBM,0.86,0.5,0.119,0.019,0.192,0.55,0.212,0.623
No,0,Adaboost,0.823,0.238,0.119,0.062,0.159,0.529,0.211,0.624
No,0,GBDT,0.833,0.318,0.167,0.058,0.219,0.554,0.283,0.591
Random,0.01,SVM,0.75,0.254,0.405,0.194,0.312,0.605,0.539,0.443
Random,0.01,KNN,0.767,0.231,0.286,0.155,0.255,0.565,0.427,0.517
Random,0.01,LR,0.72,0.25,0.5,0.244,0.333,0.628,0.602,0.393
Random,0.01,DT,0.8,0.263,0.238,0.109,0.25,0.565,0.376,0.544
Random,0.01,RF,0.863,0.533,0.19,0.027,0.281,0.582,0.319,0.573
Random,0.01,LightGBM,0.853,0.45,0.214,0.043,0.29,0.586,0.35,0.556
Random,0.01,Adaboost,0.8,0.32,0.381,0.132,0.348,0.625,0.53,0.448
Random,0.01,GBDT,0.83,0.333,0.214,0.07,0.261,0.572,0.348,0.558
SMOTE,0.02,SVM,0.76,0.25,0.357,0.174,0.294,0.591,0.499,0.471
SMOTE,0.02,KNN,0.743,0.231,0.357,0.194,0.28,0.582,0.495,0.475
SMOTE,0.02,LR,0.73,0.271,0.548,0.24,0.362,0.654,0.636,0.362
SMOTE,0.02,DT,0.757,0.228,0.31,0.171,0.263,0.569,0.451,0.503
SMOTE,0.02,RF,0.843,0.391,0.214,0.054,0.277,0.58,0.349,0.557
SMOTE,0.02,LightGBM,0.837,0.348,0.19,0.058,0.246,0.566,0.317,0.574
SMOTE,0.02,Adaboost,0.8,0.295,0.31,0.12,0.302,0.595,0.458,0.496
SMOTE,0.02,GBDT,0.823,0.323,0.238,0.081,0.274,0.578,0.378,0.542
ADASYN,0.02,SVM,0.763,0.246,0.333,0.167,0.283,0.583,0.476,0.486
ADASYN,0.02,KNN,0.737,0.215,0.333,0.198,0.262,0.568,0.471,0.492
ADASYN,0.02,LR,0.74,0.3,0.643,0.244,0.409,0.699,0.695,0.306
ADASYN,0.02,DT,0.757,0.228,0.31,0.171,0.263,0.569,0.451,0.503
ADASYN,0.02,RF,0.84,0.385,0.238,0.062,0.294,0.588,0.38,0.541
ADASYN,0.02,LightGBM,0.83,0.32,0.19,0.066,0.239,0.562,0.316,0.574
ADASYN,0.02,Adaboost,0.823,0.366,0.357,0.101,0.361,0.628,0.511,0.46
ADASYN,0.02,GBDT,0.823,0.296,0.19,0.074,0.232,0.558,0.316,0.575
BorderlineSMOTE,0.02,SVM,0.763,0.254,0.357,0.171,0.297,0.593,0.499,0.47
BorderlineSMOTE,0.02,KNN,0.743,0.254,0.429,0.205,0.319,0.612,0.557,0.429
BorderlineSMOTE,0.02,LR,0.74,0.263,0.476,0.217,0.339,0.63,0.592,0.401
BorderlineSMOTE,0.02,DT,0.773,0.229,0.262,0.143,0.244,0.559,0.401,0.532
BorderlineSMOTE,0.02,RF,0.85,0.429,0.214,0.047,0.286,0.584,0.35,0.557
BorderlineSMOTE,0.02,LightGBM,0.847,0.4,0.19,0.047,0.258,0.572,0.318,0.573
BorderlineSMOTE,0.02,Adaboost,0.807,0.3,0.286,0.109,0.293,0.589,0.433,0.511
BorderlineSMOTE,0.02,GBDT,0.827,0.344,0.262,0.081,0.297,0.59,0.408,0.525
SVMSMOTE,0.06,SVM,0.813,0.333,0.333,0.109,0.333,0.612,0.485,0.478
SVMSMOTE,0.06,KNN,0.767,0.267,0.381,0.171,0.314,0.605,0.522,0.454
SVMSMOTE,0.06,LR,0.79,0.316,0.429,0.151,0.364,0.639,0.57,0.418
SVMSMOTE,0.06,DT,0.817,0.324,0.286,0.097,0.304,0.594,0.434,0.51
SVMSMOTE,0.06,RF,0.857,0.48,0.286,0.05,0.358,0.618,0.439,0.506
SVMSMOTE,0.06,LightGBM,0.833,0.346,0.214,0.066,0.265,0.574,0.349,0.558
SVMSMOTE,0.06,Adaboost,0.8,0.275,0.262,0.112,0.268,0.575,0.404,0.528
SVMSMOTE,0.06,GBDT,0.827,0.292,0.167,0.066,0.212,0.55,0.283,0.591
SMOTUNED,65.02,SVM,0.763,0.301,0.524,0.198,0.383,0.663,0.634,0.365
SMOTUNED,45.4,KNN,0.71,0.229,0.452,0.248,0.304,0.602,0.565,0.425
SMOTUNED,1231.55,LR,0.707,0.26,0.595,0.275,0.362,0.66,0.654,0.346
SMOTUNED,61.04,DT,0.753,0.305,0.595,0.221,0.403,0.687,0.675,0.326
SMOTUNED,251.88,RF,0.767,0.325,0.619,0.209,0.426,0.705,0.694,0.307
SMOTUNED,199.75,LightGBM,0.737,0.272,0.524,0.229,0.358,0.648,0.624,0.374
SMOTUNED,432.01,Adaboost,0.677,0.191,0.405,0.279,0.26,0.563,0.518,0.465
SMOTUNED,772.11,GBDT,0.72,0.256,0.524,0.248,0.344,0.638,0.617,0.38
DAZZLE,723.6710546016693,SVM,0.857,0.476,0.238,0.043,0.317,0.598,0.381,0.54
DAZZLE,723.6710546016693,KNN,0.85,0.4,0.143,0.035,0.211,0.554,0.249,0.607
DAZZLE,723.6710546016693,LR,0.8,0.304,0.333,0.124,0.318,0.605,0.483,0.479
DAZZLE,723.6710546016693,DT,0.78,0.239,0.262,0.136,0.25,0.563,0.402,0.531
DAZZLE,723.6710546016693,RF,0.857,0.462,0.143,0.027,0.218,0.558,0.249,0.606
DAZZLE,723.6710546016693,LightGBM,0.843,0.308,0.095,0.035,0.145,0.53,0.173,0.64
DAZZLE,723.6710546016693,Adaboost,0.837,0.37,0.238,0.066,0.29,0.586,0.379,0.541
DAZZLE,723.6710546016693,GBDT,0.82,0.286,0.19,0.078,0.229,0.556,0.316,0.575
WGAN,9.08,SVM,0.86,0.0,0.0,0.0,0.0,0.5,0.0,0.707
WGAN,9.08,KNN,0.217,0.147,0.952,0.903,0.254,0.525,0.176,0.639
WGAN,9.08,LR,0.143,0.14,1.0,0.996,0.246,0.502,0.008,0.704
WGAN,9.08,DT,0.14,0.14,1.0,1.0,0.246,0.5,0.0,0.707
WGAN,9.08,RF,0.147,0.141,1.0,0.992,0.247,0.504,0.015,0.702
WGAN,9.08,LightGBM,0.153,0.142,1.0,0.984,0.249,0.508,0.031,0.696
WGAN,9.08,Adaboost,0.677,0.113,0.19,0.244,0.142,0.473,0.304,0.598
WGAN,9.08,GBDT,0.14,0.14,1.0,1.0,0.246,0.5,0.0,0.707
RP,1.4514319896697998,SVM,0.75,0.268,0.452,0.202,0.336,0.625,0.578,0.413
RP,1.4514319896697998,KNN,0.737,0.247,0.429,0.213,0.313,0.608,0.555,0.431
RP,1.4514319896697998,LR,0.737,0.287,0.595,0.24,0.388,0.677,0.667,0.333
RP,1.4514319896697998,DT,0.767,0.267,0.381,0.171,0.314,0.605,0.522,0.454
RP,1.4514319896697998,RF,0.84,0.406,0.31,0.074,0.351,0.618,0.464,0.491
RP,1.4514319896697998,LightGBM,0.857,0.476,0.238,0.043,0.317,0.598,0.381,0.54
RP,1.4514319896697998,Adaboost,0.83,0.371,0.31,0.085,0.338,0.612,0.463,0.492
RP,1.4514319896697998,GBDT,0.83,0.364,0.286,0.081,0.32,0.602,0.436,0.508
Howso,182.8496811389923,SVM,0.713,0.266,0.595,0.267,0.368,0.664,0.657,0.343
Howso,182.8496811389923,KNN,0.713,0.238,0.476,0.248,0.317,0.614,0.583,0.41
Howso,182.8496811389923,LR,0.69,0.27,0.714,0.314,0.392,0.7,0.7,0.3
Howso,182.8496811389923,DT,0.697,0.253,0.595,0.287,0.355,0.654,0.649,0.351
Howso,182.8496811389923,RF,0.74,0.3,0.643,0.244,0.409,0.699,0.695,0.306
Howso,182.8496811389923,LightGBM,0.763,0.329,0.667,0.221,0.441,0.723,0.718,0.283
Howso,182.8496811389923,Adaboost,0.727,0.256,0.5,0.236,0.339,0.632,0.604,0.391
Howso,182.8496811389923,GBDT,0.733,0.289,0.619,0.248,0.394,0.685,0.679,0.321
DS,0.6840002536773682,SVM,0.867,0.75,0.071,0.004,0.13,0.534,0.133,0.657
DS,0.6840002536773682,KNN,0.837,0.267,0.095,0.043,0.14,0.526,0.173,0.64
DS,0.6840002536773682,LR,0.863,0.545,0.143,0.019,0.226,0.562,0.249,0.606
DS,0.6840002536773682,DT,0.763,0.178,0.19,0.143,0.184,0.524,0.312,0.581
DS,0.6840002536773682,RF,0.863,0.6,0.071,0.008,0.128,0.532,0.133,0.657
DS,0.6840002536773682,LightGBM,0.86,0.5,0.119,0.019,0.192,0.55,0.212,0.623
DS,0.6840002536773682,Adaboost,0.85,0.421,0.19,0.043,0.262,0.574,0.318,0.573
DS,0.6840002536773682,GBDT,0.807,0.214,0.143,0.085,0.171,0.529,0.247,0.609
SDV_GC,9.033214330673218,SVM,0.86,0.5,0.119,0.019,0.192,0.55,0.212,0.623
SDV_GC,9.033214330673218,KNN,0.83,0.235,0.095,0.05,0.136,0.522,0.173,0.641
SDV_GC,9.033214330673218,LR,0.86,0.5,0.167,0.027,0.25,0.57,0.285,0.59
SDV_GC,9.033214330673218,DT,0.763,0.163,0.167,0.14,0.165,0.514,0.279,0.597
SDV_GC,9.033214330673218,RF,0.86,0.5,0.119,0.019,0.192,0.55,0.212,0.623
SDV_GC,9.033214330673218,LightGBM,0.86,0.5,0.119,0.019,0.192,0.55,0.212,0.623
SDV_GC,9.033214330673218,Adaboost,0.857,0.474,0.214,0.039,0.295,0.588,0.35,0.556
SDV_GC,9.033214330673218,GBDT,0.84,0.364,0.19,0.054,0.25,0.568,0.317,0.574
SDV_GAN,73.43641710281372,SVM,0.853,0.417,0.119,0.027,0.185,0.546,0.212,0.623
SDV_GAN,73.43641710281372,KNN,0.837,0.267,0.095,0.043,0.14,0.526,0.173,0.64
SDV_GAN,73.43641710281372,LR,0.857,0.462,0.143,0.027,0.218,0.558,0.249,0.606
SDV_GAN,73.43641710281372,DT,0.8,0.286,0.286,0.116,0.286,0.585,0.432,0.512
SDV_GAN,73.43641710281372,RF,0.853,0.4,0.095,0.023,0.154,0.536,0.174,0.64
SDV_GAN,73.43641710281372,LightGBM,0.843,0.333,0.119,0.039,0.175,0.54,0.212,0.624
SDV_GAN,73.43641710281372,Adaboost,0.843,0.381,0.19,0.05,0.254,0.57,0.317,0.574
SDV_GAN,73.43641710281372,GBDT,0.83,0.333,0.214,0.07,0.261,0.572,0.348,0.558
