oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.853,0.25,0.024,0.012,0.043,0.506,0.046,0.69
No,0,KNN,0.86,0.5,0.214,0.035,0.3,0.59,0.351,0.556
No,0,LR,0.87,0.615,0.19,0.019,0.291,0.586,0.319,0.573
No,0,DT,0.82,0.38,0.452,0.12,0.413,0.666,0.598,0.396
No,0,RF,0.87,0.714,0.119,0.008,0.204,0.556,0.213,0.623
No,0,LightGBM,0.873,0.667,0.19,0.016,0.296,0.587,0.319,0.573
No,0,Adaboost,0.843,0.391,0.214,0.054,0.277,0.58,0.349,0.557
No,0,GBDT,0.857,0.483,0.333,0.058,0.394,0.638,0.492,0.473
Random,0.01,SVM,0.73,0.276,0.571,0.244,0.372,0.664,0.651,0.349
Random,0.01,KNN,0.78,0.312,0.476,0.171,0.377,0.653,0.605,0.39
Random,0.01,LR,0.753,0.314,0.643,0.229,0.422,0.707,0.701,0.3
Random,0.01,DT,0.793,0.237,0.214,0.112,0.225,0.551,0.345,0.561
Random,0.01,RF,0.863,0.538,0.167,0.023,0.255,0.572,0.285,0.589
Random,0.01,LightGBM,0.857,0.478,0.262,0.047,0.338,0.608,0.411,0.523
Random,0.01,Adaboost,0.793,0.344,0.524,0.163,0.415,0.681,0.644,0.356
Random,0.01,GBDT,0.813,0.294,0.238,0.093,0.263,0.573,0.377,0.543
SMOTE,0.02,SVM,0.76,0.273,0.429,0.186,0.333,0.621,0.561,0.425
SMOTE,0.02,KNN,0.753,0.3,0.571,0.217,0.393,0.677,0.661,0.34
SMOTE,0.02,LR,0.747,0.311,0.667,0.24,0.424,0.713,0.71,0.291
SMOTE,0.02,DT,0.78,0.286,0.381,0.155,0.327,0.613,0.525,0.451
SMOTE,0.02,RF,0.86,0.5,0.238,0.039,0.323,0.6,0.382,0.539
SMOTE,0.02,LightGBM,0.853,0.444,0.19,0.039,0.267,0.576,0.318,0.573
SMOTE,0.02,Adaboost,0.833,0.413,0.452,0.105,0.432,0.674,0.601,0.394
SMOTE,0.02,GBDT,0.817,0.303,0.238,0.089,0.267,0.574,0.378,0.542
ADASYN,0.02,SVM,0.727,0.237,0.429,0.225,0.305,0.602,0.552,0.434
ADASYN,0.02,KNN,0.76,0.312,0.595,0.213,0.41,0.691,0.678,0.323
