oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.86,0.5,0.024,0.004,0.045,0.51,0.047,0.69
No,0,KNN,0.847,0.389,0.167,0.043,0.233,0.562,0.284,0.59
No,0,LR,0.86,0.5,0.19,0.031,0.276,0.58,0.318,0.573
No,0,DT,0.82,0.324,0.262,0.089,0.289,0.586,0.407,0.526
No,0,RF,0.867,0.6,0.143,0.016,0.231,0.564,0.25,0.606
No,0,LightGBM,0.853,0.429,0.143,0.031,0.214,0.556,0.249,0.606
No,0,Adaboost,0.853,0.438,0.167,0.035,0.241,0.566,0.284,0.59
No,0,GBDT,0.83,0.345,0.238,0.074,0.282,0.582,0.379,0.541
Random,0.01,SVM,0.77,0.299,0.476,0.182,0.367,0.647,0.602,0.392
Random,0.01,KNN,0.79,0.333,0.5,0.163,0.4,0.669,0.626,0.372
Random,0.01,LR,0.7,0.255,0.595,0.283,0.357,0.656,0.65,0.349
Random,0.01,DT,0.803,0.302,0.31,0.116,0.306,0.597,0.458,0.495
Random,0.01,RF,0.85,0.4,0.143,0.035,0.211,0.554,0.249,0.607
Random,0.01,LightGBM,0.85,0.44,0.262,0.054,0.328,0.604,0.41,0.523
Random,0.01,Adaboost,0.777,0.288,0.405,0.163,0.337,0.621,0.546,0.436
Random,0.01,GBDT,0.833,0.346,0.214,0.066,0.265,0.574,0.349,0.558
SMOTE,0.02,SVM,0.77,0.279,0.405,0.171,0.33,0.617,0.544,0.438
SMOTE,0.02,KNN,0.773,0.319,0.548,0.19,0.404,0.679,0.653,0.347
SMOTE,0.02,LR,0.71,0.258,0.571,0.267,0.356,0.652,0.642,0.357
SMOTE,0.02,DT,0.753,0.204,0.262,0.167,0.229,0.548,0.399,0.535
SMOTE,0.02,RF,0.843,0.419,0.31,0.07,0.356,0.62,0.464,0.491
SMOTE,0.02,LightGBM,0.84,0.375,0.214,0.058,0.273,0.578,0.349,0.557
SMOTE,0.02,Adaboost,0.827,0.381,0.381,0.101,0.381,0.64,0.535,0.443
SMOTE,0.02,GBDT,0.823,0.343,0.286,0.089,0.312,0.598,0.435,0.509
ADASYN,0.02,SVM,0.773,0.297,0.452,0.174,0.358,0.639,0.584,0.406
ADASYN,0.02,KNN,0.75,0.301,0.595,0.225,0.4,0.685,0.673,0.327
ADASYN,0.02,LR,0.7,0.26,0.619,0.287,0.366,0.666,0.663,0.337
ADASYN,0.02,DT,0.72,0.161,0.238,0.202,0.192,0.518,0.367,0.557
ADASYN,0.02,RF,0.84,0.406,0.31,0.074,0.351,0.618,0.464,0.491
ADASYN,0.02,LightGBM,0.847,0.409,0.214,0.05,0.281,0.582,0.35,0.557
ADASYN,0.02,Adaboost,0.79,0.256,0.262,0.124,0.259,0.569,0.403,0.529
ADASYN,0.02,GBDT,0.803,0.242,0.19,0.097,0.213,0.547,0.315,0.577
BorderlineSMOTE,0.02,SVM,0.753,0.25,0.381,0.186,0.302,0.597,0.519,0.457
BorderlineSMOTE,0.02,KNN,0.753,0.284,0.5,0.205,0.362,0.647,0.614,0.382
BorderlineSMOTE,0.02,LR,0.723,0.259,0.524,0.244,0.346,0.64,0.619,0.378
BorderlineSMOTE,0.02,DT,0.757,0.208,0.262,0.163,0.232,0.55,0.399,0.534
BorderlineSMOTE,0.02,RF,0.833,0.357,0.238,0.07,0.286,0.584,0.379,0.541
BorderlineSMOTE,0.02,LightGBM,0.863,0.522,0.286,0.043,0.369,0.622,0.44,0.506
BorderlineSMOTE,0.02,Adaboost,0.8,0.295,0.31,0.12,0.302,0.595,0.458,0.496
BorderlineSMOTE,0.02,GBDT,0.793,0.262,0.262,0.12,0.262,0.571,0.404,0.529
SVMSMOTE,0.08,SVM,0.75,0.211,0.286,0.174,0.242,0.556,0.425,0.52
SVMSMOTE,0.08,KNN,0.78,0.306,0.452,0.167,0.365,0.643,0.586,0.405
SVMSMOTE,0.08,LR,0.74,0.243,0.405,0.205,0.304,0.6,0.536,0.445
SVMSMOTE,0.08,DT,0.793,0.292,0.333,0.132,0.311,0.601,0.482,0.481
SVMSMOTE,0.08,RF,0.83,0.355,0.262,0.078,0.301,0.592,0.408,0.525
SVMSMOTE,0.08,LightGBM,0.85,0.435,0.238,0.05,0.308,0.594,0.381,0.54
SVMSMOTE,0.08,Adaboost,0.823,0.378,0.405,0.109,0.391,0.648,0.557,0.428
SVMSMOTE,0.08,GBDT,0.823,0.343,0.286,0.089,0.312,0.598,0.435,0.509
SMOTUNED,86.74,SVM,0.707,0.233,0.476,0.256,0.312,0.61,0.581,0.412
SMOTUNED,56.96,KNN,0.747,0.307,0.643,0.236,0.415,0.703,0.698,0.303
SMOTUNED,1614.23,LR,0.693,0.26,0.643,0.298,0.37,0.672,0.671,0.329
SMOTUNED,92.69,DT,0.693,0.255,0.619,0.295,0.361,0.662,0.659,0.341
SMOTUNED,352.99,RF,0.757,0.309,0.595,0.217,0.407,0.689,0.676,0.325
SMOTUNED,330.81,LightGBM,0.717,0.258,0.548,0.256,0.351,0.646,0.631,0.367
SMOTUNED,587.95,Adaboost,0.72,0.267,0.571,0.256,0.364,0.658,0.646,0.353
SMOTUNED,1176.83,GBDT,0.73,0.276,0.571,0.244,0.372,0.664,0.651,0.349
DAZZLE,1477.176115512848,SVM,0.86,0.5,0.143,0.023,0.222,0.56,0.249,0.606
DAZZLE,1477.176115512848,KNN,0.837,0.316,0.143,0.05,0.197,0.546,0.248,0.607
DAZZLE,1477.176115512848,LR,0.847,0.429,0.286,0.062,0.343,0.612,0.438,0.507
DAZZLE,1477.176115512848,DT,0.813,0.294,0.238,0.093,0.263,0.573,0.377,0.543
DAZZLE,1477.176115512848,RF,0.87,0.615,0.19,0.019,0.291,0.586,0.319,0.573
DAZZLE,1477.176115512848,LightGBM,0.857,0.471,0.19,0.035,0.271,0.578,0.318,0.573
DAZZLE,1477.176115512848,Adaboost,0.853,0.458,0.262,0.05,0.333,0.606,0.411,0.523
DAZZLE,1477.176115512848,GBDT,0.827,0.308,0.19,0.07,0.235,0.56,0.316,0.575
WGAN,10.84,SVM,0.86,0.0,0.0,0.0,0.0,0.5,0.0,0.707
WGAN,10.84,KNN,0.213,0.151,1.0,0.915,0.262,0.543,0.157,0.647
WGAN,10.84,LR,0.82,0.227,0.119,0.066,0.156,0.527,0.211,0.625
WGAN,10.84,DT,0.14,0.14,1.0,1.0,0.246,0.5,0.0,0.707
WGAN,10.84,RF,0.14,0.14,1.0,1.0,0.246,0.5,0.0,0.707
WGAN,10.84,LightGBM,0.15,0.139,0.976,0.984,0.243,0.496,0.031,0.696
WGAN,10.84,Adaboost,0.733,0.068,0.071,0.159,0.07,0.456,0.132,0.666
WGAN,10.84,GBDT,0.14,0.14,1.0,1.0,0.246,0.5,0.0,0.707
RP,1.9720087051391602,SVM,0.763,0.29,0.476,0.19,0.36,0.643,0.6,0.394
RP,1.9720087051391602,KNN,0.767,0.321,0.595,0.205,0.417,0.695,0.681,0.321
RP,1.9720087051391602,LR,0.693,0.255,0.619,0.295,0.361,0.662,0.659,0.341
RP,1.9720087051391602,DT,0.757,0.254,0.381,0.182,0.305,0.599,0.52,0.456
RP,1.9720087051391602,RF,0.827,0.368,0.333,0.093,0.35,0.62,0.488,0.476
RP,1.9720087051391602,LightGBM,0.847,0.423,0.262,0.058,0.324,0.602,0.41,0.524
RP,1.9720087051391602,Adaboost,0.827,0.375,0.357,0.097,0.366,0.63,0.512,0.46
RP,1.9720087051391602,GBDT,0.817,0.29,0.214,0.085,0.247,0.565,0.347,0.559
