oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.863,1.0,0.024,0.0,0.047,0.512,0.047,0.69
No,0,KNN,0.857,0.467,0.167,0.031,0.246,0.568,0.284,0.59
No,0,LR,0.88,0.714,0.238,0.016,0.357,0.611,0.383,0.539
No,0,DT,0.78,0.214,0.214,0.128,0.214,0.543,0.344,0.563
No,0,RF,0.867,0.667,0.095,0.008,0.167,0.544,0.174,0.64
No,0,LightGBM,0.857,0.462,0.143,0.027,0.218,0.558,0.249,0.606
No,0,Adaboost,0.877,0.609,0.333,0.035,0.431,0.649,0.496,0.472
No,0,GBDT,0.857,0.483,0.333,0.058,0.394,0.638,0.492,0.473
Random,0.02,SVM,0.773,0.324,0.571,0.194,0.414,0.689,0.669,0.333
Random,0.02,KNN,0.803,0.34,0.429,0.136,0.379,0.646,0.573,0.415
Random,0.02,LR,0.777,0.349,0.69,0.209,0.464,0.741,0.737,0.264
Random,0.02,DT,0.813,0.365,0.452,0.128,0.404,0.662,0.596,0.398
Random,0.02,RF,0.88,0.714,0.238,0.016,0.357,0.611,0.383,0.539
Random,0.02,LightGBM,0.853,0.444,0.19,0.039,0.267,0.576,0.318,0.573
Random,0.02,Adaboost,0.807,0.379,0.595,0.159,0.463,0.718,0.697,0.307
Random,0.02,GBDT,0.85,0.44,0.262,0.054,0.328,0.604,0.41,0.523
SMOTE,0.02,SVM,0.8,0.345,0.476,0.147,0.4,0.664,0.611,0.385
SMOTE,0.02,KNN,0.773,0.319,0.548,0.19,0.404,0.679,0.653,0.347
SMOTE,0.02,LR,0.783,0.358,0.69,0.202,0.472,0.744,0.741,0.261
SMOTE,0.02,DT,0.76,0.212,0.262,0.159,0.234,0.551,0.399,0.534
SMOTE,0.02,RF,0.87,0.552,0.381,0.05,0.451,0.665,0.544,0.439
SMOTE,0.02,LightGBM,0.86,0.5,0.286,0.047,0.364,0.62,0.44,0.506
SMOTE,0.02,Adaboost,0.833,0.413,0.452,0.105,0.432,0.674,0.601,0.394
SMOTE,0.02,GBDT,0.847,0.429,0.286,0.062,0.343,0.612,0.438,0.507
ADASYN,0.03,SVM,0.777,0.313,0.5,0.178,0.385,0.661,0.622,0.375
